name,site,pKa,ref,page,SMILES
AgOH,1,3.96,4.0,2,[OH-].[Ag+]
Al(OH)3,1,11.2,28.0,2,
As(OH)3,1,9.22,28.0,2,O[As](O)O
"H3AsO4 ,",1,2.22,28.0,2,O[As](=O)(O)O
"H3AsO4 ,",2,7.0,28.0,2,O[As](=O)(O)O
"H3AsO4 ,",3,13.0,28.0,2,O[As](=O)(O)O
H2AsO4-,1,6.98,77.0,2,O[As](=O)(O)[O-]
HAsO4*,1,11.53,77.0,2,O[As](=O)([O-])[O-]
H3AsO,1,9.22,3.0,2,O[AsH2]
H3BO3,1,9.23,28.0,2,B(O)(O)O
H2B4O7,1,4.0,34.0,2,B1(OB2OB(OB(O1)O2)O)O
HB4O7,1,9.0,34.0,2,
Be(OH)2,1,3.7,4.0,2,
HBr,1,-9.0,31.0,2,Br
HOBr,1,8.7,28.0,2,OBr
HOCl,1,7.53,28.0,2,OCl
HOCl,2,7.46,33.0,2,OCl
HClO2,1,2.0,28.0,2,OCl=O
HClO3,1,-1.0,28.0,2,OCl(=O)=O
HClO4 (70%),1,-10.0,31.0,2,
CH3SO3H,1,-0.6,31.0,2,CS(=O)(=O)O
HCN,1,9.4,34.0,2,C#N
"H2CO3 ,",1,6.37,34.0,2,C(=O)(O)O
"H2CO3 ,",2,6.35,34.0,2,C(=O)(O)O
"H2CO3 ,",3,3.58,34.0,2,C(=O)(O)O
HCO,1,10.33,3.0,2,C#[O+]
H2CrO4,1,-0.98,30.0,2,O[Cr](=O)(=O)O
HCrO4,1,6.5,2.0,2,O[Cr](=O)(=O)[O-]
HOCN,1,3.92,34.0,2,C(=N)=O
HZ,1,3.17,77.0,2,
