,molecule_chembl_id,IC50,units,units,smiles,pIC50
0,CHEMBL815,4200.0,nM,nM,CCCCC[C@H](O)/C=C/[C@@H]1[C@@H](C/C=C\CCCC(=O)O)[C@@H](O)C[C@H]1O,5.376750709602099
1,CHEMBL548,0.7,nM,nM,CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1C/C=C\CCCC(=O)O,9.154901959985743
2,CHEMBL275667,1.4,nM,nM,O=C1CC[C@H](/C=C/[C@@H](O)Cc2ccccc2)N1CCCCCCc1nnn[nH]1,8.853871964321762
3,CHEMBL400404,24000.0,nM,uM,CC(=O)Nc1cccc(-c2ccc(Cc3ocnc3C(=O)N[C@@H](Cc3ccccc3)C(=O)O)cc2)c1,4.619788758288394
4,CHEMBL521609,12500.0,nM,uM,Cn1cc(/C=C/C(=O)NS(=O)(=O)c2ccc(F)c(F)c2)c2c(Oc3ccc4ccccc4c3)cccc21,4.903089986991944
5,CHEMBL489310,20400.0,nM,uM,Cn1cc(/C=C/C(=O)NS(=O)(=O)c2ccc(F)c(F)c2)c2c(Oc3ccc(Cl)c(Cl)c3)cccc21,4.690369832574102
6,CHEMBL459885,14600.0,nM,uM,Cn1cc(/C=C/C(=O)NS(=O)(=O)c2ccc(F)c(F)c2)c2c(Oc3ccc(Cl)cc3Cl)cccc21,4.835647144215563
7,CHEMBL475348,13000.0,nM,uM,Cn1cc(/C=C/C(=O)NS(=O)(=O)c2cc(F)c(F)cc2F)c2c(Oc3ccc(Cl)c(Cl)c3)cccc21,4.886056647693163
8,CHEMBL521777,10000.0,nM,uM,Cn1cc(/C=C/C(=O)NS(=O)(=O)c2cc(F)c(F)cc2F)c2c(Oc3ccc(Cl)c(F)c3)cccc21,5.0
9,CHEMBL461571,3700.0,nM,uM,Cc1c(C(=O)c2ccc(Cl)cc2)c2ccc(OC(F)(F)F)cc2n1Cc1cccc(O[C@H](C)C(=O)O)c1,5.431798275933005
10,CHEMBL482330,7500.0,nM,uM,COc1cccc(CN2C(=O)CC3(C)CCCC(/C=C/C(=O)NS(=O)(=O)c4ccc(F)c(F)c4)=C23)c1,5.1249387366083
11,CHEMBL479664,7700.0,nM,uM,CC12CCCC(/C=C/C(=O)NS(=O)(=O)c3ccc(F)c(F)c3)=C1N(Cc1ccc(F)c(F)c1)C(=O)C2,5.113509274827518
12,CHEMBL482018,20800.0,nM,uM,CC12CCCC(/C=C/C(=O)NS(=O)(=O)c3cc(F)c(F)cc3F)=C1N(Cc1cccc(Cl)c1Cl)C(=O)C2,4.681936665037238
13,CHEMBL479439,20800.0,nM,uM,CC12CCCC(/C=C/C(=O)NS(=O)(=O)c3cc(F)c(F)cc3F)=C1N(Cc1ccc(Cl)cc1Cl)C(=O)C2,4.681936665037238
14,CHEMBL479263,6200.0,nM,uM,CC12CCCC(/C=C/C(=O)NS(=O)(=O)c3cc(F)c(F)cc3F)=C1N(Cc1ccc(F)c(F)c1)C(=O)C2,5.207608310501746
15,CHEMBL565591,8039.0,nM,nM,Cc1cn(Cc2ccc(Cl)cc2Cl)c2c(/C=C/C(=O)NS(=O)(=O)c3cc(Cl)c(Cl)s3)cc(F)cc12,5.094797971337681
16,CHEMBL565992,10172.0,nM,nM,O=C(COc1cccc2ncn(Cc3ccc(Cl)cc3Cl)c12)NS(=O)(=O)c1cc(Cl)c(Cl)s1,4.992593648496329
17,CHEMBL467632,6498.0,nM,nM,O=C(COc1cccc2[nH]cc(Cc3ccc4ccccc4c3)c12)NS(=O)(=O)c1cc(Cl)c(Cl)s1,5.187220292991036
18,CHEMBL585581,8178.0,nM,nM,O=C(/C=C/c1cccc2ccn(Cc3ccc(Cl)cc3Cl)c12)NS(=O)(=O)c1cccs1,5.0873528937816825
19,CHEMBL565799,3647.0,nM,nM,Cc1cn(Cc2ccc3ccccc3c2)c2c(/C=C/C(=O)NS(=O)(=O)c3cc(Cl)c(Cl)s3)cc(F)cc12,5.438064236686219
20,CHEMBL1081186,18600.0,nM,uM,Cc1cn(Cc2ccc(Cl)cc2Cl)c2c(-c3cc(NS(=O)(=O)c4ccc(F)c(F)c4)no3)cc(F)cc12,4.730487055782084
21,CHEMBL1093791,15100.0,nM,uM,O=C(/C=C/c1cccc2c1N(Cc1ccc3ccccc3c1)C(=O)C2O)NS(=O)(=O)c1ccc(F)cc1,4.82102305270683
22,CHEMBL1093792,2300.0,nM,uM,O=C(/C=C/c1cccc2c1N(Cc1ccc3ccccc3c1)C(=O)C2O)NS(=O)(=O)c1ccc(F)c(F)c1,5.638272163982407
