,activity_id,assay_chembl_id,molecule_chembl_id,type,standard_units,relation,standard_value,target_chembl_id,target_organism,assay_description,assay_type,smiles,error
0,25864927,CHEMBL5511234,CHEMBL5557642,Papp,10^-6 cm/s,=,8.6,CHEMBL612558,,Apparent permeability across apical to basal side in human Caco-2 cells at 2 uM incubated for 2 hrs by LC-MS/MS analysis,A,CC(=O)OC[C@H]1O[C@@H](n2cnc3c(Nc4cccc(O)c4)ncnc32)[C@H](OC(C)=O)[C@@H]1OC(C)=O,
1,25864928,CHEMBL5511235,CHEMBL5557642,Papp,10^-6 cm/s,=,8.0,CHEMBL612558,,Apparent permeability across apical to basal side in human Caco-2 cells at 21 uM incubated for 2 hrs by LC-MS/MS analysis,A,CC(=O)OC[C@H]1O[C@@H](n2cnc3c(Nc4cccc(O)c4)ncnc32)[C@H](OC(C)=O)[C@@H]1OC(C)=O,
2,25865165,CHEMBL5511286,CHEMBL5559507,permeability,10^-6 cm/s,=,16.3,CHEMBL612558,,Passive permeability in human Caco-2 cells,A,Cc1ccc(CN2CCCCC2)cc1-c1noc(C)c1-c1ccc2c(c1)OCC(=O)N2,
3,25865391,CHEMBL5511341,CHEMBL5555218,Papp,10^-6 cm/s,=,1.9,CHEMBL612558,,Apparent permeability across apical to basolateral side in human Caco-2 cells at pH 5 at 5 ug/ml measured after 2 hrs by UPLC-MS/MS analysis,A,CC[N+]1(C)CCN(c2ccc(C(=O)Nc3cccc(C)n3)cc2)CC1.[I-],
4,25865392,CHEMBL5511341,CHEMBL5558610,Papp,10^-6 cm/s,=,2.5,CHEMBL612558,,Apparent permeability across apical to basolateral side in human Caco-2 cells at pH 5 at 5 ug/ml measured after 2 hrs by UPLC-MS/MS analysis,A,CC[N+]1(C)CCN(c2ccc(NC(=O)c3cccc(C)n3)cc2)CC1.[I-],
5,25865393,CHEMBL5511342,CHEMBL5555218,Papp,10^-6 cm/s,=,2.2,CHEMBL612558,,Apparent permeability across apical to basolateral side in human Caco-2 cells at pH 6.8 at 5 ug/ml measured after 2 hrs by UPLC-MS/MS analysis,A,CC[N+]1(C)CCN(c2ccc(C(=O)Nc3cccc(C)n3)cc2)CC1.[I-],
6,25865394,CHEMBL5511342,CHEMBL5558610,Papp,10^-6 cm/s,=,2.8,CHEMBL612558,,Apparent permeability across apical to basolateral side in human Caco-2 cells at pH 6.8 at 5 ug/ml measured after 2 hrs by UPLC-MS/MS analysis,A,CC[N+]1(C)CCN(c2ccc(NC(=O)c3cccc(C)n3)cc2)CC1.[I-],
7,25865395,CHEMBL5511343,CHEMBL5555218,Papp,10^-6 cm/s,=,2.2,CHEMBL612558,,Apparent permeability across apical to basolateral side in human Caco-2 cells at pH 7.4 at 5 ug/ml measured after 2 hrs by UPLC-MS/MS analysis,A,CC[N+]1(C)CCN(c2ccc(C(=O)Nc3cccc(C)n3)cc2)CC1.[I-],
8,25865396,CHEMBL5511343,CHEMBL5558610,Papp,10^-6 cm/s,=,2.4,CHEMBL612558,,Apparent permeability across apical to basolateral side in human Caco-2 cells at pH 7.4 at 5 ug/ml measured after 2 hrs by UPLC-MS/MS analysis,A,CC[N+]1(C)CCN(c2ccc(NC(=O)c3cccc(C)n3)cc2)CC1.[I-],
9,25865397,CHEMBL5511344,CHEMBL5555218,Papp,10^-6 cm/s,=,1.9,CHEMBL612558,,Apparent permeability across basolateral to apical side in human Caco-2 cells at pH 5 at 5 ug/ml measured after 2 hrs by UPLC-MS/MS analysis,A,CC[N+]1(C)CCN(c2ccc(C(=O)Nc3cccc(C)n3)cc2)CC1.[I-],
10,25865398,CHEMBL5511344,CHEMBL5558610,Papp,10^-6 cm/s,=,2.9,CHEMBL612558,,Apparent permeability across basolateral to apical side in human Caco-2 cells at pH 5 at 5 ug/ml measured after 2 hrs by UPLC-MS/MS analysis,A,CC[N+]1(C)CCN(c2ccc(NC(=O)c3cccc(C)n3)cc2)CC1.[I-],
11,25865399,CHEMBL5511345,CHEMBL5555218,Papp,10^-6 cm/s,=,2.6,CHEMBL612558,,Apparent permeability across basolateral to apical side in human Caco-2 cells at pH 6.8 at 5 ug/ml measured after 2 hrs by UPLC-MS/MS analysis,A,CC[N+]1(C)CCN(c2ccc(C(=O)Nc3cccc(C)n3)cc2)CC1.[I-],
12,25865400,CHEMBL5511345,CHEMBL5558610,Papp,10^-6 cm/s,=,3.0,CHEMBL612558,,Apparent permeability across basolateral to apical side in human Caco-2 cells at pH 6.8 at 5 ug/ml measured after 2 hrs by UPLC-MS/MS analysis,A,CC[N+]1(C)CCN(c2ccc(NC(=O)c3cccc(C)n3)cc2)CC1.[I-],
13,25865401,CHEMBL5511346,CHEMBL5555218,Papp,10^-6 cm/s,=,2.9,CHEMBL612558,,Apparent permeability across basolateral to apical side in human Caco-2 cells at pH 7.4 at 5 ug/ml measured after 2 hrs by UPLC-MS/MS analysis,A,CC[N+]1(C)CCN(c2ccc(C(=O)Nc3cccc(C)n3)cc2)CC1.[I-],
14,25865402,CHEMBL5511346,CHEMBL5558610,Papp,10^-6 cm/s,=,3.1,CHEMBL612558,,Apparent permeability across basolateral to apical side in human Caco-2 cells at pH 7.4 at 5 ug/ml measured after 2 hrs by UPLC-MS/MS analysis,A,CC[N+]1(C)CCN(c2ccc(NC(=O)c3cccc(C)n3)cc2)CC1.[I-],
15,25865409,CHEMBL5511350,CHEMBL27,Papp,10^-6 cm/s,=,20.0,CHEMBL612558,,Apparent permeability across apical to basolateral side in human Caco-2 cells at 5 ug/ml measured after 2 hrs by UPLC-MS/MS analysis,A,CC(C)NCC(O)COc1cccc2ccccc12,
16,25865410,CHEMBL5511350,CHEMBL24,Papp,10^-6 cm/s,=,2.9,CHEMBL612558,,Apparent permeability across apical to basolateral side in human Caco-2 cells at 5 ug/ml measured after 2 hrs by UPLC-MS/MS analysis,A,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,
17,25865411,CHEMBL5511350,CHEMBL1751,Papp,10^-6 cm/s,=,5.4,CHEMBL612558,,Apparent permeability across apical to basolateral side in human Caco-2 cells at 5 ug/ml measured after 2 hrs by UPLC-MS/MS analysis,A,C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5C[C@@H](O)[C@]5(C)[C@@H](C7=CC(=O)OC7)CC[C@]65O)C4)O[C@@H]3C)O[C@@H]2C)C[C@H](O)[C@@H]1O,
18,25865412,CHEMBL5511351,CHEMBL1751,Papp,10^-6 cm/s,=,11.9,CHEMBL612558,,Apparent permeability across basolateral to apical side in human Caco-2 cells at 5 ug/ml measured after 2 hrs by UPLC-MS/MS analysis,A,C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5C[C@@H](O)[C@]5(C)[C@@H](C7=CC(=O)OC7)CC[C@]65O)C4)O[C@@H]3C)O[C@@H]2C)C[C@H](O)[C@@H]1O,
19,25866266,CHEMBL5511555,CHEMBL5562889,permeability,10^-6 cm/s,=,7.5,CHEMBL612558,,Intrinsic permeability in human Caco-2 cells at 10 uM,A,C=CC(=O)Nc1ccc(OC)c(Nc2cc(-c3c[nH]nc3-c3cccc(OCc4ccc5c(c4)CN(C)C5=O)c3)ccn2)c1,
20,25866267,CHEMBL5511555,CHEMBL5558799,permeability,10^-6 cm/s,=,64.0,CHEMBL612558,,Intrinsic permeability in human Caco-2 cells at 10 uM,A,C=CC(=O)Nc1ccc(OC)c(Nc2nccc(-c3c[nH]nc3-c3cccc(OC)c3)n2)c1,
21,25866268,CHEMBL5511555,CHEMBL5568120,permeability,10^-6 cm/s,<,0.36,CHEMBL612558,,Intrinsic permeability in human Caco-2 cells at 10 uM,A,C=CC(=O)N1CC[C@H](n2cc(-c3ccncc3)c(-c3cccc(NC(=O)c4ccc5c(c4)CN(C)C5=O)c3)n2)C1,
22,25866269,CHEMBL5511555,CHEMBL5560320,permeability,10^-6 cm/s,=,30.0,CHEMBL612558,,Intrinsic permeability in human Caco-2 cells at 10 uM,A,C=CC(=O)N1CC[C@H](n2cc(-c3ccncc3)c(-c3cccc(NC(=O)c4ncc(C5CC5)o4)c3)n2)C1,
23,25866270,CHEMBL5511555,CHEMBL5563485,permeability,10^-6 cm/s,=,42.0,CHEMBL612558,,Intrinsic permeability in human Caco-2 cells at 10 uM,A,C=CC(=O)N1CC[C@H](n2cc(-c3ccncc3)c(-c3cccc(NC(=O)c4cccc(OC)c4F)c3)n2)C1,
