activity_id,assay_chembl_id,molecule_chembl_id,type,standard_units,relation,standard_value,target_chembl_id,target_organism,assay_description,assay_type,smiles,clint,units,assay_class
33031,CHEMBL695026,CHEMBL306457,CL,mL.min-1.kg-1,=,47.7,CHEMBL372,Homo sapiens,In vitro oxidative metabolic stability measured by the rate of drug consumption in human liver microsomes as intrinsic clearance values,F,NC(=O)C(C[C@H](O)[C@H](Cc1ccccc1)NC(=O)c1cnc2ccccc2n1)C1(O)CCCCC1,47.7,mL.min-1.kg-1,microsome_human
34270,CHEMBL695026,CHEMBL66457,CL,mL.min-1.kg-1,=,4.9,CHEMBL372,Homo sapiens,In vitro oxidative metabolic stability measured by the rate of drug consumption in human liver microsomes as intrinsic clearance values,F,CC(C)(O)CC[C@H](C[C@H](O)[C@H](Cc1ccccc1)NC(=O)c1cnc2ccccc2n1)C(N)=O,4.9,mL.min-1.kg-1,microsome_human
34274,CHEMBL695026,CHEMBL304053,CL,mL.min-1.kg-1,=,16.5,CHEMBL372,Homo sapiens,In vitro oxidative metabolic stability measured by the rate of drug consumption in human liver microsomes as intrinsic clearance values,F,CC(C)(O)CCC(C[C@H](O)[C@H](Cc1ccccc1F)NC(=O)c1cnc2ccccc2n1)C(N)=O,16.5,mL.min-1.kg-1,microsome_human
35507,CHEMBL695026,CHEMBL68366,CL,mL.min-1.kg-1,=,8.0,CHEMBL372,Homo sapiens,In vitro oxidative metabolic stability measured by the rate of drug consumption in human liver microsomes as intrinsic clearance values,F,CC(C)(F)CC[C@H](C[C@H](O)[C@H](Cc1ccccc1)NC(=O)c1cnc2ccccc2n1)C(N)=O,8.0,mL.min-1.kg-1,microsome_human
35511,CHEMBL618475,CHEMBL68366,CL,mL.min-1.kg-1,=,12.0,CHEMBL373,Canis lupus familiaris,Plasma clearance of compound was determined in dog,A,CC(C)(F)CC[C@H](C[C@H](O)[C@H](Cc1ccccc1)NC(=O)c1cnc2ccccc2n1)C(N)=O,12.0,mL.min-1.kg-1,species_only_dog
35512,CHEMBL620905,CHEMBL68366,CL,mL.min-1.kg-1,=,18.0,CHEMBL612558,,Plasma clearance of compound was determined in monkey,A,CC(C)(F)CC[C@H](C[C@H](O)[C@H](Cc1ccccc1)NC(=O)c1cnc2ccccc2n1)C(N)=O,18.0,mL.min-1.kg-1,species_only_monkey
35879,CHEMBL621197,CHEMBL329463,CL,mL.min-1.kg-1,=,48.33,CHEMBL376,Rattus norvegicus,Clearance measured in rat,A,NC[C@@H]1CN[C@@H](C(=O)N[C@H](CCc2ccccc2)C(=O)Nc2ccc3ncccc3c2)C1,48.33,mL.min-1.kg-1,species_only_rat
35917,CHEMBL875835,CHEMBL262384,CL,mL.min-1.kg-1,=,20.0,CHEMBL373,Canis lupus familiaris,"The pharmacokinetic parameter, clearance was reported in dog after intravenous administration",A,CN1CC(=O)N(CC(=O)NCc2cc3cc(C(=O)N4CCC(N5C(=O)OCc6ccccc65)CC4)ccc3o2)C1=O,20.0,mL.min-1.kg-1,species_only_dog
35919,CHEMBL875835,CHEMBL284688,CL,mL.min-1.kg-1,=,20.0,CHEMBL373,Canis lupus familiaris,"The pharmacokinetic parameter, clearance was reported in dog after intravenous administration",A,CC1(C)NC(=O)N(CC(=O)NCc2cc3cc(C(=O)N4CCC(N5C(=O)OCc6ccccc65)CC4)ccc3o2)C1=O,20.0,mL.min-1.kg-1,species_only_dog
37109,CHEMBL875835,CHEMBL282781,CL,mL.min-1.kg-1,=,7.0,CHEMBL373,Canis lupus familiaris,"The pharmacokinetic parameter, clearance was reported in dog after intravenous administration",A,CS(=O)(=O)N1CCN(Cc2cc3cc(C(=O)N4CCC(N5C(=O)OCc6ccccc65)CC4)ccc3o2)CC1,7.0,mL.min-1.kg-1,species_only_dog
38808,CHEMBL646695,CHEMBL129064,CL,mL.min-1.kg-1,=,46.0,CHEMBL373,Canis lupus familiaris,Pharmacokinetic parameter clearance in dog was reported in Cassette dosage,A,CC(C)C1C(=O)N(S(C)(=O)=O)C2CCN(C(=O)c3ccc(CNC4CC4)nc3)C12,46.0,mL.min-1.kg-1,species_only_dog
38814,CHEMBL646695,CHEMBL338332,CL,mL.min-1.kg-1,=,20.0,CHEMBL373,Canis lupus familiaris,Pharmacokinetic parameter clearance in dog was reported in Cassette dosage,A,CC(C)C1C(=O)N(S(C)(=O)=O)C2CCN(C(=O)/C=C/CN3CCCCC3)C12,20.0,mL.min-1.kg-1,species_only_dog
38815,CHEMBL646696,CHEMBL338332,CL,mL.min-1.kg-1,=,19.0,CHEMBL373,Canis lupus familiaris,Pharmacokinetic parameter clearance in dog was reported in Discrete dosage,A,CC(C)C1C(=O)N(S(C)(=O)=O)C2CCN(C(=O)/C=C/CN3CCCCC3)C12,19.0,mL.min-1.kg-1,species_only_dog
39099,CHEMBL695026,CHEMBL303673,CL,mL.min-1.kg-1,=,6.1,CHEMBL372,Homo sapiens,In vitro oxidative metabolic stability measured by the rate of drug consumption in human liver microsomes as intrinsic clearance values,F,O=C(N[C@@H](Cc1ccccc1)[C@@H](O)CC(C(=O)NO)C1CCC(F)(F)CC1)c1cnc2ccccc2n1,6.1,mL.min-1.kg-1,microsome_human
39103,CHEMBL618475,CHEMBL303673,CL,mL.min-1.kg-1,=,38.0,CHEMBL373,Canis lupus familiaris,Plasma clearance of compound was determined in dog,A,O=C(N[C@@H](Cc1ccccc1)[C@@H](O)CC(C(=O)NO)C1CCC(F)(F)CC1)c1cnc2ccccc2n1,38.0,mL.min-1.kg-1,species_only_dog
39104,CHEMBL620905,CHEMBL303673,CL,mL.min-1.kg-1,=,33.0,CHEMBL612558,,Plasma clearance of compound was determined in monkey,A,O=C(N[C@@H](Cc1ccccc1)[C@@H](O)CC(C(=O)NO)C1CCC(F)(F)CC1)c1cnc2ccccc2n1,33.0,mL.min-1.kg-1,species_only_monkey
41903,CHEMBL875835,CHEMBL28627,CL,mL.min-1.kg-1,=,11.0,CHEMBL373,Canis lupus familiaris,"The pharmacokinetic parameter, clearance was reported in dog after intravenous administration",A,CC(=O)N1CCN(Cc2cc3cc(C(=O)N4CCC(N5C(=O)OCc6ccccc65)CC4)ccc3o2)CC1,11.0,mL.min-1.kg-1,species_only_dog
41906,CHEMBL875835,CHEMBL31213,CL,mL.min-1.kg-1,=,15.0,CHEMBL373,Canis lupus familiaris,"The pharmacokinetic parameter, clearance was reported in dog after intravenous administration",A,CN(Cc1cc2cc(C(=O)N3CCC(N4C(=O)OCc5ccccc54)CC3)ccc2o1)C(=O)CN1C(=O)CNC1=O,15.0,mL.min-1.kg-1,species_only_dog
41999,CHEMBL621617,CHEMBL42383,CL,mL.min-1.kg-1,=,36.5,CHEMBL376,Rattus norvegicus,Clearance was determined,A,CCOCn1nnc(-c2ccc(F)cc2)c1-c1ccnc(Oc2cccc(NC(C)=O)c2)n1,36.5,mL.min-1.kg-1,
43089,CHEMBL875835,CHEMBL31350,CL,mL.min-1.kg-1,=,8.0,CHEMBL373,Canis lupus familiaris,"The pharmacokinetic parameter, clearance was reported in dog after intravenous administration",A,CC(=O)NCc1cc2cc(C(=O)N3CCC(N4C(=O)OCc5ccccc54)CC3)ccc2o1,8.0,mL.min-1.kg-1,species_only_dog
46263,CHEMBL695026,CHEMBL66159,CL,mL.min-1.kg-1,=,32.7,CHEMBL372,Homo sapiens,In vitro oxidative metabolic stability measured by the rate of drug consumption in human liver microsomes as intrinsic clearance values,F,CC(C)(F)CCC(C[C@H](O)[C@H](Cc1ccccc1)NC(=O)c1cnc2ccccc2n1)C(=O)NN,32.7,mL.min-1.kg-1,microsome_human
46305,CHEMBL621204,CHEMBL608939,CL,mL.min-1.kg-1,=,69.4,CHEMBL376,Rattus norvegicus,Plasma clearance after IV dosing at 1 mg/kg in rat,A,O[C@@H]1[C@@H](CSc2ccccc2F)OC(n2cnc3c(NC4CCOC4)ncnc32)[C@@H]1O,69.4,mL.min-1.kg-1,species_only_rat
