activity_id,assay_chembl_id,molecule_chembl_id,type,standard_units,relation,standard_value,target_chembl_id,target_organism,assay_description,assay_type,smiles,clint,units,assay_class
2608861,CHEMBL1010635,CHEMBL471404,CL,mL.min-1.g-1,=,2.2,CHEMBL612558,,Metabolic stability in dog hepatocytes assessed as intrinsic clearance,A,CC(C)CC[C@@]1(C)C(=O)C(C2=NS(=O)(=O)c3cc(NS(C)(=O)=O)ccc3N2)=C([O-])c2ccccc21.[Na+],0.0022,mL.min-1.kg-1,hepatocyte_dog
2608862,CHEMBL1010635,CHEMBL471405,CL,mL.min-1.g-1,=,0.5,CHEMBL612558,,Metabolic stability in dog hepatocytes assessed as intrinsic clearance,A,CC(C)(C)CC[C@@]1(C)C(=O)C(C2=NS(=O)(=O)c3cc(NS(C)(=O)=O)ccc3N2)=C([O-])c2ccccc21.[Na+],0.0005,mL.min-1.kg-1,hepatocyte_dog
2945312,CHEMBL1040533,CHEMBL575966,CL,mL.min-1.kg-1,=,90.0,CHEMBL612558,,Intrinsic clearance in dog hepatocytes,A,Cc1onc(-c2ccccc2Cl)c1C(=O)N(C)c1ccc(Cl)cc1,90.0,mL.min-1.kg-1,hepatocyte_dog
2946304,CHEMBL1040533,CHEMBL576138,CL,mL.min-1.kg-1,=,111.0,CHEMBL612558,,Intrinsic clearance in dog hepatocytes,A,Cc1ccc(N(C)C(=O)c2c(-c3ccccc3Cl)noc2C)cc1Cl,111.0,mL.min-1.kg-1,hepatocyte_dog
3080399,CHEMBL1069975,CHEMBL594717,CL,mL.min-1.kg-1,=,41.0,CHEMBL612558,,Intrinsic clearance in dog hepatocyte at 1 mM,A,Cc1ccc(F)cc1CO[C@H]1CCc2ccc(N3CCNC[C@H]3C)nc21,41.0,mL.min-1.kg-1,hepatocyte_dog
5159083,CHEMBL1657035,CHEMBL1649659,CL,mL.min-1.g-1,=,2.6,CHEMBL612558,,Intrinsic clearance in cryopreserved dog hepatocytes assessed per gram of tissue,A,O=C(c1ccc(-n2nc(C(F)(F)F)c3c2CCCC3)cc1)N1CCCC1,0.0026,mL.min-1.kg-1,hepatocyte_dog
6329663,CHEMBL1820297,CHEMBL1818341,CL,mL.min-1.kg-1,=,29.6,CHEMBL612558,,"Clearance in dog hepatocytes at 1 mg/kg, iv",A,CC(C)CNCc1ccc(-c2ccccc2S(=O)(=O)N2CCCC2)cc1,29.6,mL.min-1.kg-1,hepatocyte_dog
6381703,CHEMBL1839225,CHEMBL1836215,CL,mL.min-1.g-1,=,30.0,CHEMBL612558,,Intrinsic clearance in dog hepatocytes,A,Cc1c(-c2noc(-c3ccc(OC(C)C)c(C#N)c3)n2)ccc2c1CCN(C(CO)CO)C2,0.03,mL.min-1.kg-1,hepatocyte_dog
10840323,CHEMBL2014803,CHEMBL2012958,CL,mL.min-1.kg-1,=,12.0,CHEMBL612558,,Clearance in dog hepatocytes by LC-MS/MS analysis,A,Cc1nc2c(C#N)cccc2n1-c1ccc(C(=O)NC2CC2)s1,12.0,mL.min-1.kg-1,hepatocyte_dog
12163715,CHEMBL2185636,CHEMBL2017291,CL,mL.min-1.kg-1,=,9.8,CHEMBL612558,,Intrinsic clearance in dog hepatocytes assessed per mg of protein at 0.5 uM after 30 mins,A,COc1cc2c(cc1-c1c(C)noc1C)ncc1[nH]c(=O)n([C@H](C)c3ccccn3)c12,9.8,mL.min-1.kg-1,hepatocyte_dog
