activity_id,assay_chembl_id,molecule_chembl_id,type,standard_units,relation,standard_value,target_chembl_id,target_organism,assay_description,assay_type,smiles,clint,units,assay_class
1671427,CHEMBL859552,CHEMBL199860,CL,mL.min-1.kg-1,=,6.0,CHEMBL613289,,Clearance in presence of human hepatocytes,A,Cc1c(Nc2ccc(Br)cc2F)c(C(=O)NOCCO)cn(C)c1=O,6.0,mL.min-1.kg-1,hepatocyte_human
1671437,CHEMBL859552,CHEMBL371693,CL,mL.min-1.kg-1,=,9.0,CHEMBL613289,,Clearance in presence of human hepatocytes,A,Cn1cc(C(N)=O)c(Nc2ccc(Br)cc2F)c(F)c1=O,9.0,mL.min-1.kg-1,hepatocyte_human
1671446,CHEMBL859552,CHEMBL203138,CL,mL.min-1.kg-1,=,5.0,CHEMBL613289,,Clearance in presence of human hepatocytes,A,CCONC(=O)c1cn(C)c(=O)c(C)c1Nc1ccc(Br)cc1F,5.0,mL.min-1.kg-1,hepatocyte_human
1671447,CHEMBL859552,CHEMBL426840,CL,mL.min-1.kg-1,=,5.0,CHEMBL613289,,Clearance in presence of human hepatocytes,A,CONC(=O)c1cn(C)c(=O)c(C)c1Nc1ccc(Br)cc1F,5.0,mL.min-1.kg-1,hepatocyte_human
1671448,CHEMBL859552,CHEMBL201426,CL,mL.min-1.kg-1,=,2.0,CHEMBL613289,,Clearance in presence of human hepatocytes,A,CCONC(=O)c1cn(C)c(=O)c(F)c1Nc1ccc(Br)cc1F,2.0,mL.min-1.kg-1,hepatocyte_human
1727906,CHEMBL859975,CHEMBL333950,CL,mL.min-1.g-1,=,7.0,CHEMBL372,Homo sapiens,Clearance in human liver S9 fraction,A,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)OCCC(C)(C)O)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,0.007,mL.min-1.kg-1,hepatocyte_human
1727908,CHEMBL859975,CHEMBL208063,CL,mL.min-1.g-1,=,278.0,CHEMBL372,Homo sapiens,Clearance in human liver S9 fraction,A,C=C1/C(=C\C=C2/CCC[C@]3(C)C([C@H](C)OCC(=O)NCC(F)(F)C(F)(F)F)=CCC23)C[C@@H](O)C[C@@H]1O,0.278,mL.min-1.kg-1,hepatocyte_human
1727909,CHEMBL859975,CHEMBL379726,CL,mL.min-1.g-1,=,1421.0,CHEMBL372,Homo sapiens,Clearance in human liver S9 fraction,A,C=C1/C(=C\C=C2/CCC[C@]3(C)C([C@H](C)OCC(=O)OC(C)(CC)CC)=CCC23)C[C@@H](O)C[C@@H]1O,1.421,mL.min-1.kg-1,hepatocyte_human
1965423,CHEMBL897258,CHEMBL410414,CL,mL.min-1.kg-1,=,7.8,CHEMBL613690,Homo sapiens,Clearance in human hepatocytes,A,CN(Cc1ccccc1)C(=O)[C@@H](NC(=O)c1cc2cc(NC(=O)c3ccccc3-c3ccc(C(F)(F)F)cc3)ccc2n1C)c1ccccc1,7.8,mL.min-1.kg-1,hepatocyte_human
2119263,CHEMBL933944,CHEMBL273208,CL,mL.min-1.g-1,=,8.0,CHEMBL613690,Homo sapiens,Metabolic stability assessed as intrinsic clearance in human hepatocytes,A,CNCc1cnc(C)cc1Oc1ccccc1Oc1ccccc1,0.008,mL.min-1.kg-1,hepatocyte_human
2227791,CHEMBL995218,CHEMBL524643,CL,mL.min-1.kg-1,=,8.0,CHEMBL613690,Homo sapiens,Clearance in human hepatocyte,A,Cn1cc(-c2ccc3c(c2)CN/C3=N/O)c(-c2ccncc2)n1,8.0,mL.min-1.kg-1,hepatocyte_human
2227863,CHEMBL995218,CHEMBL498344,CL,mL.min-1.kg-1,=,8.5,CHEMBL613690,Homo sapiens,Clearance in human hepatocyte,A,O/N=C1\CCc2cc(-c3cn([C@@H]4CCC[C@H](O)C4)nc3-c3ccncc3)ccc21,8.5,mL.min-1.kg-1,hepatocyte_human
