activity_id,assay_chembl_id,molecule_chembl_id,type,standard_units,relation,standard_value,target_chembl_id,target_organism,assay_description,assay_type,smiles,clint,units,assay_class
2013279,CHEMBL902386,CHEMBL241707,CL,mL.min-1.kg-1,=,1.667,CHEMBL612558,,Metabolic stability in monkey hepatocytes assessed as intrinsic clearance,A,CC(C)(Oc1ccc(F)cc1Cl)C(=O)N[C@H]1C2CC3CC1C[C@](S(C)(=O)=O)(C3)C2,1.667,mL.min-1.kg-1,hepatocyte_monkey
2522925,CHEMBL1009642,CHEMBL467114,CL,mL.min-1.g-1,=,4.8,CHEMBL612558,,Intrinsic clearance in cynomolgus monkey hepatocytes measured per gram of liver at 0.15 to 0.2 X 10'6 cells/ml cell density,A,O=C([O-])c1cccc(Cc2cc(Cl)ccc2OCc2ccc(Cl)cc2F)n1.[Na+],0.0048,mL.min-1.kg-1,hepatocyte_monkey
2522926,CHEMBL1009643,CHEMBL467114,CL,mL.min-1.g-1,=,2.7,CHEMBL612558,,Intrinsic clearance in cynomolgus monkey hepatocytes measured per gram of liver at 0.54 to 0.7 X 10'6 cells/ml cell density,A,O=C([O-])c1cccc(Cc2cc(Cl)ccc2OCc2ccc(Cl)cc2F)n1.[Na+],0.0027,mL.min-1.kg-1,hepatocyte_monkey
2608863,CHEMBL1010636,CHEMBL471404,CL,mL.min-1.g-1,=,29.2,CHEMBL612558,,Metabolic stability in monkey hepatocytes assessed as intrinsic clearance,A,CC(C)CC[C@@]1(C)C(=O)C(C2=NS(=O)(=O)c3cc(NS(C)(=O)=O)ccc3N2)=C([O-])c2ccccc21.[Na+],0.0292,mL.min-1.kg-1,hepatocyte_monkey
2608864,CHEMBL1010636,CHEMBL471405,CL,mL.min-1.g-1,=,3.5,CHEMBL612558,,Metabolic stability in monkey hepatocytes assessed as intrinsic clearance,A,CC(C)(C)CC[C@@]1(C)C(=O)C(C2=NS(=O)(=O)c3cc(NS(C)(=O)=O)ccc3N2)=C([O-])c2ccccc21.[Na+],0.0035,mL.min-1.kg-1,hepatocyte_monkey
3080404,CHEMBL1069980,CHEMBL594717,CL,mL.min-1.kg-1,=,43.0,CHEMBL612558,,Intrinsic clearance in monkey hepatocyte at 1 mM,A,Cc1ccc(F)cc1CO[C@H]1CCc2ccc(N3CCNC[C@H]3C)nc21,43.0,mL.min-1.kg-1,hepatocyte_monkey
6329664,CHEMBL1820298,CHEMBL1818341,CL,mL.min-1.kg-1,=,23.8,CHEMBL612558,,"Clearance in rhesus monkey hepatocytes at 1 mg/kg, iv",A,CC(C)CNCc1ccc(-c2ccccc2S(=O)(=O)N2CCCC2)cc1,23.8,mL.min-1.kg-1,hepatocyte_monkey
6381772,CHEMBL1839227,CHEMBL1836215,CL,mL.min-1.g-1,=,1.3,CHEMBL612558,,Intrinsic clearance in cynomolgus monkey hepatocytes,A,Cc1c(-c2noc(-c3ccc(OC(C)C)c(C#N)c3)n2)ccc2c1CCN(C(CO)CO)C2,0.0013,mL.min-1.kg-1,hepatocyte_monkey
12137895,CHEMBL2187976,CHEMBL2178135,CL,mL.min-1.kg-1,=,9.2,CHEMBL612558,,Clearance in cynomolgus monkey hepatocytes,A,COc1cc(C(=O)N2CCOCC2)c(F)cc1Nc1ncc(C(F)(F)F)c(NC2CC2)n1,9.2,mL.min-1.kg-1,hepatocyte_monkey
12137896,CHEMBL2187976,CHEMBL2178134,CL,mL.min-1.kg-1,=,14.0,CHEMBL612558,,Clearance in cynomolgus monkey hepatocytes,A,CCNc1nc(Nc2cc(F)c(C(=O)N3CCOCC3)cc2OC)ncc1C(F)(F)F,14.0,mL.min-1.kg-1,hepatocyte_monkey
13330677,CHEMBL2390384,CHEMBL2386636,CL,mL.min-1.kg-1,=,36.0,CHEMBL612558,,Metabolic stability in monkey hepatocytes assessed as hepatic clearance,A,C[C@@H](O)c1nc2cnc3[nH]ccc3c2n1[C@H]1CC[C@H](CCC#N)CC1,36.0,mL.min-1.kg-1,hepatocyte_monkey
13330678,CHEMBL2390384,CHEMBL2386635,CL,mL.min-1.kg-1,=,25.0,CHEMBL612558,,Metabolic stability in monkey hepatocytes assessed as hepatic clearance,A,C[C@@H](O)c1nc2cnc3[nH]ccc3c2n1[C@H]1CC[C@H](CC#N)CC1,25.0,mL.min-1.kg-1,hepatocyte_monkey
13330679,CHEMBL2390384,CHEMBL2386633,CL,mL.min-1.kg-1,=,2.4,CHEMBL612558,,Metabolic stability in monkey hepatocytes assessed as hepatic clearance,A,C[C@@H](O)c1nc2cnc3[nH]ccc3c2n1[C@H]1CC[C@H](C#N)CC1,2.4,mL.min-1.kg-1,hepatocyte_monkey
13330680,CHEMBL2390384,CHEMBL2385096,CL,mL.min-1.kg-1,=,27.0,CHEMBL612558,,Metabolic stability in monkey hepatocytes assessed as hepatic clearance,A,C[C@@H](O)c1nc2cnc3[nH]ccc3c2n1[C@H]1CC[C@@H](NCC(F)(F)F)C1,27.0,mL.min-1.kg-1,hepatocyte_monkey
13330681,CHEMBL2390384,CHEMBL2386629,CL,mL.min-1.kg-1,=,26.0,CHEMBL612558,,Metabolic stability in monkey hepatocytes assessed as hepatic clearance,A,C[C@@H](O)c1nc2cnc3[nH]ccc3c2n1[C@H]1CC[C@H](NCC(F)(F)F)CC1,26.0,mL.min-1.kg-1,hepatocyte_monkey
13330682,CHEMBL2390384,CHEMBL2386653,CL,mL.min-1.kg-1,=,21.0,CHEMBL612558,,Metabolic stability in monkey hepatocytes assessed as hepatic clearance,A,C[C@@H](O)c1nc2cnc3[nH]ccc3c2n1[C@H]1CCCOC1,21.0,mL.min-1.kg-1,hepatocyte_monkey
13378309,CHEMBL2405370,CHEMBL2403317,CL,mL.min-1.kg-1,=,4.1,CHEMBL612558,,Clearance in monkey hepatocytes,A,COc1ccnc(Oc2ccc3c(c2)c(=O)ncn3Cc2c(F)cc(F)cc2F)c1C(F)(F)F,4.1,mL.min-1.kg-1,hepatocyte_monkey
13928530,CHEMBL3124028,CHEMBL3122117,CL,mL.min-1.kg-1,=,13.0,CHEMBL612558,,Clearance in cynomolgus monkey hepatocytes at 1 uM by LC-MS/MS analysis,A,CNc1nc(Nc2cnn([C@H]3CCN(C4COC4)C[C@@H]3F)c2Cl)ncc1C(F)(F)F,13.0,mL.min-1.kg-1,hepatocyte_monkey
13928531,CHEMBL3124028,CHEMBL3122113,CL,mL.min-1.kg-1,=,19.0,CHEMBL612558,,Clearance in cynomolgus monkey hepatocytes at 1 uM by LC-MS/MS analysis,A,CNc1nc(Nc2cn(C(C)(C)C#N)nc2C)ncc1C(F)(F)F,19.0,mL.min-1.kg-1,hepatocyte_monkey
13946358,CHEMBL3129740,CHEMBL3125655,CL,mL.min-1.kg-1,=,11.0,CHEMBL612558,,Clearance in cynomolgus monkey hepatocytes at 0.5 uM after 120 mins by LC/MS/MS analysis,A,O=C(c1nn2c(C(F)(F)F)cc(C3CC3)cc2c1Cl)N1CCN([C@H]2C[C@@H]3C[C@@H]3[C@@H]2O)C(=O)C1,11.0,mL.min-1.kg-1,hepatocyte_monkey
13946359,CHEMBL3129740,CHEMBL3125648,CL,mL.min-1.kg-1,=,34.0,CHEMBL612558,,Clearance in cynomolgus monkey hepatocytes at 0.5 uM after 120 mins by LC/MS/MS analysis,A,O=C(c1nn2c(C(F)(F)F)cc(C3CC3)cc2c1Cl)N1CCN([C@@H]2C[C@H]3C[C@H]3C2)C(=O)C1,34.0,mL.min-1.kg-1,hepatocyte_monkey
13950095,CHEMBL3128544,CHEMBL3127106,CL,mL.min-1.kg-1,=,5.8,CHEMBL612558,,Intrinsic clearance in cynomolgus monkey hepatocytes at 2 uM after 60 to 120 mins,A,CN1C(=O)[C@]2(N=C1N)c1cc(-c3cccnc3F)ccc1O[C@H]1CCOC[C@@H]12,5.8,mL.min-1.kg-1,hepatocyte_monkey
15166774,CHEMBL3406737,CHEMBL2057915,CL,mL.min-1.kg-1,=,32.0,CHEMBL612558,,Clearance in cynomolgus monkey hepatocytes after 20 to 60 mins by LC-MS/MS analysis,A,Cc1c(NC(=O)c2cc3c(s2)CCCC3)cccc1-c1cn(C)c(=O)c(Nc2ccc([C@@H]3C(=O)N(C)CCN3C)cc2)n1,32.0,mL.min-1.kg-1,hepatocyte_monkey
15455851,CHEMBL3534970,CHEMBL2440659,CL,mL.min-1.kg-1,=,34.0,CHEMBL612558,,Intrinsic clearance in cynomolgus monkey hepatic S9 fraction at 1 uM,A,Cc1csc(NC(=O)c2cc(F)cc(Oc3cncnc3)c2)n1,34.0,mL.min-1.kg-1,hepatocyte_monkey
15455852,CHEMBL3534971,CHEMBL2440659,CL,mL.min-1.kg-1,=,37.0,CHEMBL612558,,Intrinsic clearance in cynomolgus monkey hepatic S9 fraction at 1 uM in presence of NADPH,A,Cc1csc(NC(=O)c2cc(F)cc(Oc3cncnc3)c2)n1,37.0,mL.min-1.kg-1,hepatocyte_monkey
15455853,CHEMBL3534972,CHEMBL2440659,CL,mL.min-1.kg-1,=,194.0,CHEMBL612558,,Intrinsic clearance in cynomolgus monkey cryopreserved hepatocytes at 1 uM,A,Cc1csc(NC(=O)c2cc(F)cc(Oc3cncnc3)c2)n1,194.0,mL.min-1.kg-1,hepatocyte_monkey
18092564,CHEMBL4020240,CHEMBL3987016,CL,mL.min-1.kg-1,=,51.67,CHEMBL612545,,Intrinsic clearance in monkey hepatocytes,A,CCS(=O)(=O)Nc1ccc(Oc2ccc(F)cc2F)c(-c2cn(C)c(=O)c3[nH]ccc23)c1,51.67,mL.min-1.kg-1,hepatocyte_monkey
18148808,CHEMBL4033020,CHEMBL4061128,CL,mL.min-1.kg-1,=,6.0,CHEMBL612545,,Intrinsic clearance in cynomolgus monkey hepatocytes after 120 mins by LC-MS/MS analysis,A,N#Cc1ccc(Nc2nn([C@H]3COCC[C@@H]3C#N)cc2C(N)=O)cc1,6.0,mL.min-1.kg-1,hepatocyte_monkey
18148809,CHEMBL4033020,CHEMBL4071005,CL,mL.min-1.kg-1,=,36.0,CHEMBL612545,,Intrinsic clearance in cynomolgus monkey hepatocytes after 120 mins by LC-MS/MS analysis,A,COc1cc(Nc2nn([C@H]3COCC[C@@H]3C#N)cc2C(N)=O)ccc1Cl,36.0,mL.min-1.kg-1,hepatocyte_monkey
18167404,CHEMBL4036724,CHEMBL3670082,CL,mL.min-1.kg-1,=,31.0,CHEMBL612545,,Clearance in cynomolgus monkey hepatocytes at 1 uM after 20 to 60 mins by LC/MS/MS analysis,A,Cn1cc(-c2cccc(N3CCc4c(sc5c4CC(C)(C)C5)C3=O)c2CO)cc(Nc2ccncn2)c1=O,31.0,mL.min-1.kg-1,hepatocyte_monkey
18407445,CHEMBL4151296,CHEMBL4165147,CL,mL.min-1.kg-1,=,102.0,CHEMBL613289,,Intrinsic clearance in rhesus monkey hepatocytes,A,COc1cc(-c2ccc([C@@H]3CCc4ccc([C@H](C5CC5)[C@H](C)C(=O)[O-])cc4O3)c(F)c2)ccn1.[Na+],102.0,mL.min-1.kg-1,hepatocyte_monkey
18533590,CHEMBL4195762,CHEMBL4211840,CL,mL.min-1.kg-1,=,17.0,CHEMBL612558,,Clearance in cynomolgus monkey hepatocytes at 1 uM up to 60 mins in presence of NADPH by LC-MS/MS analysis,A,COc1cc(C(N)=O)nc(-c2cccc(C#C[C@]3(O)CCN(C)C3=O)c2)c1,17.0,mL.min-1.kg-1,hepatocyte_monkey
18774794,CHEMBL4268935,CHEMBL4279519,CL,mL.min-1.kg-1,=,25.3,CHEMBL612558,,Clearance in monkey hepatocytes at 1 uM,A,COc1c([C@@H]2O[C@H](CO)[C@@H](F)[C@H](O)[C@H]2O)cc(Cc2ccc3c(c2)OCCO3)c2c1CCO2,25.3,mL.min-1.kg-1,hepatocyte_monkey
18774884,CHEMBL4268935,CHEMBL139,CL,mL.min-1.kg-1,=,36.9,CHEMBL612558,,Clearance in monkey hepatocytes at 1 uM,A,O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,36.9,mL.min-1.kg-1,hepatocyte_monkey
18774892,CHEMBL4268935,CHEMBL655,CL,mL.min-1.kg-1,=,43.45,CHEMBL612558,,Clearance in monkey hepatocytes at 1 uM,A,Cc1ncc2n1-c1ccc(Cl)cc1C(c1ccccc1F)=NC2,43.45,mL.min-1.kg-1,hepatocyte_monkey
18904239,CHEMBL4317036,CHEMBL3648680,CL,mL.min-1.kg-1,=,24.0,CHEMBL612558,,Clearance in cynomolgus monkey hepatocytes at 1 uM preincubated for 5 mins followed by NADPH addition measured up to 60 mins by LC-MS/MS analysis,A,Cn1ncc(NC(=O)c2nc(-c3c(F)cccc3F)sc2N)c1N1CC[C@@H](N)[C@H](F)CC1,24.0,mL.min-1.kg-1,hepatocyte_monkey
19088198,CHEMBL4365193,CHEMBL4468815,CL,mL.min-1.kg-1,=,23.0,CHEMBL612558,,Clearance in cynomolgus monkey hepatocytes,A,Cc1ccc2nc(N3CCS(=O)(=O)c4ccccc4C3)nc(NCC3(N)COC3)c2c1,23.0,mL.min-1.kg-1,hepatocyte_monkey
19176956,CHEMBL4386272,CHEMBL4464990,CL,mL.min-1.kg-1,=,17.0,CHEMBL612558,,Clearance in cynomolgus monkey hepatocytes at 1 uM measured upto 3 hrs by LC-MS/MS analysis,A,O=S(=O)(Nc1ccncn1)c1cc2c(cc1F)[C@@H](N1CC[C@H](C(F)(F)F)C[C@@H]1c1ccccn1)CCO2,17.0,mL.min-1.kg-1,hepatocyte_monkey
20609320,CHEMBL4605700,CHEMBL3986824,CL,mL.min-1.kg-1,=,4.667,CHEMBL613289,,Apparent clearance in monkey hepatocytes,A,Nc1cncc(-c2cn3ccnc3c(Nc3ccc(N4CCN(C5COC5)CC4)cc3)n2)n1,4.667,mL.min-1.kg-1,hepatocyte_monkey
20663162,CHEMBL4618762,CHEMBL4647543,CL,mL.min-1.kg-1,=,7.2,CHEMBL612558,,Intrinsic clearance in cynomolgus monkey hepatocytes,A,CCS(=O)(=O)N1CC(Oc2cncc(N3C(=O)c4ccc(Cl)cc4C3(C)C)c2)C1,7.2,mL.min-1.kg-1,hepatocyte_monkey
22430559,CHEMBL4676220,CHEMBL4537788,CL,mL.min-1.kg-1,=,11.83,CHEMBL612558,,Clearance in cynomolgus monkey hepatocytes,A,O=C(NCc1ncc(C(F)(F)F)cc1Cl)c1ccc2c(c1)C1(CCS(=O)(=O)CC1)[C@H](C1CC1)N2S(=O)(=O)c1ccc(F)cc1,11.83,mL.min-1.kg-1,hepatocyte_monkey
22876709,CHEMBL4726028,CHEMBL4784510,CL,mL.min-1.kg-1,=,28.0,CHEMBL612558,,Clearance in monkey hepatocytes at 0.1 umol/l and measured for 6 hrs by LC-MS/MS analysis,A,COc1cc(F)c([C@@H]2CNC(=O)[C@H]2NC(=O)Nc2ccccc2)c(F)c1,28.0,mL.min-1.kg-1,hepatocyte_monkey
