activity_id,assay_chembl_id,molecule_chembl_id,type,standard_units,relation,standard_value,target_chembl_id,target_organism,assay_description,assay_type,smiles,clint,units,assay_class
2013277,CHEMBL902384,CHEMBL241707,CL,mL.min-1.kg-1,=,3.333,CHEMBL612558,,Metabolic stability in mouse hepatocytes assessed as intrinsic clearance,A,CC(C)(Oc1ccc(F)cc1Cl)C(=O)N[C@H]1C2CC3CC1C[C@](S(C)(=O)=O)(C3)C2,3.333,mL.min-1.kg-1,hepatocyte_mouse
3398089,CHEMBL1219221,CHEMBL1215609,CL,mL.min-1.kg-1,=,0.004,CHEMBL612558,,Intrinsic clearance in mouse liver S9 fraction,A,CC(C)c1cc(C(=O)N2Cc3ccccc3C2)c(O)c(F)c1O,0.004,mL.min-1.kg-1,hepatocyte_mouse
3398252,CHEMBL1219221,CHEMBL1215676,CL,mL.min-1.g-1,=,41.0,CHEMBL612558,,Intrinsic clearance in mouse liver S9 fraction,A,CC(C)c1cc(C(=O)N2Cc3ccc(N4CCN(C)CC4)cc3C2)c(O)cc1O,0.041,mL.min-1.kg-1,hepatocyte_mouse
3398253,CHEMBL1219221,CHEMBL1215677,CL,mL.min-1.kg-1,=,0.034,CHEMBL612558,,Intrinsic clearance in mouse liver S9 fraction,A,CC(C)c1cc(C(=O)N2Cc3ccc(OCCN(C)C)cc3C2)c(O)cc1O,0.034,mL.min-1.kg-1,hepatocyte_mouse
3398254,CHEMBL1219221,CHEMBL1214827,CL,mL.min-1.kg-1,=,0.046,CHEMBL612558,,Intrinsic clearance in mouse liver S9 fraction,A,CC(C)c1cc(C(=O)N2Cc3ccc(CN4CCN(C)CC4)cc3C2)c(O)cc1O,0.046,mL.min-1.kg-1,hepatocyte_mouse
5116134,CHEMBL1632826,CHEMBL1632384,CL,mL.min-1.kg-1,=,23.0,CHEMBL612558,,Clearance in mouse hepatocytes,A,CC(C)NC[C@H](Cc1ccc(Cl)cc1)C(=O)N1CCN(c2ncnc3c2[C@H](C)SC3)CC1,23.0,mL.min-1.kg-1,hepatocyte_mouse
5116135,CHEMBL1632826,CHEMBL1632391,CL,mL.min-1.kg-1,=,22.8,CHEMBL612558,,Clearance in mouse hepatocytes,A,CC(C)NC[C@H](Cc1ccc(Cl)cc1)C(=O)N1CCN(c2ncnc3c2[C@H](C)OC3)CC1,22.8,mL.min-1.kg-1,hepatocyte_mouse
6343444,CHEMBL1827358,CHEMBL1824669,CL,mL.min-1.g-1,=,272000.0,CHEMBL3140324,Mus musculus,Intrinsic clearance in mouse hepatocytes at 1 uM after 90 mins by LC-MS/MS analysis,A,CCCc1cc(-c2nc(-c3ccc(NC(C)C)cc3)cs2)ccn1,272.0,mL.min-1.kg-1,hepatocyte_mouse
6343445,CHEMBL1827358,CHEMBL1824673,CL,mL.min-1.g-1,=,137000.0,CHEMBL3140324,Mus musculus,Intrinsic clearance in mouse hepatocytes at 1 uM after 90 mins by LC-MS/MS analysis,A,CCCc1cc(-c2nc(-c3ccc(NS(C)(=O)=O)cc3)cs2)ccn1,137.0,mL.min-1.kg-1,hepatocyte_mouse
6381773,CHEMBL1839226,CHEMBL1836215,CL,mL.min-1.g-1,=,1.3,CHEMBL3140324,Mus musculus,Intrinsic clearance in mouse hepatocytes,A,Cc1c(-c2noc(-c3ccc(OC(C)C)c(C#N)c3)n2)ccc2c1CCN(C(CO)CO)C2,0.0013,mL.min-1.kg-1,hepatocyte_mouse
10840321,CHEMBL2014801,CHEMBL2012958,CL,mL.min-1.kg-1,=,14.0,CHEMBL3140324,Mus musculus,Clearance in mouse hepatocytes by LC-MS/MS analysis,A,Cc1nc2c(C#N)cccc2n1-c1ccc(C(=O)NC2CC2)s1,14.0,mL.min-1.kg-1,hepatocyte_mouse
10867140,CHEMBL2026028,CHEMBL2023342,CL,mL.min-1.kg-1,=,17.0,CHEMBL3140324,Mus musculus,Clearance in mouse hepatocytes,A,CCCS(=O)(=O)Nc1ccc(F)c(-c2cc3cnc(NCC4CC4)nc3n(C)c2=O)c1F,17.0,mL.min-1.kg-1,hepatocyte_mouse
10867141,CHEMBL2026028,CHEMBL2023497,CL,mL.min-1.kg-1,=,75.0,CHEMBL3140324,Mus musculus,Clearance in mouse hepatocytes,A,CCCS(=O)(=O)Nc1ccc(F)c(-c2cc3cnc(NCCO)nc3n(C)c2=O)c1F,75.0,mL.min-1.kg-1,hepatocyte_mouse
10867142,CHEMBL2026028,CHEMBL2023498,CL,mL.min-1.kg-1,=,46.0,CHEMBL3140324,Mus musculus,Clearance in mouse hepatocytes,A,CCCS(=O)(=O)Nc1ccc(F)c(-c2cc3cnc(NCCCO)nc3n(C)c2=O)c1F,46.0,mL.min-1.kg-1,hepatocyte_mouse
12055824,CHEMBL2153881,CHEMBL2152382,CL,mL.min-1.kg-1,=,31.7,CHEMBL3140324,Mus musculus,Clearance in mouse hepatocytes,A,COC(=O)c1c(Cc2ccc(C(=O)NCCO)cc2)c(=O)c2ccc(Cl)cc2n1-c1ccccc1,31.7,mL.min-1.kg-1,hepatocyte_mouse
12055825,CHEMBL2153881,CHEMBL2152383,CL,mL.min-1.kg-1,=,10.9,CHEMBL3140324,Mus musculus,Clearance in mouse hepatocytes,A,COC(=O)c1c(Cc2ccc(C(=O)N[C@@H]3[C@@H]4C[C@@H]5C[C@H]3C[C@@](O)(C5)C4)cc2)c(=O)c2cccnc2n1-c1ccccc1,10.9,mL.min-1.kg-1,hepatocyte_mouse
12055826,CHEMBL2153881,CHEMBL2152386,CL,mL.min-1.kg-1,=,24.7,CHEMBL3140324,Mus musculus,Clearance in mouse hepatocytes,A,COC(=O)c1c(Cc2ccc(C(=O)NCC(C)(C)O)cc2)c(=O)c2cccnc2n1-c1ccccc1,24.7,mL.min-1.kg-1,hepatocyte_mouse
12055827,CHEMBL2153881,CHEMBL2152387,CL,mL.min-1.kg-1,=,8.7,CHEMBL3140324,Mus musculus,Clearance in mouse hepatocytes,A,COC(=O)c1c(Cc2ccc(C(=O)N[C@H]3CC[C@H](O)CC3)cc2)c(=O)c2cccnc2n1-c1ccccc1,8.7,mL.min-1.kg-1,hepatocyte_mouse
12055828,CHEMBL2153881,CHEMBL2152388,CL,mL.min-1.kg-1,=,52.9,CHEMBL3140324,Mus musculus,Clearance in mouse hepatocytes,A,COC(=O)c1c(Cc2ccc(C(=O)NC(C)(C)CO)cc2)c(=O)c2cccnc2n1-c1ccccc1,52.9,mL.min-1.kg-1,hepatocyte_mouse
12055829,CHEMBL2153881,CHEMBL2152389,CL,mL.min-1.kg-1,=,33.2,CHEMBL3140324,Mus musculus,Clearance in mouse hepatocytes,A,COC(=O)c1c(Cc2ccc(C(=O)NC3(CO)CC3)cc2)c(=O)c2cccnc2n1-c1ccccc1,33.2,mL.min-1.kg-1,hepatocyte_mouse
13313853,CHEMBL2388226,CHEMBL2387080,CL,mL.min-1.kg-1,=,5.2,CHEMBL3140324,Mus musculus,Clearance in mouse hepatocytes,A,Cc1nc(-c2cn3c(n2)-c2ccc(-c4cnn(C(C)(C)C(N)=O)c4)cc2OCC3)n(C(C)C)n1,5.2,mL.min-1.kg-1,hepatocyte_mouse
13345963,CHEMBL2396486,CHEMBL2393173,CL,mL.min-1.kg-1,=,19.0,CHEMBL3140324,Mus musculus,Hepatic clearance in CD-1 mouse hepatocytes at 1 uM by LC-MS/MS analysis,A,O=C(NCc1cccnc1)Nc1ccc(S(=O)(=O)N[C@H]2CCC[C@H](O)C2)cc1,19.0,mL.min-1.kg-1,hepatocyte_mouse
13345964,CHEMBL2396486,CHEMBL2393171,CL,mL.min-1.kg-1,=,6.3,CHEMBL3140324,Mus musculus,Hepatic clearance in CD-1 mouse hepatocytes at 1 uM by LC-MS/MS analysis,A,N[C@H]1CC[C@H](NS(=O)(=O)c2ccc(NC(=O)NCc3cccnc3)cc2)CC1,6.3,mL.min-1.kg-1,hepatocyte_mouse
13345965,CHEMBL2396486,CHEMBL2393166,CL,mL.min-1.kg-1,=,16.0,CHEMBL3140324,Mus musculus,Hepatic clearance in CD-1 mouse hepatocytes at 1 uM by LC-MS/MS analysis,A,CC1CNCCN(S(=O)(=O)c2ccc(NC(=O)NCc3cccnc3)cc2)C1,16.0,mL.min-1.kg-1,hepatocyte_mouse
13345966,CHEMBL2396486,CHEMBL2393163,CL,mL.min-1.kg-1,=,9.2,CHEMBL3140324,Mus musculus,Hepatic clearance in CD-1 mouse hepatocytes at 1 uM by LC-MS/MS analysis,A,O=C(NCc1cccnc1)Nc1ccc(S(=O)(=O)N2CCC3(CCNC3)CC2)cc1,9.2,mL.min-1.kg-1,hepatocyte_mouse
13345967,CHEMBL2396486,CHEMBL2393190,CL,mL.min-1.kg-1,=,55.0,CHEMBL3140324,Mus musculus,Hepatic clearance in CD-1 mouse hepatocytes at 1 uM by LC-MS/MS analysis,A,C[C@@H]1CN(S(=O)(=O)c2ccc(NC(=O)NCc3cccnc3)cc2)C[C@H](C)O1,55.0,mL.min-1.kg-1,hepatocyte_mouse
13345968,CHEMBL2396486,CHEMBL2393183,CL,mL.min-1.kg-1,=,12.0,CHEMBL3140324,Mus musculus,Hepatic clearance in CD-1 mouse hepatocytes at 1 uM by LC-MS/MS analysis,A,Nc1ccc(CNC(=O)Nc2ccc(S(=O)(=O)c3ccccc3)cc2)cn1,12.0,mL.min-1.kg-1,hepatocyte_mouse
