activity_id,assay_chembl_id,molecule_chembl_id,type,standard_units,relation,standard_value,target_chembl_id,target_organism,assay_description,assay_type,smiles,clint,units,assay_class
3118067,CHEMBL1072242,CHEMBL597754,CL,mL.min-1.kg-1,=,5.0,CHEMBL613289,,Intrinsic clearance in hepatocytes,A,CNC(=O)c1nn(C)c2c1CCc1cnc(NC3CCN(C(=O)C4CCN(S(C)(=O)=O)CC4)CC3)nc1-2,5.0,mL.min-1.kg-1,hepatocyte_other
5159165,CHEMBL1657037,CHEMBL1649659,CL,mL.min-1.g-1,=,7.0,CHEMBL612558,,Intrinsic clearance in cryopreserved minipig hepatocytes assessed per gram of tissue,A,O=C(c1ccc(-n2nc(C(F)(F)F)c3c2CCCC3)cc1)N1CCCC1,0.007,mL.min-1.kg-1,hepatocyte_other
12163714,CHEMBL2185637,CHEMBL2017281,CL,mL.min-1.kg-1,=,7.0,CHEMBL612558,,Intrinsic clearance in mini pig hepatocytes assessed per mg of protein at 0.5 uM after 30 mins,A,COc1cc2c(Nc3cccc4cccnc34)c(C(N)=O)cnc2cc1-c1c(C)noc1C,7.0,mL.min-1.kg-1,hepatocyte_other
13950098,CHEMBL3128558,CHEMBL3127106,CL,mL.min-1.kg-1,=,9.7,CHEMBL613289,,Intrinsic clearance in Hartley guinea pig hepatocytes at 2 uM after 60 to 120 mins,A,CN1C(=O)[C@]2(N=C1N)c1cc(-c3cccnc3F)ccc1O[C@H]1CCOC[C@@H]12,9.7,mL.min-1.kg-1,hepatocyte_other
18929672,CHEMBL4325266,CHEMBL4579923,CL,mL.min-1.g-1,=,0.9,CHEMBL612558,,Intrinsic clearance in minipig hepatocytes at 0.5 uM measured after 10 mins by LC-MS/MS analysis,A,COCCS(=O)(=O)Nc1cc(-c2cc3c(c(OC[C@H]4CN(C5COC5)CCO4)c2)COC3)cnc1OC,0.0009,mL.min-1.kg-1,hepatocyte_other
19095253,CHEMBL4367453,CHEMBL4514780,CL,mL.min-1.g-1,=,0.55,CHEMBL612558,,Clearance in minipig hepatocytes,A,CC(C)(C)S(=O)(=O)c1cc2c(Nc3ccc4scnc4c3)ncnc2cc1OCCO,0.00055,mL.min-1.kg-1,hepatocyte_other
22431290,CHEMBL4676374,CHEMBL4745753,CL,mL.min-1.kg-1,=,13.0,CHEMBL612545,,Clearance in mini pig hepatocytes at 10 uM by UPLC/TOF-MS analysis,A,COc1ccc(-c2ccc(C(=O)O)c(CO)c2)n2nc(C3(C(=O)OCC(C)(C)O)CC3)nc12,13.0,mL.min-1.kg-1,hepatocyte_other
22431294,CHEMBL4676374,CHEMBL4750770,CL,mL.min-1.kg-1,=,21.0,CHEMBL612545,,Clearance in mini pig hepatocytes at 10 uM by UPLC/TOF-MS analysis,A,COc1ccc(-c2ccc(C(=O)O)c(CO)c2)n2nc(C3(C(=O)OCC(C)C)CC3)nc12,21.0,mL.min-1.kg-1,hepatocyte_other
22816015,CHEMBL4714782,CHEMBL4781553,CL,mL.min-1.g-1,=,48.0,CHEMBL612558,,Metabolic stability in Hepatocytes (unknown origin) assessed as intrinsic clearance,A,C[C@H](NC(=O)c1cc(C(F)(F)F)nn1C)c1nc(-c2ccnc(N3CCCC3)c2)no1,0.048,mL.min-1.kg-1,hepatocyte_other
22816016,CHEMBL4714782,CHEMBL4795194,CL,mL.min-1.g-1,=,56.0,CHEMBL612558,,Metabolic stability in Hepatocytes (unknown origin) assessed as intrinsic clearance,A,C[C@H](NC(=O)c1cc(C(F)(F)F)nn1C)c1nc(-c2ccnc(N(C)C)c2)no1,0.056,mL.min-1.kg-1,hepatocyte_other
22816017,CHEMBL4714782,CHEMBL4743249,CL,mL.min-1.g-1,=,10.0,CHEMBL612558,,Metabolic stability in Hepatocytes (unknown origin) assessed as intrinsic clearance,A,COc1cc(-c2noc([C@H](C)NC(=O)c3cc(C(F)(F)F)nn3C)n2)cc(C)n1,0.01,mL.min-1.kg-1,hepatocyte_other
22816021,CHEMBL4714782,CHEMBL4793279,CL,mL.min-1.g-1,=,28.0,CHEMBL612558,,Metabolic stability in Hepatocytes (unknown origin) assessed as intrinsic clearance,A,CNc1cc(-c2noc([C@H](C)NC(=O)c3cc(C(F)(F)F)nn3C)n2)ccn1,0.028,mL.min-1.kg-1,hepatocyte_other
22816023,CHEMBL4714782,CHEMBL4776478,CL,mL.min-1.g-1,=,21.0,CHEMBL612558,,Metabolic stability in Hepatocytes (unknown origin) assessed as intrinsic clearance,A,COC(C)(C)c1cc(-c2noc([C@H](C)NC(=O)c3cc(C(F)(F)F)nn3C)n2)ccn1,0.021,mL.min-1.kg-1,hepatocyte_other
24426513,CHEMBL5050282,CHEMBL5089071,CL,mL.min-1.g-1,=,0.5,CHEMBL612558,,Metabolic stability in bovine hepatocytes assessed as intrinsic clearance at 1 uM measured up to 120 mins by UPLC-MS/MS analysis,A,CC(C)CS(=O)(=O)N[C@H]1CC[C@H](Nc2nc(N)c(C(=O)c3c(F)cccc3F)s2)CC1,0.0005,mL.min-1.kg-1,hepatocyte_other
