activity_id,assay_chembl_id,molecule_chembl_id,type,standard_units,relation,standard_value,target_chembl_id,target_organism,assay_description,assay_type,smiles,clint,units,assay_class
750664,CHEMBL623158,CHEMBL115220,CL,mL.min-1.kg-1,=,27.8,CHEMBL376,Rattus norvegicus,Metabolic rate for compound was observed in rat hepatocytes,A,O=C(Cc1ccc2ccccc2c1)Nc1cc(C2CC2)n[nH]1,27.8,mL.min-1.kg-1,hepatocyte_rat
1740157,CHEMBL865345,CHEMBL206873,CL,mL.min-1.kg-1,=,108.0,CHEMBL613289,,Intrinsic clearance in rat hepatocytes after 1 hr at 1 uM,A,CCN(CC)CCOc1ccc(Nc2cc(N(C)C(=O)Nc3cc(O)ccc3C)ncn2)cc1,108.0,mL.min-1.kg-1,hepatocyte_rat
1740160,CHEMBL865345,CHEMBL210762,CL,mL.min-1.kg-1,=,25.0,CHEMBL613289,,Intrinsic clearance in rat hepatocytes after 1 hr at 1 uM,A,CCN(CC)CCOc1ccc(Nc2cc(N(C)C(=O)Nc3c(C)cccc3Cl)ncn2)cc1,25.0,mL.min-1.kg-1,hepatocyte_rat
1740166,CHEMBL865345,CHEMBL210817,CL,mL.min-1.kg-1,=,40.0,CHEMBL613289,,Intrinsic clearance in rat hepatocytes after 1 hr at 1 uM,A,CCN(CC)CCOc1ccc(Nc2cc(N(C)C(=O)Nc3c(Cl)cccc3Cl)ncn2)cc1,40.0,mL.min-1.kg-1,hepatocyte_rat
1740184,CHEMBL865345,CHEMBL379967,CL,mL.min-1.kg-1,=,48.0,CHEMBL613289,,Intrinsic clearance in rat hepatocytes after 1 hr at 1 uM,A,CN(C(=O)Nc1c(Cl)cccc1Cl)c1cc(Nc2ccc(N3CCOCC3)cc2)ncn1,48.0,mL.min-1.kg-1,hepatocyte_rat
1965422,CHEMBL897257,CHEMBL410414,CL,mL.min-1.kg-1,=,31.5,CHEMBL613362,Rattus norvegicus,Clearance in rat hepatocytes,A,CN(Cc1ccccc1)C(=O)[C@@H](NC(=O)c1cc2cc(NC(=O)c3ccccc3-c3ccc(C(F)(F)F)cc3)ccc2n1C)c1ccccc1,31.5,mL.min-1.kg-1,hepatocyte_rat
2250836,CHEMBL1019788,CHEMBL526092,CL,mL.min-1.kg-1,=,5.0,CHEMBL613362,Rattus norvegicus,Metabolic stability in rat hepatocytes assessed as intrinsic clearance at 1 uM,F,CCC1CNC(=O)c2cc(-c3ccnc(N)n3)[nH]c21,5.0,mL.min-1.kg-1,hepatocyte_rat
2250839,CHEMBL1019788,CHEMBL498200,CL,mL.min-1.kg-1,=,8.333,CHEMBL613362,Rattus norvegicus,Metabolic stability in rat hepatocytes assessed as intrinsic clearance at 1 uM,F,Nc1nccc(-c2cc3c([nH]2)C(CCC(F)(F)F)CNC3=O)n1,8.333,mL.min-1.kg-1,hepatocyte_rat
2250840,CHEMBL1019788,CHEMBL524266,CL,mL.min-1.kg-1,=,5.0,CHEMBL613362,Rattus norvegicus,Metabolic stability in rat hepatocytes assessed as intrinsic clearance at 1 uM,F,Nc1nccc(-c2cc3c([nH]2)[C@@H](CCF)CNC3=O)n1,5.0,mL.min-1.kg-1,hepatocyte_rat
2260538,CHEMBL1008872,CHEMBL512440,CL,mL.min-1.g-1,=,0.0,CHEMBL613362,Rattus norvegicus,Metabolic stability in rat hepatocyte assessed as intrinsic clearance per mg of protein at 2 uM,A,Cn1cc(-c2ccc3c(c2)N(c2nc4c(s2)C(=O)NC(C)(C)C4)CCO3)cn1,0.0,mL.min-1.kg-1,hepatocyte_rat
2260546,CHEMBL1008872,CHEMBL469209,CL,mL.min-1.g-1,=,3.0,CHEMBL613362,Rattus norvegicus,Metabolic stability in rat hepatocyte assessed as intrinsic clearance per mg of protein at 2 uM,A,Cc1ccc(-c2ccc3c(c2)N(c2nc4c(s2)C(=O)NC(C)(C)C4)CCO3)nn1,0.003,mL.min-1.kg-1,hepatocyte_rat
2260554,CHEMBL1008872,CHEMBL512092,CL,mL.min-1.g-1,=,13.0,CHEMBL613362,Rattus norvegicus,Metabolic stability in rat hepatocyte assessed as intrinsic clearance per mg of protein at 2 uM,A,CC1(C)Cc2nc(N3CCOc4ccc(-c5cn[nH]c5)cc43)sc2C(=O)N1,0.013,mL.min-1.kg-1,hepatocyte_rat
2260562,CHEMBL1008872,CHEMBL498184,CL,mL.min-1.g-1,=,6.0,CHEMBL613362,Rattus norvegicus,Metabolic stability in rat hepatocyte assessed as intrinsic clearance per mg of protein at 2 uM,A,Cc1n[nH]c(C)c1-c1ccc2c(c1)N(c1nc3c(s1)C(=O)NC(C)(C)C3)CCO2,0.006,mL.min-1.kg-1,hepatocyte_rat
2260570,CHEMBL1008872,CHEMBL498185,CL,mL.min-1.g-1,=,2.0,CHEMBL613362,Rattus norvegicus,Metabolic stability in rat hepatocyte assessed as intrinsic clearance per mg of protein at 2 uM,A,CC(C)(O)Cn1cc(-c2ccc3c(c2)N(c2nc4c(s2)C(=O)NC(C)(C)C4)CCO3)cn1,0.002,mL.min-1.kg-1,hepatocyte_rat
