activity_id,assay_chembl_id,molecule_chembl_id,type,standard_units,relation,standard_value,target_chembl_id,target_organism,assay_description,assay_type,smiles,clint,units,assay_class
684158,CHEMBL631430,CHEMBL3706615,CL,mL.min-1.kg-1,=,67.0,CHEMBL373,Canis lupus familiaris,Intrinsic clearance in dog liver microsome,A,COc1cncc(-c2cnc(C(C)(C)N3CCN(C[C@@H](O)C[C@@H](Cc4ccccc4)C(=O)N[C@H]4c5ccccc5OC[C@H]4O)[C@H](C(=O)NCC(F)(F)F)C3)o2)c1,67.0,mL.min-1.kg-1,microsome_dog
771622,CHEMBL621589,CHEMBL92404,CL,mL.min-1.kg-1,=,11.0,CHEMBL373,Canis lupus familiaris,In vitro clearance in dog liver microsomes,A,C[C@H](O)[C@@H](CCOc1ccc2ccccc2c1)n1cnc(C(N)=O)c1,11.0,mL.min-1.kg-1,microsome_dog
775152,CHEMBL671126,CHEMBL93280,CL,mL.min-1.kg-1,=,97.0,CHEMBL373,Canis lupus familiaris,In vitro clearance in dog liver microsomes,A,Cn1c(CCC(=O)Nc2ccc3ccn(CC[C@H](CO)n4cnc(C(N)=O)c4)c3c2)nc2ccccc21,97.0,mL.min-1.kg-1,microsome_dog
775162,CHEMBL621589,CHEMBL328139,CL,mL.min-1.kg-1,=,21.0,CHEMBL373,Canis lupus familiaris,In vitro clearance in dog liver microsomes,A,C[C@H](O)[C@@H](CCc1cccc(Cl)c1Cl)n1cnc(C(N)=O)c1,21.0,mL.min-1.kg-1,microsome_dog
783978,CHEMBL621589,CHEMBL93560,CL,mL.min-1.kg-1,=,30.0,CHEMBL373,Canis lupus familiaris,In vitro clearance in dog liver microsomes,A,C[C@H](O)[C@@H](CCc1cccc2ccccc12)n1cnc(C(N)=O)c1,30.0,mL.min-1.kg-1,microsome_dog
1462213,CHEMBL838395,CHEMBL251030,CL,mL.min-1.kg-1,=,141.0,CHEMBL612558,,Clearance in dog liver microsomes when incubated at 37 degree Celsius in the presence of NADPH-generating system,A,O=c1[nH]c(CCCN2CC=C(c3ccc(F)cc3)CC2)nc2c(Cl)cccc12,141.0,mL.min-1.kg-1,microsome_dog
1483606,CHEMBL828374,CHEMBL359803,CL,mL.min-1.kg-1,=,6.0,CHEMBL612558,,In vitro clearance in dog liver microsomes,A,C[C@H](O)[C@@H](CCc1cccc2nc(-c3ccc(Cl)cc3)oc12)n1cnc(C(N)=O)c1,6.0,mL.min-1.kg-1,microsome_dog
1485430,CHEMBL828374,CHEMBL93560,CL,mL.min-1.kg-1,=,30.0,CHEMBL612558,,In vitro clearance in dog liver microsomes,A,C[C@H](O)[C@@H](CCc1cccc2ccccc12)n1cnc(C(N)=O)c1,30.0,mL.min-1.kg-1,microsome_dog
1485443,CHEMBL828374,CHEMBL328139,CL,mL.min-1.kg-1,=,21.0,CHEMBL612558,,In vitro clearance in dog liver microsomes,A,C[C@H](O)[C@@H](CCc1cccc(Cl)c1Cl)n1cnc(C(N)=O)c1,21.0,mL.min-1.kg-1,microsome_dog
1485455,CHEMBL828374,CHEMBL436332,CL,mL.min-1.kg-1,=,6.2,CHEMBL612558,,In vitro clearance in dog liver microsomes,A,C[C@H](O)[C@@H](CCc1cccc2oc(-c3ccc(Cl)cc3)nc12)n1cnc(C(N)=O)c1,6.2,mL.min-1.kg-1,microsome_dog
