activity_id,assay_chembl_id,molecule_chembl_id,type,standard_units,relation,standard_value,target_chembl_id,target_organism,assay_description,assay_type,smiles,clint,units,assay_class
33031,CHEMBL695026,CHEMBL306457,CL,mL.min-1.kg-1,=,47.7,CHEMBL372,Homo sapiens,In vitro oxidative metabolic stability measured by the rate of drug consumption in human liver microsomes as intrinsic clearance values,F,NC(=O)C(C[C@H](O)[C@H](Cc1ccccc1)NC(=O)c1cnc2ccccc2n1)C1(O)CCCCC1,47.7,mL.min-1.kg-1,microsome_human
34270,CHEMBL695026,CHEMBL66457,CL,mL.min-1.kg-1,=,4.9,CHEMBL372,Homo sapiens,In vitro oxidative metabolic stability measured by the rate of drug consumption in human liver microsomes as intrinsic clearance values,F,CC(C)(O)CC[C@H](C[C@H](O)[C@H](Cc1ccccc1)NC(=O)c1cnc2ccccc2n1)C(N)=O,4.9,mL.min-1.kg-1,microsome_human
34274,CHEMBL695026,CHEMBL304053,CL,mL.min-1.kg-1,=,16.5,CHEMBL372,Homo sapiens,In vitro oxidative metabolic stability measured by the rate of drug consumption in human liver microsomes as intrinsic clearance values,F,CC(C)(O)CCC(C[C@H](O)[C@H](Cc1ccccc1F)NC(=O)c1cnc2ccccc2n1)C(N)=O,16.5,mL.min-1.kg-1,microsome_human
35507,CHEMBL695026,CHEMBL68366,CL,mL.min-1.kg-1,=,8.0,CHEMBL372,Homo sapiens,In vitro oxidative metabolic stability measured by the rate of drug consumption in human liver microsomes as intrinsic clearance values,F,CC(C)(F)CC[C@H](C[C@H](O)[C@H](Cc1ccccc1)NC(=O)c1cnc2ccccc2n1)C(N)=O,8.0,mL.min-1.kg-1,microsome_human
39099,CHEMBL695026,CHEMBL303673,CL,mL.min-1.kg-1,=,6.1,CHEMBL372,Homo sapiens,In vitro oxidative metabolic stability measured by the rate of drug consumption in human liver microsomes as intrinsic clearance values,F,O=C(N[C@@H](Cc1ccccc1)[C@@H](O)CC(C(=O)NO)C1CCC(F)(F)CC1)c1cnc2ccccc2n1,6.1,mL.min-1.kg-1,microsome_human
46263,CHEMBL695026,CHEMBL66159,CL,mL.min-1.kg-1,=,32.7,CHEMBL372,Homo sapiens,In vitro oxidative metabolic stability measured by the rate of drug consumption in human liver microsomes as intrinsic clearance values,F,CC(C)(F)CCC(C[C@H](O)[C@H](Cc1ccccc1)NC(=O)c1cnc2ccccc2n1)C(=O)NN,32.7,mL.min-1.kg-1,microsome_human
53965,CHEMBL695026,CHEMBL304358,CL,mL.min-1.kg-1,=,202.0,CHEMBL372,Homo sapiens,In vitro oxidative metabolic stability measured by the rate of drug consumption in human liver microsomes as intrinsic clearance values,F,CC(C)CC[C@H](C[C@H](O)[C@H](Cc1ccccc1)NC(=O)c1cnc2ccccc2n1)C(N)=O,202.0,mL.min-1.kg-1,microsome_human
57677,CHEMBL695026,CHEMBL65784,CL,mL.min-1.kg-1,=,299.0,CHEMBL372,Homo sapiens,In vitro oxidative metabolic stability measured by the rate of drug consumption in human liver microsomes as intrinsic clearance values,F,CC(C)(F)CCC(C[C@H](O)[C@H](Cc1ccccc1)NC(=O)c1cnc2ccccc2n1)C(=O)NCc1ccccc1,299.0,mL.min-1.kg-1,microsome_human
64259,CHEMBL695026,CHEMBL302533,CL,mL.min-1.kg-1,=,35.0,CHEMBL372,Homo sapiens,In vitro oxidative metabolic stability measured by the rate of drug consumption in human liver microsomes as intrinsic clearance values,F,NC(=O)C(C[C@H](O)[C@H](Cc1ccccc1)NC(=O)c1cnc2ccccc2n1)C1CCC(F)(F)CC1,35.0,mL.min-1.kg-1,microsome_human
64263,CHEMBL695026,CHEMBL302320,CL,mL.min-1.kg-1,=,6.4,CHEMBL372,Homo sapiens,In vitro oxidative metabolic stability measured by the rate of drug consumption in human liver microsomes as intrinsic clearance values,F,NC(=O)C(C[C@H](O)[C@H](Cc1ccccc1)NC(=O)c1cnc2ccccc2n1)C1(O)CCC(F)(F)CC1,6.4,mL.min-1.kg-1,microsome_human
64267,CHEMBL695026,CHEMBL308473,CL,mL.min-1.kg-1,=,6.0,CHEMBL372,Homo sapiens,In vitro oxidative metabolic stability measured by the rate of drug consumption in human liver microsomes as intrinsic clearance values,F,CC(C)(O)CCC(C[C@H](O)[C@H](Cc1cccc(F)c1)NC(=O)c1cnc2ccccc2n1)C(N)=O,6.0,mL.min-1.kg-1,microsome_human
66855,CHEMBL695026,CHEMBL68145,CL,mL.min-1.kg-1,=,242.0,CHEMBL372,Homo sapiens,In vitro oxidative metabolic stability measured by the rate of drug consumption in human liver microsomes as intrinsic clearance values,F,NC(=O)C(C[C@H](O)[C@H](Cc1ccccc1)NC(=O)c1cnc2ccccc2n1)C1CCCCC1,242.0,mL.min-1.kg-1,microsome_human
70756,CHEMBL695026,CHEMBL305423,CL,mL.min-1.kg-1,=,3.6,CHEMBL372,Homo sapiens,In vitro oxidative metabolic stability measured by the rate of drug consumption in human liver microsomes as intrinsic clearance values,F,CC(C)(F)CCC(C[C@H](O)[C@H](Cc1ccccc1)NC(=O)c1cnc2ccccc2n1)C(=O)NO,3.6,mL.min-1.kg-1,microsome_human
76627,CHEMBL618990,CHEMBL3706623,CL,mL.min-1.kg-1,=,233.0,CHEMBL612558,,In vitro intrinsic clearance in human liver microsome,A,O=C(N[C@H]1c2ccccc2OC[C@H]1O)[C@H](Cc1ccccc1)C[C@H](O)CN1CCN(Cc2ccc(-c3cccnc3)o2)C[C@H]1C(=O)NCC(F)(F)F,233.0,mL.min-1.kg-1,microsome_human
80066,CHEMBL876725,CHEMBL327772,CL,mL.min-1.g-1,=,71.0,CHEMBL612558,,In vitro microsome metabolism clearance in human was determined,A,CCCOc1ccc(S(=O)(=O)N2CCN(C(=O)N(C)C)CC2)cc1-c1nc2c(=O)n(C)c(=O)n(CC(C)C)c2[nH]1,0.071,mL.min-1.kg-1,microsome_human
82255,CHEMBL618990,CHEMBL5483011,CL,mL.min-1.kg-1,=,50.0,CHEMBL612558,,In vitro intrinsic clearance in human liver microsome,A,CC(C)(C)NC(=O)[C@@H]1CN(Cc2cccnc2)CCN1C[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O.O,50.0,mL.min-1.kg-1,microsome_human
90192,CHEMBL618990,CHEMBL3706620,CL,mL.min-1.kg-1,=,19.0,CHEMBL612558,,In vitro intrinsic clearance in human liver microsome,A,CC(C)(c1ccc(-c2ccncc2)o1)N1CCN(C[C@@H](O)C[C@@H](Cc2ccccc2)C(=O)N[C@H]2c3ccccc3OC[C@H]2O)[C@H](C(=O)NCC(F)(F)F)C1,19.0,mL.min-1.kg-1,microsome_human
91399,CHEMBL876725,CHEMBL89248,CL,mL.min-1.g-1,=,114.0,CHEMBL612558,,In vitro microsome metabolism clearance in human was determined,A,CCOc1ccc(S(=O)(=O)N2CCN(C)CC2)cc1-c1nc2c(=O)n(C)c(=O)n(CC(C)CC)c2[nH]1,0.114,mL.min-1.kg-1,microsome_human
102343,CHEMBL618990,CHEMBL114756,CL,mL.min-1.kg-1,=,133.0,CHEMBL612558,,In vitro intrinsic clearance in human liver microsome,A,O=C(N[C@H]1c2ccccc2OC[C@H]1O)[C@H](Cc1ccccc1)C[C@H](O)CN1CCN(Cc2ccc(-c3ccncc3)o2)C[C@H]1C(=O)NCC(F)(F)F,133.0,mL.min-1.kg-1,microsome_human
345990,CHEMBL818581,CHEMBL57049,CL,mL.min-1.g-1,=,4.0,CHEMBL372,Homo sapiens,Intrinsic clearance in human liver microsomes,A,Cn1cc(Cc2cn(CC(=O)N3CCN(c4ccc(Cl)cc4)CC3)c(SCc3ccc(F)cc3)nc2=O)cnc1=O,0.004,mL.min-1.kg-1,microsome_human
