activity_id,assay_chembl_id,molecule_chembl_id,type,standard_units,relation,standard_value,target_chembl_id,target_organism,assay_description,assay_type,smiles,clint,units,assay_class
684159,CHEMBL631429,CHEMBL3706615,CL,mL.min-1.kg-1,=,120.0,CHEMBL614875,Macaca mulatta,Intrinsic clearance in Rhesus liver microsome,A,COc1cncc(-c2cnc(C(C)(C)N3CCN(C[C@@H](O)C[C@@H](Cc4ccccc4)C(=O)N[C@H]4c5ccccc5OC[C@H]4O)[C@H](C(=O)NCC(F)(F)F)C3)o2)c1,120.0,mL.min-1.kg-1,microsome_monkey
1961702,CHEMBL893671,CHEMBL234606,CL,mL.min-1.kg-1,=,20.0,CHEMBL612558,,Metabolic stability in monkey liver microsomes,A,CC(C)(O)CC[C@@H](CN)C[C@H](O)[C@H](Cc1cccc(F)c1)NC(=O)c1cnc2ccccc2n1,20.0,mL.min-1.kg-1,microsome_monkey
1961774,CHEMBL893671,CHEMBL430166,CL,mL.min-1.kg-1,=,18.0,CHEMBL612558,,Metabolic stability in monkey liver microsomes,A,C[C@@H]1CN(Cc2ccc(F)cc2)[C@@H](C)CN1C(=O)COc1ccc(Cl)cc1CS(=O)(=O)O,18.0,mL.min-1.kg-1,microsome_monkey
1961775,CHEMBL893671,CHEMBL234263,CL,mL.min-1.kg-1,=,18.0,CHEMBL612558,,Metabolic stability in monkey liver microsomes,A,C[C@@H]1CN(Cc2ccc(F)cc2)[C@@H](C)CN1C(=O)COc1ccc(Cl)cc1C(=O)CCC(=O)O,18.0,mL.min-1.kg-1,microsome_monkey
1961776,CHEMBL893671,CHEMBL391239,CL,mL.min-1.kg-1,=,18.0,CHEMBL612558,,Metabolic stability in monkey liver microsomes,A,COS(=O)(=O)NC(=O)Cc1cc(Cl)ccc1OCC(=O)N1C[C@H](C)N(Cc2ccc(F)cc2)C[C@H]1C,18.0,mL.min-1.kg-1,microsome_monkey
1961777,CHEMBL893671,CHEMBL234262,CL,mL.min-1.kg-1,=,18.0,CHEMBL612558,,Metabolic stability in monkey liver microsomes,A,C[C@@H]1CN(Cc2ccc(F)cc2)[C@@H](C)CN1C(=O)COc1ccc(Cl)cc1CC(=O)O,18.0,mL.min-1.kg-1,microsome_monkey
1961778,CHEMBL893671,CHEMBL391238,CL,mL.min-1.kg-1,=,18.0,CHEMBL612558,,Metabolic stability in monkey liver microsomes,A,C[C@@H]1CN(Cc2ccc(F)cc2)[C@@H](C)CN1C(=O)COc1ccc(Cl)cc1NC(=O)NCCN,18.0,mL.min-1.kg-1,microsome_monkey
1961780,CHEMBL893671,CHEMBL391302,CL,mL.min-1.kg-1,=,36.0,CHEMBL612558,,Metabolic stability in monkey liver microsomes,A,C[C@@H]1CN(Cc2ccc(F)cc2)[C@@H](C)CN1C(=O)COc1ccc(Cl)cc1C(=O)NCCN,36.0,mL.min-1.kg-1,microsome_monkey
1961781,CHEMBL893671,CHEMBL391301,CL,mL.min-1.kg-1,=,31.0,CHEMBL612558,,Metabolic stability in monkey liver microsomes,A,C[C@@H]1CN(Cc2ccc(F)cc2)[C@@H](C)CN1C(=O)COc1ccc(Cl)cc1C(=O)O,31.0,mL.min-1.kg-1,microsome_monkey
1961782,CHEMBL893671,CHEMBL234622,CL,mL.min-1.kg-1,=,40.0,CHEMBL612558,,Metabolic stability in monkey liver microsomes,A,C[C@@H]1CN(Cc2ccc(F)cc2)CCN1C(=O)COc1ccc(Cl)cc1,40.0,mL.min-1.kg-1,microsome_monkey
