activity_id,assay_chembl_id,molecule_chembl_id,type,standard_units,relation,standard_value,target_chembl_id,target_organism,assay_description,assay_type,smiles,clint,units,assay_class
570918,CHEMBL642589,CHEMBL64148,CL,mL.min-1.kg-1,=,347.0,CHEMBL375,Mus musculus,Pharmacokinetic data was determined as intrinsic clearance in the mouse liver microsomes,A,COc1cccc(-c2c(C)n(Cc3c(F)cccc3F)c(=O)n(CCNCCc3ccccn3)c2=O)c1,347.0,mL.min-1.kg-1,microsome_mouse
1519965,CHEMBL840499,CHEMBL371425,CL,mL.min-1.g-1,=,12.0,CHEMBL612558,,In vitro metabolic stability was measured in mouse liver microsomes,A,CCC(=O)Nc1cccc(Cc2n[nH]c(=O)c3ccccc23)c1,0.012,mL.min-1.kg-1,microsome_mouse
1520094,CHEMBL840499,CHEMBL195464,CL,mL.min-1.g-1,=,50.0,CHEMBL612558,,In vitro metabolic stability was measured in mouse liver microsomes,A,O=C(Nc1cccc(Cc2nnc(O)c3ccccc23)c1)C(F)(F)F,0.05,mL.min-1.kg-1,microsome_mouse
1520102,CHEMBL840499,CHEMBL381208,CL,mL.min-1.g-1,=,1.0,CHEMBL612558,,In vitro metabolic stability was measured in mouse liver microsomes,A,CCNC(=O)c1cccc(Cc2n[nH]c(=O)c3ccccc23)c1,0.001,mL.min-1.kg-1,microsome_mouse
1520104,CHEMBL840499,CHEMBL196559,CL,mL.min-1.g-1,=,4.9,CHEMBL612558,,In vitro metabolic stability was measured in mouse liver microsomes,A,O=C1CCCN1c1cccc(Cc2n[nH]c(=O)c3ccccc23)c1,0.004900000000000001,mL.min-1.kg-1,microsome_mouse
1520119,CHEMBL840499,CHEMBL196444,CL,mL.min-1.g-1,=,1.0,CHEMBL612558,,In vitro metabolic stability was measured in mouse liver microsomes,A,O=C1CCC(=O)N1c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F,0.001,mL.min-1.kg-1,microsome_mouse
1665850,CHEMBL860339,CHEMBL436295,CL,mL.min-1.g-1,=,102.0,CHEMBL375,Mus musculus,Clearance in mouse microsomes,A,O=C1NCN(c2ccc(F)cc2)C12CCN([C@@H]1CCCC[C@@]1(O)c1ccc(F)cc1)CC2,0.102,mL.min-1.kg-1,microsome_mouse
1665921,CHEMBL860339,CHEMBL200141,CL,mL.min-1.g-1,=,7.0,CHEMBL375,Mus musculus,Clearance in mouse microsomes,A,CCCN1CNC(=O)C12CCN([C@@H]1CCCC[C@@]1(O)c1ccccc1)CC2,0.007,mL.min-1.kg-1,microsome_mouse
1665922,CHEMBL860339,CHEMBL372402,CL,mL.min-1.g-1,=,10.0,CHEMBL375,Mus musculus,Clearance in mouse microsomes,A,CCCN1CNC(=O)C12CCN([C@H]1CCCC[C@H]1c1ccccc1)CC2,0.01,mL.min-1.kg-1,microsome_mouse
1684337,CHEMBL854115,CHEMBL371425,CL,mL.min-1.g-1,=,12.0,CHEMBL375,Mus musculus,Intrinsic clearance in mouse hepatic microsomes,A,CCC(=O)Nc1cccc(Cc2n[nH]c(=O)c3ccccc23)c1,0.012,mL.min-1.kg-1,microsome_mouse
1737968,CHEMBL868670,CHEMBL413059,CL,mL.min-1.g-1,=,1.59,CHEMBL375,Mus musculus,Intrinsic clearance in mouse liver microsomes,A,CC(=O)O[C@H]1C[C@H]2[C@@H]([C@H](OC(C)=O)C[C@@H]3CC4(CC[C@@]32C)OOC2(CCC(C(N)=O)CC2)OO4)[C@@H]2CC[C@H]([C@H](C)CCC(N)=O)[C@@]12C,0.00159,mL.min-1.kg-1,microsome_mouse
1753353,CHEMBL864839,CHEMBL377164,CL,mL.min-1.g-1,=,0.0,CHEMBL375,Mus musculus,Intrinsic clearance in mouse microsome,A,O=C1NCC(c2ccccc2)C12CCN(C1(c3ccccc3)CCCCC1)CC2,0.0,mL.min-1.kg-1,microsome_mouse
