activity_id,assay_chembl_id,molecule_chembl_id,type,standard_units,relation,standard_value,target_chembl_id,target_organism,assay_description,assay_type,smiles,clint,units,assay_class
1455288,CHEMBL828364,CHEMBL185905,CL,mL.min-1.g-1,=,105.0,CHEMBL612558,,Metabolic clearance in guinea pig liver microsomes,A,NC(=O)N(O)CCC#Cc1ccc(OCCN2CCC(=C3c4ccc(Cl)cc4CCc4cccnc43)CC2)cc1,0.105,mL.min-1.kg-1,microsome_other
1457045,CHEMBL828364,CHEMBL425358,CL,mL.min-1.g-1,=,19.0,CHEMBL612558,,Metabolic clearance in guinea pig liver microsomes,A,NC(=O)N(O)CCC#Cc1ccc(OCCN2CCN([C@H](c3ccccc3)c3ccc(Cl)cc3)CC2)cc1,0.019,mL.min-1.kg-1,microsome_other
1457173,CHEMBL828364,CHEMBL444083,CL,mL.min-1.g-1,=,111.0,CHEMBL612558,,Metabolic clearance in guinea pig liver microsomes,A,NC(=O)N(O)CCC#Cc1ccc(OCCCCN2CCN(C(c3ccc(F)cc3)c3ccc(F)cc3)CC2)cc1,0.111,mL.min-1.kg-1,microsome_other
1457189,CHEMBL828364,CHEMBL187264,CL,mL.min-1.g-1,=,99.0,CHEMBL612558,,Metabolic clearance in guinea pig liver microsomes,A,NC(=O)N(O)CCC#Cc1ccc(OCCCN2CCN([C@H](c3ccccc3)c3ccc(Cl)cc3)CC2)cc1,0.099,mL.min-1.kg-1,microsome_other
1727405,CHEMBL853245,CHEMBL207433,CL,mL.min-1.g-1,=,4.2,CHEMBL369,Cavia porcellus,Intrinsic clearance in guinea pig liver microsomes,A,O=C(Nc1ccccc1Br)N[C@@H]1CCN(c2ccc(C(F)(F)F)cn2)C1,0.004200000000000001,mL.min-1.kg-1,microsome_other
2401189,CHEMBL944390,CHEMBL458358,CL,mL.min-1.g-1,=,47700.0,CHEMBL612558,,Metabolic stability in liver microsomes assessed as intrinsic clearance after 30 mins by LC/MS/MS analysis in presence of NADPH,A,CN[C@@H](C)C(=O)Nc1ccc(Oc2ccc(OC)cc2)c(C(=O)NCc2csc(-c3cccs3)n2)c1,47.7,mL.min-1.kg-1,microsome_other
2486936,CHEMBL994276,CHEMBL213390,CL,mL.min-1.g-1,=,3.9,CHEMBL612558,,Intrinsic clearance in guinea pig liver microsomes,A,O=C(Nc1ccc2cccnc2c1)c1ccc(-c2ccccc2)nc1,0.0039,mL.min-1.kg-1,microsome_other
2486966,CHEMBL994276,CHEMBL478244,CL,mL.min-1.g-1,=,42.0,CHEMBL612558,,Intrinsic clearance in guinea pig liver microsomes,A,O=C(Nc1ccc2cccnc2c1)c1ccc(-c2ccc(F)cc2)nc1,0.042,mL.min-1.kg-1,microsome_other
2486978,CHEMBL994276,CHEMBL514691,CL,mL.min-1.g-1,=,2.7,CHEMBL612558,,Intrinsic clearance in guinea pig liver microsomes,A,Cc1nc2cc(NC(=O)c3ccc(-c4ccc(F)cc4)nc3C)ccc2s1,0.0027,mL.min-1.kg-1,microsome_other
3312914,CHEMBL1117856,CHEMBL1086243,CL,mL.min-1.kg-1,=,133.33,CHEMBL612558,,Intrinsic clearance in marmoset liver microsome after 60 hrs,A,COc1ccc(N2CCOCC2)c2cc(C(=O)Nc3ccc(Cn4ccnc4)cc3)oc12,133.33,mL.min-1.kg-1,microsome_other
3312916,CHEMBL1117856,CHEMBL1086470,CL,mL.min-1.kg-1,=,21.67,CHEMBL612558,,Intrinsic clearance in marmoset liver microsome after 60 hrs,A,CNC(=O)c1cc2c(N3CCOCC3)ccc(OC)c2o1,21.67,mL.min-1.kg-1,microsome_other
3401573,CHEMBL1217405,CHEMBL1214452,CL,mL.min-1.g-1,=,0.5,CHEMBL612558,,Intrinsic clearance in marmoset liver microsomes assessed per gram of tissue at 0.5 uM after 30 mins,A,CC(C)S(=O)(=O)N[C@H]1Cc2ccc(-c3ccc(F)cn3)cc2C1,0.0005,mL.min-1.kg-1,microsome_other
3401574,CHEMBL1217405,CHEMBL1214447,CL,mL.min-1.g-1,=,1.1,CHEMBL612558,,Intrinsic clearance in marmoset liver microsomes assessed per gram of tissue at 0.5 uM after 30 mins,A,Cc1ccc(-c2ccc3c(c2)C[C@@H](NS(=O)(=O)C(C)C)C3)cn1,0.0011,mL.min-1.kg-1,microsome_other
3401575,CHEMBL1217405,CHEMBL1214399,CL,mL.min-1.g-1,=,0.6,CHEMBL612558,,Intrinsic clearance in marmoset liver microsomes assessed per gram of tissue at 0.5 uM after 30 mins,A,CC(C)S(=O)(=O)N[C@H]1Cc2ccc(-c3ccc(F)nc3)cc2C1,0.0006,mL.min-1.kg-1,microsome_other
5159143,CHEMBL1657029,CHEMBL1649659,CL,mL.min-1.g-1,=,4.4,CHEMBL612558,,Intrinsic clearance in minipig liver microsomes assessed per gram of tissue,A,O=C(c1ccc(-n2nc(C(F)(F)F)c3c2CCCC3)cc1)N1CCCC1,0.0044,mL.min-1.kg-1,microsome_other
7995762,CHEMBL1936044,CHEMBL1276308,CL,mL.min-1.g-1,=,92.5,CHEMBL612558,,Intrinsic clearance in liver microsomes,A,CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N(C)C)cc3)C[C@@]21C,0.0925,mL.min-1.kg-1,microsome_other
7995763,CHEMBL1936044,CHEMBL1934746,CL,mL.min-1.g-1,=,81.0,CHEMBL612558,,Intrinsic clearance in liver microsomes,A,CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N(C)C=O)cc3)C[C@@]21C,0.081,mL.min-1.kg-1,microsome_other
7995764,CHEMBL1936044,CHEMBL1934748,CL,mL.min-1.g-1,=,76.0,CHEMBL612558,,Intrinsic clearance in liver microsomes,A,CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@](Cl)(c3cc(Cl)c(N(C)C)c(Cl)c3)C[C@@]21C,0.076,mL.min-1.kg-1,microsome_other
8008788,CHEMBL1944123,CHEMBL1941116,CL,mL.min-1.kg-1,=,120.0,CHEMBL613681,Cavia porcellus,Clearance in guinea pig liver microsomes,A,O=C(O)COc1cccc(CCCn2cc(C(c3ccccc3)c3ccccc3)ccc2=O)c1,120.0,mL.min-1.kg-1,microsome_other
12163722,CHEMBL2185639,CHEMBL2017281,CL,mL.min-1.kg-1,=,10.4,CHEMBL612558,,Intrinsic clearance in mini pig liver microsomes assessed per mg of protein at 0.5 uM after 30 mins,A,COc1cc2c(Nc3cccc4cccnc34)c(C(N)=O)cnc2cc1-c1c(C)noc1C,10.4,mL.min-1.kg-1,microsome_other
12733258,CHEMBL2351993,CHEMBL2349471,CL,mL.min-1.kg-1,=,12.0,CHEMBL613681,Cavia porcellus,Clearance in guinea pig liver microsomes at 1 uM after 20 mins by LC-MS/MS analysis in presence of NADPH,A,CC1(C)Cc2ccc(-c3cncnc3)cc2[C@@]2(COC(N)=N2)C1,12.0,mL.min-1.kg-1,microsome_other
12733259,CHEMBL2351993,CHEMBL2349470,CL,mL.min-1.kg-1,=,8.5,CHEMBL613681,Cavia porcellus,Clearance in guinea pig liver microsomes at 1 uM after 20 mins by LC-MS/MS analysis in presence of NADPH,A,CN1C(=O)[C@]2(CC(C)(C)Cc3ccc(-c4cncnc4)cc32)N=C1N,8.5,mL.min-1.kg-1,microsome_other
12733260,CHEMBL2351993,CHEMBL2349469,CL,mL.min-1.kg-1,=,26.0,CHEMBL613681,Cavia porcellus,Clearance in guinea pig liver microsomes at 1 uM after 20 mins by LC-MS/MS analysis in presence of NADPH,A,CN1C(=O)[C@]2(CC(C)(C)Cc3ccc(-c4cccnc4F)cc32)N=C1N,26.0,mL.min-1.kg-1,microsome_other
12733261,CHEMBL2351993,CHEMBL2349468,CL,mL.min-1.kg-1,=,35.0,CHEMBL613681,Cavia porcellus,Clearance in guinea pig liver microsomes at 1 uM after 20 mins by LC-MS/MS analysis in presence of NADPH,A,CN1C(=O)[C@]2(CC(C)(C)Cc3ccc(-c4cccc(C#N)c4)cc32)N=C1N,35.0,mL.min-1.kg-1,microsome_other
12733262,CHEMBL2351993,CHEMBL2349467,CL,mL.min-1.kg-1,=,35.0,CHEMBL613681,Cavia porcellus,Clearance in guinea pig liver microsomes at 1 uM after 20 mins by LC-MS/MS analysis in presence of NADPH,A,CN1C(=O)[C@]2(CC(C)(C)Oc3ccc(-c4cncc(Cl)c4)cc32)N=C1N,35.0,mL.min-1.kg-1,microsome_other
13950097,CHEMBL3128557,CHEMBL3127106,CL,mL.min-1.kg-1,=,17.0,CHEMBL612558,,Clearance in Hartley guinea pig liver microsomes at 1 uM after 20 mins by LC-MS/MS analysis in presence of NADPH,A,CN1C(=O)[C@]2(N=C1N)c1cc(-c3cccnc3F)ccc1O[C@H]1CCOC[C@@H]12,17.0,mL.min-1.kg-1,microsome_other
15452483,CHEMBL3533095,CHEMBL3527329,CL,mL.min-1.g-1,=,71800.0,CHEMBL612558,,Intrinsic clearance in pig liver microsomes incubated for 5 mins prior to UDPGA addition measured after 90 mins,A,O=c1c(-c2ccc(O)cc2)coc2cc3c(c(O)c12)OCO3,71.8,mL.min-1.kg-1,microsome_other
15642929,CHEMBL3591714,CHEMBL3590268,CL,mL.min-1.g-1,=,351.0,CHEMBL612558,,Clearance in hamster hepatic microsomes,A,CCCc1cc(C(O)(C(F)(F)F)C(F)(F)F)ccc1OCCCCN1C(=O)NC(C)(c2ccc3c(c2)OCO3)C1=O,0.351,mL.min-1.kg-1,microsome_other
15642930,CHEMBL3591714,CHEMBL3590260,CL,mL.min-1.g-1,=,295.0,CHEMBL612558,,Clearance in hamster hepatic microsomes,A,CCCc1cc(C(O)(C(F)(F)F)C(F)(F)F)ccc1OCCCCN1C(=O)NC(CC)(c2ccc(OC)cc2)C1=O,0.295,mL.min-1.kg-1,microsome_other
15642931,CHEMBL3591714,CHEMBL3589803,CL,mL.min-1.g-1,=,49.0,CHEMBL612558,,Clearance in hamster hepatic microsomes,A,CCCc1cc(C(O)(C(F)(F)F)C(F)(F)F)cc(CCC)c1OCCCCN1C(=O)NC(C)(c2ccc(OC(C)C)cc2)C1=O,0.049,mL.min-1.kg-1,microsome_other
15642932,CHEMBL3591714,CHEMBL3403710,CL,mL.min-1.g-1,=,500.0,CHEMBL612558,,Clearance in hamster hepatic microsomes,A,CCCc1c(OCCCCN2C(=O)NC(C)(c3ccc(OC)cc3)C2=O)ccc2c(C(F)(F)F)cc(=O)oc12,0.5,mL.min-1.kg-1,microsome_other
16414464,CHEMBL3748924,CHEMBL3746427,CL,mL.min-1.g-1,=,434.0,CHEMBL612558,,Intrinsic clearance in golden hamster liver microsomes,A,O=C(NCc1cccc(Cl)c1)Nc1cc(-c2ccccn2)n[nH]1,0.434,mL.min-1.kg-1,microsome_other
16414467,CHEMBL3748924,CHEMBL3745892,CL,mL.min-1.g-1,=,216.0,CHEMBL612558,,Intrinsic clearance in golden hamster liver microsomes,A,O=C(Nc1cc(-c2ccccn2)n[nH]1)N1CCC(c2ccccc2)CC1,0.216,mL.min-1.kg-1,microsome_other
16414468,CHEMBL3748924,CHEMBL3747709,CL,mL.min-1.g-1,=,272.0,CHEMBL612558,,Intrinsic clearance in golden hamster liver microsomes,A,O=C(Nc1cc(-c2ccccn2)n[nH]1)N1CCC(c2ccc(F)cc2)CC1,0.272,mL.min-1.kg-1,microsome_other
16414469,CHEMBL3748924,CHEMBL3746468,CL,mL.min-1.g-1,=,207.0,CHEMBL612558,,Intrinsic clearance in golden hamster liver microsomes,A,O=C(Nc1cc(-c2ccccn2)n[nH]1)N1CCC(c2cccc(F)c2)CC1,0.207,mL.min-1.kg-1,microsome_other
16414470,CHEMBL3748924,CHEMBL3747375,CL,mL.min-1.g-1,=,43.8,CHEMBL612558,,Intrinsic clearance in golden hamster liver microsomes,A,O=C(Nc1cc(-c2ccccn2)n[nH]1)N1CCC(c2ccc(Cl)cc2)CC1,0.0438,mL.min-1.kg-1,microsome_other
