activity_id,assay_chembl_id,molecule_chembl_id,type,standard_units,relation,standard_value,target_chembl_id,target_organism,assay_description,assay_type,smiles,clint,units,assay_class
80065,CHEMBL621792,CHEMBL327772,CL,mL.min-1.g-1,=,185.0,CHEMBL376,Rattus norvegicus,In vitro microsome metabolism clearance in rat was determined,A,CCCOc1ccc(S(=O)(=O)N2CCN(C(=O)N(C)C)CC2)cc1-c1nc2c(=O)n(C)c(=O)n(CC(C)C)c2[nH]1,0.185,mL.min-1.kg-1,microsome_rat
91398,CHEMBL621792,CHEMBL89248,CL,mL.min-1.g-1,=,178.0,CHEMBL376,Rattus norvegicus,In vitro microsome metabolism clearance in rat was determined,A,CCOc1ccc(S(=O)(=O)N2CCN(C)CC2)cc1-c1nc2c(=O)n(C)c(=O)n(CC(C)CC)c2[nH]1,0.178,mL.min-1.kg-1,microsome_rat
102433,CHEMBL621792,CHEMBL86512,CL,mL.min-1.g-1,=,226.0,CHEMBL376,Rattus norvegicus,In vitro microsome metabolism clearance in rat was determined,A,CCCOc1ccc(S(=O)(=O)N2CCC(CCO)CC2)cc1-c1nc2c(=O)n(C)c(=O)n(CC(C)C)c2[nH]1,0.226,mL.min-1.kg-1,microsome_rat
345989,CHEMBL773715,CHEMBL57049,CL,mL.min-1.g-1,=,3.0,CHEMBL376,Rattus norvegicus,Intrinsic clearance in rat liver microsomes,A,Cn1cc(Cc2cn(CC(=O)N3CCN(c4ccc(Cl)cc4)CC3)c(SCc3ccc(F)cc3)nc2=O)cnc1=O,0.003,mL.min-1.kg-1,microsome_rat
345995,CHEMBL773715,CHEMBL58151,CL,mL.min-1.g-1,=,6.0,CHEMBL376,Rattus norvegicus,Intrinsic clearance in rat liver microsomes,A,Cn1cc(Cc2cn(CC(=O)N3CCN(c4ccc(Cl)c(Cl)c4)CC3)c(SCc3ccc(F)cc3)nc2=O)cn1,0.006,mL.min-1.kg-1,microsome_rat
352807,CHEMBL773715,CHEMBL57890,CL,mL.min-1.g-1,=,13.0,CHEMBL376,Rattus norvegicus,Intrinsic clearance in rat liver microsomes,A,O=C(Cn1cc(Cc2cnc(N3CCOCC3)nc2)c(=O)nc1SCc1ccc(F)cc1)N1CCN(c2ccc(Cl)cc2)CC1,0.013,mL.min-1.kg-1,microsome_rat
364232,CHEMBL773715,CHEMBL291535,CL,mL.min-1.g-1,=,3.0,CHEMBL376,Rattus norvegicus,Intrinsic clearance in rat liver microsomes,A,Cc1ncc(Cc2cn(CC(=O)N3CCN(c4ccc(Cl)cc4)CC3)c(SCc3ccc(F)cc3)nc2=O)cn1,0.003,mL.min-1.kg-1,microsome_rat
371287,CHEMBL773715,CHEMBL57239,CL,mL.min-1.g-1,=,19.0,CHEMBL376,Rattus norvegicus,Intrinsic clearance in rat liver microsomes,A,COc1ncc(Cc2cn(CCCC(=O)N3CCN(c4ccc(Cl)cc4)CC3)c(SCc3ccc(F)cc3)nc2=O)cn1,0.019,mL.min-1.kg-1,microsome_rat
374217,CHEMBL773715,CHEMBL417780,CL,mL.min-1.g-1,=,2.0,CHEMBL376,Rattus norvegicus,Intrinsic clearance in rat liver microsomes,A,COc1ncc(Cc2cn(CC(=O)N3CCN(c4ccc(Cl)cc4)CC3)c(SCc3ccc(F)cc3)nc2=O)cn1,0.002,mL.min-1.kg-1,microsome_rat
375523,CHEMBL773715,CHEMBL56954,CL,mL.min-1.g-1,=,2.0,CHEMBL376,Rattus norvegicus,Intrinsic clearance in rat liver microsomes,A,COc1ncc(Cc2cn(CC(=O)N3CCN(c4ccc(Cl)c(Cl)c4)CC3)c(SCc3ccc(F)cc3)nc2=O)cn1,0.002,mL.min-1.kg-1,microsome_rat
