activity_id,assay_chembl_id,molecule_chembl_id,type,standard_units,relation,standard_value,target_chembl_id,target_organism,assay_description,assay_type,smiles,clint,units,assay_class
469461,CHEMBL625973,CHEMBL85653,CL,mL.min-1.kg-1,=,66.67,CHEMBL372,Homo sapiens,Clearance of compound in human plasma,A,Cc1ccc(NC(=O)c2cccc(CN3C(=O)N(Cc4cccc(C(=O)Nc5ccc(C)cn5)c4)[C@H](Cc4ccccc4)[C@H](O)[C@@H](O)[C@H]3Cc3ccccc3)c2)nc1,66.67,mL.min-1.kg-1,species_only_human
608116,CHEMBL625493,CHEMBL343495,CL,mL.min-1.kg-1,=,73.33,CHEMBL372,Homo sapiens,plasma clearance in human,A,N=C(N)c1ccc2ncn(CC(=O)Nc3ccc(-c4ccccc4S(N)(=O)=O)cc3)c2c1,73.33,mL.min-1.kg-1,species_only_human
619626,CHEMBL635284,CHEMBL136846,CL,mL.min-1.kg-1,=,33.33,CHEMBL372,Homo sapiens,plasma clearance in human,A,N=C(N)c1ccc2[nH]cc(CC(=O)Nc3ccc(-c4ccccc4S(N)(=O)=O)cc3)c2c1,33.33,mL.min-1.kg-1,species_only_human
855424,CHEMBL877514,CHEMBL473,CL,mL.min-1.g-1,=,0.25,CHEMBL612558,,In vitro Intrinsic clearance was measured as Vmax/KM (human),A,CN(CCOc1ccc(NS(C)(=O)=O)cc1)CCc1ccc(NS(C)(=O)=O)cc1,0.00025,mL.min-1.kg-1,species_only_human
855428,CHEMBL638863,CHEMBL473,CL,mL.min-1.kg-1,=,0.51,CHEMBL612558,,Extrapolated in vivo clearance was measured by N-demethylation using scalling factors (human),A,CN(CCOc1ccc(NS(C)(=O)=O)cc1)CCc1ccc(NS(C)(=O)=O)cc1,0.51,mL.min-1.kg-1,species_only_human
855432,CHEMBL638089,CHEMBL473,CL,mL.min-1.kg-1,=,1.5,CHEMBL612558,,Extrapolated in vivo clearance was measured by all pathways. (Human),A,CN(CCOc1ccc(NS(C)(=O)=O)cc1)CCc1ccc(NS(C)(=O)=O)cc1,1.5,mL.min-1.kg-1,species_only_human
905128,CHEMBL635503,CHEMBL45816,CL,mL.min-1.kg-1,=,7.0,CHEMBL372,Homo sapiens,In vivo clearance in human.,A,COCC(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)CCc2cc(F)ccc2[C@@H]1C(C)C,7.0,mL.min-1.kg-1,species_only_human
905134,CHEMBL635503,CHEMBL655,CL,mL.min-1.kg-1,=,11.0,CHEMBL372,Homo sapiens,In vivo clearance in human.,A,Cc1ncc2n1-c1ccc(Cl)cc1C(c1ccccc1F)=NC2,11.0,mL.min-1.kg-1,species_only_human
906455,CHEMBL875174,CHEMBL113,CL,mL.min-1.kg-1,=,2.0,CHEMBL372,Homo sapiens,In vivo clearance in human,A,Cn1c(=O)c2c(ncn2C)n(C)c1=O,2.0,mL.min-1.kg-1,species_only_human
910341,CHEMBL875174,CHEMBL12,CL,mL.min-1.kg-1,=,0.4,CHEMBL372,Homo sapiens,In vivo clearance in human,A,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,0.4,mL.min-1.kg-1,species_only_human
