activity_id,assay_chembl_id,molecule_chembl_id,type,standard_units,relation,standard_value,target_chembl_id,target_organism,assay_description,assay_type,smiles,clint,units,assay_class
35512,CHEMBL620905,CHEMBL68366,CL,mL.min-1.kg-1,=,18.0,CHEMBL612558,,Plasma clearance of compound was determined in monkey,A,CC(C)(F)CC[C@H](C[C@H](O)[C@H](Cc1ccccc1)NC(=O)c1cnc2ccccc2n1)C(N)=O,18.0,mL.min-1.kg-1,species_only_monkey
39104,CHEMBL620905,CHEMBL303673,CL,mL.min-1.kg-1,=,33.0,CHEMBL612558,,Plasma clearance of compound was determined in monkey,A,O=C(N[C@@H](Cc1ccccc1)[C@@H](O)CC(C(=O)NO)C1CCC(F)(F)CC1)c1cnc2ccccc2n1,33.0,mL.min-1.kg-1,species_only_monkey
52311,CHEMBL625521,CHEMBL79433,CL,mL.min-1.kg-1,=,0.1,CHEMBL612558,,Total clearance of compound was determined in monkey at 5 mg/kg intravenously admn.,A,O=C(NO)C1(S(=O)(=O)c2ccc(Oc3ccc(Cl)cc3)cc2)CCN(Cc2ccccc2)CC1,0.1,mL.min-1.kg-1,species_only_monkey
64272,CHEMBL620905,CHEMBL308473,CL,mL.min-1.kg-1,=,18.0,CHEMBL612558,,Plasma clearance of compound was determined in monkey,A,CC(C)(O)CCC(C[C@H](O)[C@H](Cc1cccc(F)c1)NC(=O)c1cnc2ccccc2n1)C(N)=O,18.0,mL.min-1.kg-1,species_only_monkey
70761,CHEMBL620905,CHEMBL305423,CL,mL.min-1.kg-1,=,29.0,CHEMBL612558,,Plasma clearance of compound was determined in monkey,A,CC(C)(F)CCC(C[C@H](O)[C@H](Cc1ccccc1)NC(=O)c1cnc2ccccc2n1)C(=O)NO,29.0,mL.min-1.kg-1,species_only_monkey
90204,CHEMBL624290,CHEMBL3706620,CL,mL.min-1.kg-1,=,20.4,CHEMBL612558,,Plasma clearance after peroral administration at 10 mpk in Rhesus,A,CC(C)(c1ccc(-c2ccncc2)o1)N1CCN(C[C@@H](O)C[C@@H](Cc2ccccc2)C(=O)N[C@H]2c3ccccc3OC[C@H]2O)[C@H](C(=O)NCC(F)(F)F)C1,20.4,mL.min-1.kg-1,species_only_monkey
111180,CHEMBL621474,CHEMBL324489,CL,mL.min-1.kg-1,=,3.4,CHEMBL612558,,Plasma clearance in monkey after administration of 1 mg/kg iv,A,CN1CCN(C(=O)c2ccc3[nH]c(-c4cc5ccccc5nc4O)cc3c2)CC1,3.4,mL.min-1.kg-1,species_only_monkey
138178,CHEMBL620911,CHEMBL349096,CL,mL.min-1.kg-1,=,16.3,CHEMBL612558,,Plasma clearance was reported after intravenous administration at a dose of 1 mg/kg in Rhesus monkey (male),A,C[C@@]1(C(=O)N[C@@H](Cc2ccccc2)C(=O)O)CCCN1S(=O)(=O)c1cc(Cl)cc(Cl)c1,16.3,mL.min-1.kg-1,species_only_monkey
138179,CHEMBL620912,CHEMBL349096,CL,mL.min-1.kg-1,=,16.3,CHEMBL612558,,Plasma clearance was reported after oral administration at a dose of 2 mg/kg in Rhesus monkey (male),A,C[C@@]1(C(=O)N[C@@H](Cc2ccccc2)C(=O)O)CCCN1S(=O)(=O)c1cc(Cl)cc(Cl)c1,16.3,mL.min-1.kg-1,species_only_monkey
141168,CHEMBL621474,CHEMBL117983,CL,mL.min-1.kg-1,=,12.0,CHEMBL612558,,Plasma clearance in monkey after administration of 1 mg/kg iv,A,CN1CCN(S(=O)(=O)c2ccc3[nH]c(-c4cc5ccccc5nc4O)cc3c2)CC1,12.0,mL.min-1.kg-1,species_only_monkey
180365,CHEMBL621475,CHEMBL339778,CL,mL.min-1.kg-1,=,58.8,CHEMBL612558,,Plasma clearance in cynomolgus monkey,A,O=C(O)CN(CC(=O)N[C@@H](Cc1ccc(OCc2c(Cl)cccc2Cl)cc1)C(=O)O)S(=O)(=O)c1ccccc1,58.8,mL.min-1.kg-1,species_only_monkey
208515,CHEMBL631432,CHEMBL34498,CL,mL.min-1.kg-1,=,3.3,CHEMBL614875,Macaca mulatta,Low plasma clearance was calculated in rhesus monkey,A,COc1cccc(OC)c1-c1ccc(C[C@H](NC(=O)[C@@]2(C)CCCO2)C(=O)O)cc1,3.3,mL.min-1.kg-1,species_only_monkey
231894,CHEMBL620097,CHEMBL148,CL,mL.min-1.kg-1,=,6.72,CHEMBL612558,,Plasma clearance compared to Cilastatin evaluated in Rhesus monkeys at the dose of 10 mg/kg by iv bolus injection,A,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(SCCNC=N)C[C@H]12,6.72,mL.min-1.kg-1,species_only_monkey
236905,CHEMBL620096,CHEMBL432966,CL,mL.min-1.kg-1,=,4.74,CHEMBL612558,,Plasma clearance evaluated in Rhesus monkeys at the dose of 10 mg/kg by iv bolus injection,A,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)[O-])=C(c3ccc4c(c3)-c3ccc(C[N+]56CC[N+](CC(N)=O)(CC5)CC6)cc3C4=O)C[C@H]12.[Cl-],4.74,mL.min-1.kg-1,species_only_monkey
250500,CHEMBL620096,CHEMBL322522,CL,mL.min-1.kg-1,=,2.95,CHEMBL612558,,Plasma clearance evaluated in Rhesus monkeys at the dose of 10 mg/kg by iv bolus injection,A,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)[O-])=C(c3ccc4c(c3)-c3ccc(C[N+]56CC[N+](CC(N)=O)(CC5)CC6)cc3C4=O)[C@H](C)[C@H]12.[Cl-],2.95,mL.min-1.kg-1,species_only_monkey
255958,CHEMBL620096,CHEMBL422426,CL,mL.min-1.kg-1,=,5.56,CHEMBL612558,,Plasma clearance evaluated in Rhesus monkeys at the dose of 10 mg/kg by iv bolus injection,A,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)[O-])=C(c3ccc4c(c3)-c3ccc(C[n+]5ccn(C)c5)cc3C4=O)C[C@H]12,5.56,mL.min-1.kg-1,species_only_monkey
274866,CHEMBL620907,CHEMBL174304,CL,mL.min-1.kg-1,=,20.0,CHEMBL612558,,Plasma clearance in monkey (dosed at 0.5 mpk iv and 2.0 mpk orally),A,CCn1nc(Cc2ccccc2)cc1C1CCN(C[C@H]2CN([C@@H](C(=O)O)C(C)C)C[C@@H]2c2cccc(F)c2)CC1,20.0,mL.min-1.kg-1,species_only_monkey
307463,CHEMBL624294,CHEMBL322862,CL,mL.min-1.kg-1,=,36.0,CHEMBL612558,,Tested for Clearance upon iv administration to african green monkey,A,CS(=O)(=O)Nc1cc([C@@H](O)CN[C@H](Cc2ccccc2)c2ccc(OC(F)F)cc2)ccc1O,36.0,mL.min-1.kg-1,species_only_monkey
403942,CHEMBL620901,CHEMBL96224,CL,mL.min-1.kg-1,=,4.2,CHEMBL612558,,Compound was evaluated for Hepatic clearance in monkey,A,COc1ccc(NS(=O)(=O)C(F)(F)F)cc1C[C@@H]1COc2ccc(OCc3nc4cc(F)c(F)cc4s3)cc2[C@@H]1O,4.2,mL.min-1.kg-1,species_only_monkey
415190,CHEMBL620901,CHEMBL96206,CL,mL.min-1.kg-1,=,6.5,CHEMBL612558,,Compound was evaluated for Hepatic clearance in monkey,A,COc1ccc(NS(=O)(=O)C(F)(F)F)cc1C[C@@H]1COc2ccc(OCc3ccc4ccc(Cl)cc4n3)cc2[C@@H]1O,6.5,mL.min-1.kg-1,species_only_monkey
433240,CHEMBL624291,CHEMBL162117,CL,mL.min-1.kg-1,=,1.085,CHEMBL612558,,The total clearance was determined after intravenous administration in cynomolgus monkeys,A,Cn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(c4ncccn4)CC3)c(C(F)(F)F)c21,1.085,mL.min-1.kg-1,species_only_monkey
437315,CHEMBL625970,CHEMBL77538,CL,mL.min-1.kg-1,=,21.9,CHEMBL613847,Macaca fascicularis,Clearance from plasma in male cynomolgus monkeys,A,N#Cc1ccc(NCCNCC(=O)N2CCC[C@H]2C#N)nc1,21.9,mL.min-1.kg-1,species_only_monkey
460698,CHEMBL624291,CHEMBL161145,CL,mL.min-1.kg-1,=,0.9283,CHEMBL612558,,The total clearance was determined after intravenous administration in cynomolgus monkeys,A,Cn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(c4ccccn4)CC3)c(C(F)(F)F)c21,0.9283,mL.min-1.kg-1,species_only_monkey
471387,CHEMBL624291,CHEMBL164307,CL,mL.min-1.kg-1,=,0.0815,CHEMBL612558,,The total clearance was determined after intravenous administration in cynomolgus monkeys,A,O=C(O)c1cn(C2CC2)c2c(C(F)(F)F)c(N3CCN(c4ccccn4)CC3)c(F)cc2c1=O,0.0815,mL.min-1.kg-1,species_only_monkey
477449,CHEMBL621472,CHEMBL78591,CL,mL.min-1.kg-1,=,22.1,CHEMBL612558,,Compound was tested for its plasma clearance rate in rhesus monkey at a dose of 0.75 mg/kg iv/ 1.5 mg/kg po,A,COc1ccccc1-c1ccc([C@@H](CC(=O)O)NC(=O)[C@@H]2CCN2S(=O)(=O)c2cc(Cl)cc(Cl)c2)cc1,22.1,mL.min-1.kg-1,species_only_monkey
500146,CHEMBL623698,CHEMBL81596,CL,mL.min-1.kg-1,=,10.4,CHEMBL612558,,Compound was tested for its plasma clearance rate in rhesus monkey at a dose of 0.75 mg/kg iv/ 1.5 mg/kg po,A,COc1cccc(OC)c1-c1ccc([C@@H](CC(=O)O)NC(=O)[C@]2(C)CCCN2S(=O)(=O)c2cc(Cl)cc(Cl)c2)cc1,10.4,mL.min-1.kg-1,species_only_monkey
505087,CHEMBL621472,CHEMBL421508,CL,mL.min-1.kg-1,=,21.7,CHEMBL612558,,Compound was tested for its plasma clearance rate in rhesus monkey at a dose of 0.75 mg/kg iv/ 1.5 mg/kg po,A,COc1cccc(OC)c1-c1ccc([C@@H](CC(=O)O)NC(=O)[C@@H]2CCN2S(=O)(=O)c2cc(Cl)cc(Cl)c2)cc1,21.7,mL.min-1.kg-1,species_only_monkey
530634,CHEMBL620910,CHEMBL294708,CL,mL.min-1.kg-1,=,7.5,CHEMBL612558,,Plasma clearance was determined in rhesus monkey at a dose of 1 mg/kg by iv administration,A,C[C@@]1(C(=O)N[C@@H](Cc2ccc(NC(=O)c3c(Cl)ccnc3Cl)cc2)C(=O)O)CCCN1S(=O)(=O)c1cc(Cl)cc(Cl)c1,7.5,mL.min-1.kg-1,species_only_monkey
545138,CHEMBL622808,CHEMBL282837,CL,mL.min-1.kg-1,=,19.0,CHEMBL614875,Macaca mulatta,Plasma clearance (pharmacokinetic parameter) in rhesus (in vivo) at a dose of 5 mg/kg,A,O=C(Cn1c(Cl)cnc(NCC(F)(F)c2cccc[n+]2[O-])c1=O)NCc1ccccc1F,19.0,mL.min-1.kg-1,species_only_monkey
546511,CHEMBL621476,CHEMBL27979,CL,mL.min-1.kg-1,=,16.67,CHEMBL612558,,Plasma clearance after oral administration (2.5 mg/kg) in monkey was determined,A,C[C@H]1CC[C@H](C)N1CCCOc1ccc(-c2ccc(C(=O)N3CCOCC3)cc2)cc1,16.67,mL.min-1.kg-1,species_only_monkey
633539,CHEMBL621473,CHEMBL145085,CL,mL.min-1.kg-1,=,9.0,CHEMBL612558,,Plasma clearance in rhesus monkey was determined,A,COc1ccc([C@H](CC(=O)O)N2CCN(CCCc3ccc4c(n3)NCCC4)C2=O)cn1,9.0,mL.min-1.kg-1,species_only_monkey
643227,CHEMBL636282,CHEMBL135339,CL,mL.min-1.kg-1,=,3.1,CHEMBL612558,,The total clearance time in monkey was determined,A,O=C(C(=O)N1CCN(C(=O)c2ccccc2)CC1)c1c[nH]c2cccc(F)c12,3.1,mL.min-1.kg-1,species_only_monkey
649230,CHEMBL624295,CHEMBL324912,CL,mL.min-1.kg-1,=,13.5,CHEMBL612558,,Clearance in monkey,A,CN[C@@H](Cc1ccccc1)Cn1c(=O)c(-c2cccc(OC)c2F)c(C)n(Cc2c(F)cccc2F)c1=O,13.5,mL.min-1.kg-1,species_only_monkey
668826,CHEMBL636282,CHEMBL337301,CL,mL.min-1.kg-1,=,10.0,CHEMBL612558,,The total clearance time in monkey was determined,A,COc1ccnc2[nH]cc(C(=O)C(=O)N3CCN(C(=O)c4ccccc4)C[C@H]3C)c12,10.0,mL.min-1.kg-1,species_only_monkey
684141,CHEMBL876431,CHEMBL3706615,CL,mL.min-1.kg-1,=,33.0,CHEMBL614875,Macaca mulatta,Plasma clearance after peroral administration at 10 mpk in Rhesus,A,COc1cncc(-c2cnc(C(C)(C)N3CCN(C[C@@H](O)C[C@@H](Cc4ccccc4)C(=O)N[C@H]4c5ccccc5OC[C@H]4O)[C@H](C(=O)NCC(F)(F)F)C3)o2)c1,33.0,mL.min-1.kg-1,species_only_monkey
761278,CHEMBL620900,CHEMBL15177,CL,mL.min-1.kg-1,=,1.2,CHEMBL612558,,The apparent total plasma clearance in monkey,A,CN(C)C(=O)CCSC(SCCC(=O)O)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1,1.2,mL.min-1.kg-1,species_only_monkey
785839,CHEMBL620900,CHEMBL430147,CL,mL.min-1.kg-1,=,15.0,CHEMBL612558,,The apparent total plasma clearance in monkey,A,CN(C)C(=O)CCSC(CCc1ccccc1C(=O)O)c1cccc(OCc2ccc3ccc(Cl)cc3n2)c1,15.0,mL.min-1.kg-1,species_only_monkey
895376,CHEMBL641609,CHEMBL420540,CL,mL.min-1.kg-1,=,9.8,CHEMBL612558,,Clearance was determined after intravenous dosing at 2 mg/kg in monkey,F,N=C(N)c1ccc(CNC(=O)[C@@H]2CCCN2C(=O)[C@H](NCC(=O)O)C(c2ccccc2)c2ccccc2)s1,9.8,mL.min-1.kg-1,species_only_monkey
906532,CHEMBL644246,CHEMBL274489,CL,mL.min-1.kg-1,=,2.7,CHEMBL612558,,Tested for plasma clearance at intravenous dose of 25 umol/kg in monkey,A,Cc1onc(NS(=O)(=O)c2ccccc2-c2ccc(-c3ncco3)cc2N(C)C(=O)CC(C)(C)C)c1C,2.7,mL.min-1.kg-1,species_only_monkey
911848,CHEMBL645655,CHEMBL103667,CL,mL.min-1.kg-1,=,14.4,CHEMBL613847,Macaca fascicularis,Plasma clearance was measured after intravenous dosing at 1 mg/kg in male cynomolgus monkey (70% PEG400),A,Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)cc1,14.4,mL.min-1.kg-1,species_only_monkey
920633,CHEMBL644244,CHEMBL24461,CL,mL.min-1.kg-1,=,0.86,CHEMBL612558,,Tested for plasma clearance at intravenous dose of 50 umol/kg in monkey,A,Cc1noc(NS(=O)(=O)c2ccccc2-c2ccc(-c3ncco3)cc2)c1C,0.86,mL.min-1.kg-1,species_only_monkey
928443,CHEMBL622991,CHEMBL116306,CL,mL.min-1.kg-1,=,0.02,CHEMBL612558,,plasma clearance in preclinical species was measured after Intravenous administration at the given dose (0.01 mg/kg) in monkey,A,Cn1cc(C2=C(O)C(O)=C(c3ccccc3)C(=O)C2=O)c2ccccc21,0.02,mL.min-1.kg-1,species_only_monkey
971353,CHEMBL875420,CHEMBL102826,CL,mL.min-1.kg-1,=,17.1,CHEMBL612558,,Plasma clearance in rhesus monkey,A,O=C(O)[C@@H](C1CCCCC1)N1C[C@H](CN2CCC(CCCc3ccccc3)CC2)[C@@H](c2ccccc2)C1,17.1,mL.min-1.kg-1,species_only_monkey
