activity_id,assay_chembl_id,molecule_chembl_id,type,standard_units,relation,standard_value,target_chembl_id,target_organism,assay_description,assay_type,smiles,clint,units,assay_class
48493,CHEMBL623487,CHEMBL429852,CL,mL.min-1.kg-1,=,13.6,CHEMBL375,Mus musculus,Plasma clearance in mouse,A,CC(C)C[C@@H](NC(=N)N)C(=O)NCC(=O)N1CCC(c2cc(-c3ccc(OCc4ccc(C(=O)O)o4)c(Cl)c3Cl)nn2C)CC1,13.6,mL.min-1.kg-1,species_only_mouse
72305,CHEMBL623498,CHEMBL2370784,CL,mL.min-1.kg-1,=,0.1567,CHEMBL375,Mus musculus,Total plasma clearance in mice,A,CCCCCCCCCC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CCO)C(=O)N[C@@H]1C(=O)NCC(=O)N[C@@H](CCCNCc2ccc(-c3ccccc3)cc2)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@H](C)C(=O)N[C@@H](CC(=O)O)C(=O)NCC(=O)N[C@H](CO)C(=O)N[C@@H]([C@H](C)CC(=O)O)C(=O)N[C@@H](CC(=O)c2ccccc2N)C(=O)O[C@@H]1C,0.1567,mL.min-1.kg-1,species_only_mouse
84922,CHEMBL627296,CHEMBL8828,CL,mL.min-1.kg-1,=,1.1,CHEMBL375,Mus musculus,Clearance was measured in mouse after administration of compound 20 mg/kg intravenously,A,CCCC[C@@H](C[C@@H](CCc1ccc(-c2ccc(F)cc2)cc1)C(=O)N[C@H](C(=O)NC)C(C)(C)C)C(=O)O,1.1,mL.min-1.kg-1,species_only_mouse
92286,CHEMBL623498,CHEMBL4744444,CL,mL.min-1.kg-1,=,1.7,CHEMBL375,Mus musculus,Total plasma clearance in mice,A,CCCCCCCCCC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@H](CC(N)=O)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H]1C(=O)NCC(=O)N[C@@H](CCCN)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@H](C)C(=O)N[C@@H](CC(=O)O)C(=O)NCC(=O)N[C@H](CO)C(=O)N[C@@H]([C@H](C)CC(=O)O)C(=O)N[C@@H](CC(=O)c2ccccc2N)C(=O)O[C@@H]1C,1.7,mL.min-1.kg-1,species_only_mouse
161233,CHEMBL623501,CHEMBL300936,CL,mL.min-1.kg-1,=,67.0,CHEMBL375,Mus musculus,Plasma clearance at a dose of 10 mg/kg intravenous administration in mice.,A,CC(C)(C)c1cnc(CSc2cnc(NC(=O)Cc3ccc(CNC(CO)CO)cc3)s2)o1,67.0,mL.min-1.kg-1,species_only_mouse
227367,CHEMBL623489,CHEMBL322433,CL,mL.min-1.kg-1,=,93.33,CHEMBL375,Mus musculus,Clearance from mouse blood following i.v. administration of 10 mg/kg,A,O=C(NO)[C@H]1CCCS(=O)(=O)N1Cc1ccc(-c2ccncc2)cc1,93.33,mL.min-1.kg-1,species_only_mouse
354147,CHEMBL623497,CHEMBL102741,CL,mL.min-1.kg-1,=,8.333,CHEMBL375,Mus musculus,Plasma clearance value upon iv administration in mouse,A,Cc1cn(Cc2ccccc2)c2cc(C(=O)Nc3c(Cl)c[n+]([O-])cc3Cl)ccc12,8.333,mL.min-1.kg-1,species_only_mouse
369701,CHEMBL623497,CHEMBL318586,CL,mL.min-1.kg-1,=,5.0,CHEMBL375,Mus musculus,Plasma clearance value upon iv administration in mouse,A,Cc1cn(CC2CCCCC2)c2cc(C(=O)Nc3c(Cl)c[n+]([O-])cc3Cl)ccc12,5.0,mL.min-1.kg-1,species_only_mouse
499223,CHEMBL641601,CHEMBL14642,CL,mL.min-1.kg-1,=,110.0,CHEMBL375,Mus musculus,Cl value was determined by intravenous administration of 6.8 umol/kg dose in mice,A,CCCC(=O)C1(c2ccccc2)CCN(C(=O)[C@@H](Cc2ccc(OC)cc2)NC(=O)[C@@H](N)Cc2cncn2C)CC1,110.0,mL.min-1.kg-1,species_only_mouse
570920,CHEMBL644251,CHEMBL64148,CL,mL.min-1.kg-1,=,120.0,CHEMBL375,Mus musculus,Pharmacokinetic data was determined as clearance in mice,A,COc1cccc(-c2c(C)n(Cc3c(F)cccc3F)c(=O)n(CCNCCc3ccccn3)c2=O)c1,120.0,mL.min-1.kg-1,species_only_mouse
586969,CHEMBL623488,CHEMBL296468,CL,mL.min-1.kg-1,=,81.0,CHEMBL375,Mus musculus,Clearance of compound after intravenous administration in mice at 24 uM/kg,A,CC(C)(C)c1cnc(CSc2cnc(NC(=O)C3CCNCC3)s2)o1,81.0,mL.min-1.kg-1,species_only_mouse
596578,CHEMBL623496,CHEMBL420456,CL,mL.min-1.kg-1,=,104.0,CHEMBL375,Mus musculus,Plasma clearance in mice,A,Nc1nc(N)c2nc(CN3CCN(Cc4ccc(-c5ccccc5)cc4)CC3)nnc2n1,104.0,mL.min-1.kg-1,species_only_mouse
643286,CHEMBL623499,CHEMBL117670,CL,mL.min-1.kg-1,=,65.7,CHEMBL375,Mus musculus,Clearance in mouse,A,COc1cccc(-c2c(C)n(Cc3c(F)cccc3F)c(=O)n(C[C@H](N)CC(C)C)c2=O)c1F,65.7,mL.min-1.kg-1,species_only_mouse
644439,CHEMBL623499,CHEMBL117396,CL,mL.min-1.kg-1,=,65.6,CHEMBL375,Mus musculus,Clearance in mouse,A,COc1cccc(-c2c(C)n(Cc3c(F)cccc3F)c(=O)n(C[C@@H](N)Cc3ccccc3)c2=O)c1F,65.6,mL.min-1.kg-1,species_only_mouse
646804,CHEMBL623499,CHEMBL23729,CL,mL.min-1.kg-1,=,81.3,CHEMBL375,Mus musculus,Clearance in mouse,A,COc1cccc(-c2c(C)n(Cc3c(F)cccc3F)c(=O)n(C[C@H](C)NCc3ccccc3)c2=O)c1F,81.3,mL.min-1.kg-1,species_only_mouse
