activity_id,assay_chembl_id,molecule_chembl_id,type,standard_units,relation,standard_value,target_chembl_id,target_organism,assay_description,assay_type,smiles,clint,units,assay_class
35879,CHEMBL621197,CHEMBL329463,CL,mL.min-1.kg-1,=,48.33,CHEMBL376,Rattus norvegicus,Clearance measured in rat,A,NC[C@@H]1CN[C@@H](C(=O)N[C@H](CCc2ccccc2)C(=O)Nc2ccc3ncccc3c2)C1,48.33,mL.min-1.kg-1,species_only_rat
46305,CHEMBL621204,CHEMBL608939,CL,mL.min-1.kg-1,=,69.4,CHEMBL376,Rattus norvegicus,Plasma clearance after IV dosing at 1 mg/kg in rat,A,O[C@@H]1[C@@H](CSc2ccccc2F)OC(n2cnc3c(NC4CCOC4)ncnc32)[C@@H]1O,69.4,mL.min-1.kg-1,species_only_rat
52296,CHEMBL623853,CHEMBL79433,CL,mL.min-1.kg-1,=,0.3,CHEMBL376,Rattus norvegicus,Total clearance of compound was determined in rat at 5 mg/kg intravenously admn.,A,O=C(NO)C1(S(=O)(=O)c2ccc(Oc3ccc(Cl)cc3)cc2)CCN(Cc2ccccc2)CC1,0.3,mL.min-1.kg-1,species_only_rat
56497,CHEMBL621203,CHEMBL609539,CL,mL.min-1.kg-1,=,202.0,CHEMBL376,Rattus norvegicus,Plasma clearance after IV dosing at 0.5 mg/kg in rat,A,O[C@@H]1[C@@H](COc2ccccc2F)OC(n2cnc3c(NC4CCOC4)ncnc32)[C@@H]1O,202.0,mL.min-1.kg-1,species_only_rat
61680,CHEMBL618702,CHEMBL150614,CL,mL.min-1.kg-1,=,13.5,CHEMBL376,Rattus norvegicus,Clearance of compound in rat after 1 mg/kg i.v. administration,A,CCn1c2ccccc2c2cc(NC(=O)CN3CCN(C[C@@H](O)COc4ccc5sc(C)nc5c4)CC3)ccc21,13.5,mL.min-1.kg-1,species_only_rat
63337,CHEMBL621197,CHEMBL314747,CL,mL.min-1.kg-1,=,28.33,CHEMBL376,Rattus norvegicus,Clearance measured in rat,A,NCCC[C@@H](N)C(=O)N[C@H](CCc1ccccc1)C(=O)Nc1cnc2ccccc2c1,28.33,mL.min-1.kg-1,species_only_rat
64297,CHEMBL618702,CHEMBL154751,CL,mL.min-1.kg-1,=,54.5,CHEMBL376,Rattus norvegicus,Clearance of compound in rat after 1 mg/kg i.v. administration,A,Cc1nc2cc(OC[C@H](O)CN3CCN(CC(=O)Nc4c(C)cccc4C)CC3)ccc2s1,54.5,mL.min-1.kg-1,species_only_rat
80010,CHEMBL621802,CHEMBL94037,CL,mL.min-1.g-1,=,17.8,CHEMBL376,Rattus norvegicus,Plasma clearance for the compound was calculated at a single intravenous administration of 20 mg/kg in rat,A,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(S[C@@H]3CN[C@H](/C=C/c4ccno4)C3)[C@H](C)[C@H]12,0.0178,mL.min-1.kg-1,species_only_rat
82295,CHEMBL621802,CHEMBL43708,CL,mL.min-1.g-1,=,61.5,CHEMBL376,Rattus norvegicus,Plasma clearance for the compound was calculated at a single intravenous administration of 20 mg/kg in rat,A,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(SCCNC=N)C[C@H]12.O,0.0615,mL.min-1.kg-1,species_only_rat
83274,CHEMBL621802,CHEMBL127,CL,mL.min-1.kg-1,=,54.2,CHEMBL376,Rattus norvegicus,Plasma clearance for the compound was calculated at a single intravenous administration of 20 mg/kg in rat,A,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(S[C@@H]3CN[C@H](C(=O)N(C)C)C3)[C@H](C)[C@H]12,54.2,mL.min-1.kg-1,species_only_rat
