Index,molecule_chembl_id,IC50,units,smiles,pIC50
0,CHEMBL443476,88,nM,O=C1NCCN1CCN1CCC(c2cn(-c3ccccc3)c3ccc(Cl)cc23)CC1,7.05551732784983
1,CHEMBL53661,137,nM,O=C1NCCN1CCN1CCC(c2cn(C3CCCCC3)c3ccc(Cl)cc23)CC1,6.86327943284359
2,CHEMBL299390,1480,nM,CCC(CC)c1cn(-c2ccc(F)cc2)c2ccc(Cl)cc12,5.82973828460504
3,CHEMBL12186,10,nM,O=C1NCCN1CCN1CC=C(c2cn(-c3ccc(F)cc3)c3ccc(Cl)cc23)CC1,8
4,CHEMBL556312,23.5,nM,O=C1NCCN1CCN1CCC(C2CN(c3ccc(F)cc3)c3ccccc32)CC1,7.62893213772826
5,CHEMBL1729,45,nM,COc1cc(N)c(Cl)cc1C(=O)NC1CCN(CCCOc2ccc(F)cc2)CC1OC,7.34678748622466
6,CHEMBL6966,143,nM,COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,6.84466396253494
7,CHEMBL55835,579,nM,O=C(O)Cc1ccc(-n2cc(C3CCN(CCN4CCNC4=O)CC3)c3cc(Cl)ccc32)cc1,6.23732143627256
8,CHEMBL17157,56,nM,CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,7.2518119729938
9,CHEMBL298978,6.2,nM,Fc1ccc(-n2cc(C3CCN(CCN4CCN=C4S)CC3)c3ccccc32)cc1,8.20760831050175
10,CHEMBL53871,15700,nM,CCC(O)(CC)c1cn(-c2ccc(F)cc2)c2ccc(Cl)cc12,4.80410034759077
11,CHEMBL300927,75000,nM,O=C(O)c1ccc(-n2cc(C3CCN(CCN4CCNC4=O)CC3)c3cc(Cl)ccc32)cc1,4.1249387366083
12,CHEMBL473,10,nM,CN(CCOc1ccc(NS(C)(=O)=O)cc1)CCc1ccc(NS(C)(=O)=O)cc1,8
13,CHEMBL52348,26000,nM,CCCc1cn(-c2ccc(F)cc2)c2ccc(Cl)cc12,4.58502665202918
14,CHEMBL53866,2200,nM,CCC(O)c1cn(-c2ccc(F)cc2)c2ccc(Cl)cc12,5.65757731917779
15,CHEMBL301956,11,nM,CN(C)Cc1cn(-c2ccc(F)cc2)c2ccc(Cl)cc12,7.95860731484178
16,CHEMBL53321,1947,nM,CCC(=O)c1cn(-c2ccc(F)cc2)c2ccc(Cl)cc12,5.71063404847997
17,CHEMBL914,23000,nM,CC(C)(C(=O)O)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,4.63827216398241
18,CHEMBL52794,4550,nM,CC(O)c1cn(-c2ccc(F)cc2)c2ccc(Cl)cc12,5.34198860334289
19,CHEMBL54,32,nM,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,7.49485002168009
20,CHEMBL12780,7,nM,O=C1NCCN1CCN1CCC(c2cn(-c3ccc(F)cc3)c3ccccc23)CC1,8.15490195998574
21,CHEMBL300907,3500,nM,CCc1cn(-c2ccc(F)cc2)c2ccc(Cl)cc12,5.45593195564972
