number,CID,smiles,log_bb
1,11582,CCCCC(C)C,0.86000001
2,6325,C=C,0.31
3,8024,C=COC=C,0.13
4,58486189,CCC(C)N1CCN(CC1)C2=CC=C(I)C=C2,1.38
5,451231,CN1N(C2=CC=CC=C2)C(=O)C(=C1C)F,-0.050000001
6,-,CCC(C)NC1=CC(=C(I)C=C1)NC(C)CC,0.63999999
7,66994,CCCCCC1(CC)C(=O)NC(=O)NC1=O,0.090000004
8,-,CN(C)C1=C(SC2=C(N)C=C(CCF)C=C2)C=CC=C1,0.55000001
9,-,CCN1CN(C2=CC=C(Br)C=C2)C3(CCN(CCCC(=O)C4=CC=C(F)C=C4)CC3)C1=O,-0.43000001
10,13497176,CCCN1CN(C2=CC=C(Br)C=C2)C3(CCN(CCCC(=O)C4=CC=C(F)C=C4)CC3)C1=O,-0.01
11,14590445,ClC1=CC=CC2=C1C(=NCC(=O)N2)C3=CC=CC=C3,0.5
12,-,CC(F)OC(=O)C1=C2CN(C)C(=O)C3=CC(=CC=C3[N]2C=N1)F,-0.090000004
13,23274095,OC(COCF)C[N]1C=CN=C1[N+]([O-])=O,-0.01
14,10649604,CN1CN(C2=CC=CC=C2)C3(CCN(CCCC(=O)C4=CSC(=C4)I)CC3)C1=O,-0.25
15,4375468,CN(C)CC1=CC=C(CSCCNC2=NC=C(CC3=CN=C(C)C=C3)C(=O)N2)O1,-1.0599999
16,25144104,CN1CCN(CC1)C2=NC3=CC=CC=C3NC4=C2C=C(C)S4,0.77999997
17,44568616,ClC1=CC=C2OC3=CC=CC=C3C4CNCC4C2=C1,0.38999999
18,14022511,CC(=O)NC1=CC(=CC=C1)C2=CSC(=N2)N=C(N)N,-1.5700001
19,13646638,CN(C)CC1=CC=C(CSCCNC2=C(C=C[NH]2)[N+]([O-])=O)O1,-1.12
20,14022491,CN(C)CC1=CC=C(O1)C2=CC=CC(=C2)NC3=C(C=C[NH]3)[N+]([O-])=O,-0.27000001
21,14022486,CN(C)CC1=CC=NC(=C1)C2=CC(=CC=C2)NC3=C(C=C[NH]3)[N+]([O-])=O,-0.28
22,10498206,O=C(NCCCOC1=CC=CC(=C1)CN2CCCCC2)C3=CC=CC=C3,-0.23999999
23,-,CN1CCN(CCCN2C3=CC=CC=C3SC4=CC=CC(=C24)C(F)(F)F)CC1,1.4400001
24,-,CN(C)CC1=CC=C(O1)SCCNC2=C(C(=C[NH]2)CC3=CC=CC=C3)[N+]([O-])=O,-0.73000002
25,70517986,CC1C(C2=CC=CC=C2N(C3=CC=CC=C13)C(=O)N)C,-0.34
26,9864646,COC(=O)NC1=NC2=CC(=CC=C2[NH]1)C(=O)N3CCN(CC3)C4=CC=CC=N4,-1.4
27,51263,CCN1N=NN(CCN2CCC(CC2)(COC)N(C(=O)CC)C3=CC=CC=C3)C1=O,-0.74000001
28,65860,CCC1=CC=C(C=C1)C(=O)C(C)CN2CCCC2,1.08
29,4158,COC(=O)C(C1CCCCN1)C2=CC=CC=C2,0.88
30,5505,CCCCNC(=O)N[S](=O)(=O)C1=CC=C(C)C=C1,-1.01
31,2050078,NCCC1=C[NH]2=C([NH]1)C=CC=C2,-1.4
32,14022522,CN(C)CC1=CC=C(CSCCNC2=NC=C(CC3=CC=C4C=CC=CC4=C3)C(=O)N2)O1,-1.3
33,1486,OC(=O)COC1=C(Cl)C=C(Cl)C=C1,0.15000001
34,46842852,CN1CCN(CC1)C2=NC3=CC(=CC=C3NC4=CC=CC=C24)Cl,1.3
35,54429646,CNC(C[N+]([O-])=O)=NCCSC1=CC=C(CN(C)C)O1,-1.23
36,44214615,NCC[N]1N=CC2=CC(=C(Cl)C=C12)Cl,0.11
37,53394319,COC1=CC=C2N(C(C)C(CC(O)=O)C2=C1)C(=O)C3=CC=C(Cl)C=C3,-1.26
38,44213642,COC1=CC(=C2OCCC2=C1)CNC3CCCNC3C4=CC=CC=C4,0.38999999
39,19427054,CCC1=CC(=CC=C1)NC(C)=NC2=CC=CC(=C2)CC,1.2
40,-,CCCN(CCC)CCC1=CC(=C2NC(=O)CC2=C1)O,-0.43000001
41,44383796,CCCN(CCC)CCC1=CC=C2NC(=O)CC2=C1,0.25
42,25255,NC(=O)C1C2=CC=CC=C2C=CC3=CC=CC=C13,0
43,29939457,NC(=O)C1C2=CC=CC=C2C3OC3C4=CC=CC=C14,-0.34
44,-,OC(=O)C1=C(NCCSCC2=C(Br)C=CC=N2)[NH]C=C1,-0.67000002
45,13071367,ClC1=C(NC2NCC=N2)C(=CC=C1)Cl,0.11
46,57162790,F\C=C\O\C=C\F,0.13
47,21440942,CC1CCN(CCCN2C3=CC=CC=C3SC4=CC=C(C=C24)C(F)(F)F)CC1,1.4400001
48,14840722,NC1=NC(=O)N(C=C1)C2CC(CO)C(CO)O2,-0.79000002
49,10388384,COC1=CC(=CC=C1)CC2CCN(CC2)C3CCC(CC3)(OC)C4=CC5=C(OCO5)C=C4,0.74000001
50,9807561,BrC1=CC=C2C3CNCC(C3)CN2C1=O,-0.050000001
51,10937291,CC(C)(O)CN1N=C(C=CC1=O)C2=C3C=CC=C[N]3N=C2C4=CC=CC=C4,-0.23
52,11003252,CN(C)C(=O)CN1N=C(C=CC1=O)C2=C3C=CC=C[N]3N=C2C4=CC=CC=C4,-1
53,10884606,O=C1C=CC(=NN1CCN2CCCCC2)C3=C4C=CC=C[N]4N=C3C5=CC=CC=C5,0.38
54,9821511,CN1CCC(CC1)N2N=C(C=CC2=O)C3=C4C=CC=C[N]4N=C3C5=CC=CC=C5,0.059999999
55,11110698,CC(=O)CN1N=C(C=CC1=O)C2=C3C=CC=C[N]3N=C2C4=CC=CC=C4,-0.31
56,9846311,NC1=NC(=CC=C1)CN2CCC(CC2)NC(=O)C(O)(C3CCC(F)(F)C3)C4=CC=CC=C4,-0.88999999
57,10063598,COC(=O)C1C(C)CC(=CC1=O)NC2=CC=CC(=C2)[N+]([O-])=O,-1
58,10088796,COC(=O)C1C(C)CC(=CC1=O)NC2=CC(=CC=C2)OC(F)(F)F,-0.17
59,197322,COC(=O)C1C(C)CC(=CC1=O)NC2=CC=C(Cl)C=C2,-0.94999999
60,9916104,CC(C)(C)C1=NC(=CC(=N1)C(F)(F)F)N2CCN(CCCSC3=NC=CC(=O)N3)CC2,0.30000001
61,120,CC12NC(CC3=CC=CC=C13)C4=CC=CC=C24,1.11
62,6426143,COC1=C(CNC2C3CCN(CC3)C2C(C4=CC=CC=C4)C5=CC=CC=C5)C=C(C=C1)C(C)C,0.47999999
63,10201984,FC(F)OC1=CC=C(OC(F)(F)F)C=C1CNC2CCCNC2C3=CC=CC=C3,0.88
64,9866153,CC(C)OC1=CC=C(OC(F)(F)F)C=C1CNC2CCCNC2C3=CC=CC=C3,0.41
65,19696721,COC1=CC=C(C=C1CNC2CCCNC2C3=CC=CC=C3)[S](C)(=O)=O,-0.15000001
66,-,COC1=CC2=C(C=C1CNC3C4CCN(C4)C3C(C5=CC=CC=C5)C6=CC=CC=C6)N(CC2)[S](C)(=O)=O,-1
67,19696654,COC1=CC2=C(C=C1CNC3CCCNC3C4=CC=CC=C4)N(C(C)C2)[S](C)(=O)=O,-0.41999999
68,9907851,COC1=CC=C(C=C1CNC2CCCNC2C3=CC=CC=C3)C4=NC=CS4,0.36000001
69,22620062,COC1=C(CNC2CCCNC2C3=CC=CC=C3)C=C(C=C1)N4CCCC4=O,-0.22
70,22620050,COC1=CC2=C(C=C1CNC3CCCNC3C4=CC=CC=C4)N=C(C)S2,0.47999999
71,19696689,COC1=CC=C(C=C1CNC2CCCNC2C3=CC=CC=C3)N(C4=NC(=C(C)S4)C)[S](C)(=O)=O,-0.37
72,22620080,COC1=CC2=C(C=C1CNC3CCCNC3C4=CC=CC=C4)N=C(C)O2,0.49000001
73,17905241,COC1=C(CNC2C3CCN(CC3)C2C(C4=CC=CC=C4)C5=CC=CC=C5)C=C(C=C1)C(C)(C)C,0.46000001
74,22620075,COC1=C(CNC2CCCNC2C3=CC=CC=C3)C=C(C=C1)[N]4N=C(C)C=C4C,0.11
75,22620091,COC1=CC2=C(C=C1CNC3CCCNC3C4=CC=CC=C4)N=C(S2)C(C)(C)C,0.85000002
76,-,CC(C)OC1=CC2=C(C=C1CNC3CCCNC3C4=CC=CC=C4)N=C(C)S2,0.31999999
77,22620066,COC1=CC2=C(C=C1CNC3CCCNC3C4=CC=CC=C4)N=C(S2)C5=CC=CC=C5,1.26
78,22620085,COC1=CC2=C(C=C1CNC3CCCNC3C4=CC=CC=C4)N=C(S2)C5CC5,0.62
79,6426129,COC1=C(CNC2C3CCN(CC3)C2C(C4=CC=CC=C4)C5=CC=CC=C5)C=C(C=C1)C(C)(C)O,-0.88999999
80,9931510,COC1=C(CNC2C3CCN(CC3)C2C(C4=CC=CC=C4)C5=CC=CC=C5)C=CC=C1,0.37
81,18435769,COC1=C(CNC2CCCNC2C3=CC=CC=C3)C=CC=C1,0.87
82,44433393,COC1=C(CNC2CCCNC2C3=CC=CC=C3)C=C(C=C1)C(C)(C)C,0.98000002
83,9864647,COC1=CC=C(OC(F)(F)F)C=C1CNC2CCCNC2C3=CC=CC=C3,0.63
84,9902443,COC1=C(CNC2CCCNC2C3=CC=CC=C3)C=C(C=C1)C(C)C,0.92000002
85,9909299,CC(C)(C)C1=CC(=C(OC(F)(F)F)C=C1)CNC2CCCNC2C3=CC=CC=C3,0.95999998
86,12765429,CN1C(=O)N(C)C2=C(N=C[NH]2)C1=O,-0.34099999
87,11777724,ClC1=CC(=C(Cl)C=C1)N=C2NCCN2,0.38
88,77870,CC1=CC(=CC=C1N=C2NCCN2)Cl,-0.87
89,72138,CC1=CC(=C(C=C1)N=C2NCCN2)Cl,-0.64999998
90,21675832,CC1=CC(=C(C=C1)N=C2NCCN2)C,-1.3
91,137235,C1CN=C(N1)NC2=CC=CC=C2,-1.89
92,12032949,CC1=C(C=CC=C1)N=C2NCCN2,-1.39
