title,abstract,year,doi,pmid,journal,authors,source,query,is_experimental,compound_name,matched_compounds,name,cid,canonical_smiles,iupac_name
The impact of therapeutic radiation on drug distribution across the blood-brain barrier in normal mouse brain and orthotopic GBM tumors.,"<h4>Background</h4>Most oncology therapeutics have limited distribution into the brain, and developing strategies to overcome this limitation would be clinically impactful. While therapeutic radiation is often cited as a strategy accomplish this, there are no published studies demonstrating the effect of radiation on drug distribution into the brain or brain tumors.<h4>Methods</h4>Mice were treated with brain radiation (6 Gy × 5, 4 Gy × 10; 40 Gy × 1) and dosed with drugs (levetiracetam, cefazolin, nedisertib, brigimadlin, apitolisib, or GNE-317) at times ranging from just prior to months after radiation. Plasma and tissue drug concentrations were measured by LC-MS/MS.<h4>Results</h4>Radiation did not significantly enhance drug delivery into brain tissue for levetiracetam, cefazolin, GNE-317, apitolisib, or nedisertib at any times post-radiation. Even a single, supra-therapeutic dose of radiation (40 Gy) did not significantly affect brain distribution of GNE-317 or apitolisib (P ≥ 0.07) from 16 to 160 hours post-radiation. For brigimadlin, radiation (6 Gy × 5) was associated with a modest but significant increase on drug accumulation only at 72 hours post-radiation (brain-to-plasma ratio 0.014±0.006 vs. 0.025±0.010, respectively; P = 0.04), but not at any other timepoint (24 hr, 15, 28, 94, 133, 183 days; P > 0.05). Similarly, radiation (6 Gy × 5) of orthotopic tumors did not increase levels of brigimadlin in GBM10 or GBM108 or nedisertib in GBM108 (P > 0.05).<h4>Conclusions</h4>Radiation had no meaningful impact of drug delivery into brain or brain tumors for the drugs tested.",2025,10.1093/neuonc/noaf093,40163716,,"Zhang W, Grams MP, Oberoi RK, Oh JH, Decker PA, Sio TT, Talele S, Wilson ZC, Connors MA, Bakken KK, Carlson BL, Ott LL, Burgenske DM, Tryggestad EJ, Passow JEE, Elmquist WF, Sarkaria JN.",MED,"""brain-to-plasma ratio""",True,The,"[22, 37, 39]",The,5866.0,CC12CCC(CC1CCC3C2C(=O)CC4(C3CCC4(C(=O)CO)O)C)O,"(3R,5R,8S,9S,10S,13S,14S,17R)-3,17-dihydroxy-17-(2-hydroxyacetyl)-10,13-dimethyl-2,3,4,5,6,7,8,9,12,14,15,16-dodecahydro-1H-cyclopenta[a]phenanthren-11-one"
"Silicon incorporated tacrine: design, synthesis, and evaluation of biological and pharmacokinetic parameters.","Tacrine, an orally bioavailable cholinesterase inhibitor, was previously used to treat Alzheimer's disease but was withdrawn due to hepatotoxicity. The unique structural features of tacrine have once again captured the interest of medicinal chemists. However, the blood-brain barrier (BBB) permeability hampered the development of the majority of its new analogs. Herein, we employed a silicon switch approach for improving the BBB permeability of CNS drugs with tacrine as a tool compound. The replacement of C2 methylene of tacrine with dimethyl silicon yielded 'sila-tacrine' that inhibits acetylcholinesterase as well as butyrylcholinesterase with IC<sub>50</sub> values of 3.18 and 6.09 μM, respectively. Sila-tacrine competitively inhibits acetylcholinesterase while it is a non-competitive inhibitor of butyrylcholinesterase. The molecular docking results corroborated with the <i>in vitro</i> cholinesterase inhibition activity of tacrine <i>vs.</i> sila-tacrine. Sila-tacrine demonstrated metabolic stability in HLM and MLM and exhibited superior plasma exposure in an oral pharmacokinetic study in Swiss albino mice. However, tissue distribution studies revealed lower-than-expected brain levels due to efflux pump-mediated transport. This study offers a proof-of-concept for the silicon switch approach in improving the BBB permeability of CNS-active compounds.",2025,10.1039/d5md00019j,40177641,,"Kulkarni AS, Ramana SR, Nuthakki VK, Bhatt S, Jamwal A, Nandawadekar LD, Jotshi A, Kumar A, Nandi U, Bharate SB, Reddy DS.",MED,"""brain-to-plasma ratio""",True,Silicon,"[35, 37]",Silicon,5461123.0,[Si],silicon
"Basmisanil, an α5-GABA&lt;sub&gt;A&lt;/sub&gt;R negative allosteric modulator, produces rapid and sustained antidepressant-like responses in male mice.","There is a critical need for safer and better-tolerated alternatives to address the current limitations of antidepressant treatments for major depressive disorder. Recently, drugs targeting the GABA system via α5-containing GABA<sub>A</sub> receptors (α5-GABA<sub>A</sub>R) as negative allosteric modulators (α5-NAMs) have shown promise in alleviating stress-related behaviors in preclinical studies, suggesting that α5-NAMs may have translational relevance as novel antidepressant medications. Here, we evaluated the efficacy of Basmisanil, an α5-NAM that has been evaluated in Phase 2 clinical studies as a cognitive enhancer, in a battery of behavioral tests relevant to coping strategies, motivation, and aversion in male mice, along with plasma and brain pharmacokinetic measurements. Our findings reveal that Basmisanil induces dose-dependent rapid antidepressant-like responses in the forced swim test and sucrose splash test without promoting locomotor stimulating effects. Furthermore, Basmisanil elicits sustained behavioral responses in the female urine sniffing test and sucrose splash test, observed 24 h and 48 h post-treatment, respectively. Bioanalysis of plasma and brain samples confirms effective blood-brain barrier penetration by Basmisanil and extrapolation to previously published data suggest that effects were observed at doses (10 and 30 mg/kg i.p.) corresponding to relatively modest levels of α5-GABA<sub>A</sub>R occupancy (40-65 %). These results suggest that Basmisanil exhibits a combination of rapid and sustained antidepressant-like effects highlighting the potential of α5-NAMs as a novel therapeutic strategy for depression.",2024,10.1016/j.neulet.2024.137828,38772437,,"Daher F, Villalobos NA, Hanley M, Atack JR, Popa MO, Fogaça MV.",MED,"""brain-to-plasma ratio""",True,Basmisanil,"[4, 33]",Basmisanil,57336276.0,CC1=C(C(=NO1)C2=CC=C(C=C2)F)COC3=NC=C(C=C3)C(=O)N4CCS(=O)(=O)CC4,"(1,1-dioxo-1,4-thiazinan-4-yl)-[6-[[3-(4-fluorophenyl)-5-methyl-1,2-oxazol-4-yl]methoxy]-3-pyridinyl]methanone"
P-Glycoprotein (ABCB1/MDR1) and BCRP (ABCG2) Limit Brain Accumulation and Cytochrome P450-3A (CYP3A) Restricts Oral Exposure of the RET Inhibitor Selpercatinib (RETEVMO).,"Selpercatinib is a targeted, FDA-approved, oral, small-molecule inhibitor for the treatment of rearranged during transfection (RET) proto-oncogene mutation-positive cancer. Using genetically modified mouse models, we investigated the roles of the multidrug efflux transporters ABCB1 and ABCG2, the OATP1A/1B uptake transporters, and the drug-metabolizing CYP3A complex in selpercatinib pharmacokinetics. Selpercatinib was efficiently transported by hABCB1 and mAbcg2, but not hABCG2, and was not a substrate of human OATP1A2, -1B1 or -1B3 in vitro. In vivo, brain and testis penetration were increased by 3.0- and 2.7-fold in <i>Abcb1a/1b<sup>-/-</sup></i> mice and by 6.2- and 6.4-fold in <i>Abcb1a/1b;Abcg2<sup>-/-</sup></i> mice, respectively. Oatp1a/1b deficiency did not alter selpercatinib pharmacokinetics. The ABCB1/ABCG2 inhibitor elacridar boosted selpercatinib brain penetration in wild-type mice to the levels seen in <i>Abcb1a/1b;Abcg2<sup>-/-</sup></i> mice. <i>Cyp3a<sup>-/-</sup></i> mice showed a 1.4-fold higher plasma AUC<sub>0-4h</sub> than wild-type mice, which was then 1.6-fold decreased upon transgenic overexpression of human CYP3A4 in liver and intestine. In summary, ABCG2, and especially ABCB1, limit brain and testis penetration of selpercatinib. Elacridar coadministration could mostly reverse these effects, without causing acute toxicity. CYP3A-mediated metabolism can limit selpercatinib oral exposure and hence its tissue concentrations. These insights may be useful in the further clinical development of selpercatinib.",2021,10.3390/ph14111087,34832869,,"Wang Y, Sparidans RW, Potters S, Şentürk R, Lebre MC, Beijnen JH, Schinkel AH.",MED,"""brain-to-plasma ratio""",True,Glycoprotein,"[0, 19, 37]",Glycoprotein,439212.0,CC(=O)NC1C(C(C(OC1NC(=O)CC(C(=O)N)NC(=O)C)CO)OC2C(C(C(C(O2)CO)OC3C(C(C(C(O3)CO)O)O)O)O)NC(=O)C)O,"(2S)-2-acetamido-N'-[(3R,4R,5S,6R)-3-acetamido-5-[(2S,3R,4R,5S,6R)-3-acetamido-4-hydroxy-6-(hydroxymethyl)-5-[(2S,3S,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyoxan-2-yl]oxy-4-hydroxy-6-(hydroxymethyl)oxan-2-yl]butanediamide"
Simultaneous Quantification and Pharmacokinetic Characterization of Doxapram and 2-Ketodoxapram in Porcine Plasma and Brain Tissue.,"Atrial fibrillation (AF) is an arrhythmia associated with an increased stroke risk and mortality rate. Current treatment options leave unmet needs in AF therapy. Recently, doxapram has been introduced as a possible new option for AF treatment in a porcine animal model. To better understand its pharmacokinetics, three German Landrace pigs were treated with intravenous doxapram (1 mg/kg). Plasma and brain tissue samples were collected. For the analysis of these samples, an ultra performance liquid chromatography tandem mass spectrometry (UPLC-MS/MS) assay for the simultaneous measurement of doxapram and its active metabolite 2-ketodoxapram was developed and validated. The assay had a lower limit of quantification (LLOQ) of 10 pg/mL for plasma and 1 pg/sample for brain tissue. In pigs, doxapram pharmacokinetics were biphasic with a terminal elimination half-life (t<sub>1/2</sub>) of 1.38 ± 0.22 h and a maximal plasma concentration (c<sub>max</sub>) of 1780 ± 275 ng/mL. Its active metabolite 2-ketodoxapram had a t<sub>1/2</sub> of 2.42 ± 0.04 h and c<sub>max</sub> of 32.3 ± 5.5 h after administration of doxapram. Protein binding was 95.5 ± 0.9% for doxapram and 98.4 ± 0.3% for 2-ketodoxapram with a brain-to-plasma ratio of 0.58 ± 0.24 for doxapram and 0.12 ± 0.02 for 2-ketodoxapram. In conclusion, the developed assay was successfully applied to the creation of pharmacokinetic data for doxapram, possibly improving the safety of its usage.",2022,10.3390/pharmaceutics14040762,35456597,,"Kraft M, Foerster KI, Wiedmann F, Sauter M, Paasche A, Blochberger PL, Yesilgöz B, L'hoste Y, Frey N, Haefeli WE, Burhenne J, Schmidt C.",MED,"""brain-to-plasma ratio""",True,Ketodoxapram,"[15, 24]",Ketodoxapram,162522.0,CCN1CC(C(C1=O)(C2=CC=CC=C2)C3=CC=CC=C3)CCN4CCOCC4=O,"4-[2-(1-ethyl-5-oxo-4,4-diphenylpyrrolidin-3-yl)ethyl]morpholin-3-one"
Simultaneous Quantification and Pharmacokinetic Characterization of Doxapram and 2-Ketodoxapram in Porcine Plasma and Brain Tissue.,"Atrial fibrillation (AF) is an arrhythmia associated with an increased stroke risk and mortality rate. Current treatment options leave unmet needs in AF therapy. Recently, doxapram has been introduced as a possible new option for AF treatment in a porcine animal model. To better understand its pharmacokinetics, three German Landrace pigs were treated with intravenous doxapram (1 mg/kg). Plasma and brain tissue samples were collected. For the analysis of these samples, an ultra performance liquid chromatography tandem mass spectrometry (UPLC-MS/MS) assay for the simultaneous measurement of doxapram and its active metabolite 2-ketodoxapram was developed and validated. The assay had a lower limit of quantification (LLOQ) of 10 pg/mL for plasma and 1 pg/sample for brain tissue. In pigs, doxapram pharmacokinetics were biphasic with a terminal elimination half-life (t<sub>1/2</sub>) of 1.38 ± 0.22 h and a maximal plasma concentration (c<sub>max</sub>) of 1780 ± 275 ng/mL. Its active metabolite 2-ketodoxapram had a t<sub>1/2</sub> of 2.42 ± 0.04 h and c<sub>max</sub> of 32.3 ± 5.5 h after administration of doxapram. Protein binding was 95.5 ± 0.9% for doxapram and 98.4 ± 0.3% for 2-ketodoxapram with a brain-to-plasma ratio of 0.58 ± 0.24 for doxapram and 0.12 ± 0.02 for 2-ketodoxapram. In conclusion, the developed assay was successfully applied to the creation of pharmacokinetic data for doxapram, possibly improving the safety of its usage.",2022,10.3390/pharmaceutics14040762,35456597,,"Kraft M, Foerster KI, Wiedmann F, Sauter M, Paasche A, Blochberger PL, Yesilgöz B, L'hoste Y, Frey N, Haefeli WE, Burhenne J, Schmidt C.",MED,"""brain-to-plasma ratio""",True,Doxapram,"[15, 24]",Doxapram,3156.0,CCN1CC(C(C1=O)(C2=CC=CC=C2)C3=CC=CC=C3)CCN4CCOCC4,"1-ethyl-4-(2-morpholin-4-ylethyl)-3,3-diphenylpyrrolidin-2-one"
P-Glycoprotein (MDR1/ABCB1) Restricts Brain Accumulation of the Novel EGFR Inhibitor EAI045 and Oral Elacridar Coadministration Enhances Its Brain Accumulation and Oral Exposure.,"EAI045 is a fourth-generation allosteric tyrosine kinase inhibitor (TKI) of the epidermal growth factor receptor (EGFR). It targets T790M and C797S EGFR mutants in the treatment of non-small cell lung cancer (NSCLC). EAI045 and cetuximab combined induce tumor regression in mouse models of EGFR-mutant lung cancer. We investigated the pharmacokinetic roles of the multidrug efflux and uptake transporters ABCB1 (P-gp), ABCG2 (BCRP), and OATP1A/1B, and of the drug-metabolizing enzyme CYP3A in plasma and tissue distribution of EAI045 and its metabolites, using genetically modified mouse models. In vitro, EAI045 was a good transport substrate of human ABCB1. In vivo, oral EAI045 (20 mg/kg) was rapidly absorbed. Relative to wild-type mice, EAI045 brain-to-plasma ratios were increased 3.9-fold in <i>Abcb1a/1b</i><i><sup>-/-</sup></i> and 4.8-fold in <i>Abcb1a/1b;Abcg2</i><i><sup>-/-</sup></i> mice. However, in single <i>Abcg2</i><i><sup>-/-</sup></i> mice they were unchanged. EAI045 oral availability was not markedly altered. Oral coadministration of elacridar, an ABCB1/ABCG2 inhibitor, increased the plasma AUC<sub>0-30min</sub> and brain-to-plasma ratios of EAI045 by 4.0-fold and 5.4-fold, respectively, in wild-type mice. EAI045 glucuronide showed an increased plasma AUC<sub>0-30min</sub> and a markedly decreased accumulation and tissue-to-plasma ratio in the small intestinal content when Abcb1a/1b and Abcg2 were absent. A large fraction of oral EAI045 was converted to its hydrolyzed metabolite PIA, but Abcb1a/1b, Abcg2, and Oatp1a/1b had little impact on PIA pharmacokinetics. Mouse Cyp3a knockout or transgenic human CYP3A4 overexpression did not significantly affect oral EAI045 pharmacokinetics. Our results show that blood-brain barrier ABCB1 can markedly limit EAI045 brain accumulation. Moreover, elacridar coadministration can effectively reverse this process.",2022,10.3390/ph15091124,36145346,,"Wang J, Susam MM, Gan C, Sparidans RW, Lebre MC, Beijnen JH, Schinkel AH.",MED,"""brain-to-plasma ratio""",True,Glycoprotein,"[0, 19, 37]",Glycoprotein,439212.0,CC(=O)NC1C(C(C(OC1NC(=O)CC(C(=O)N)NC(=O)C)CO)OC2C(C(C(C(O2)CO)OC3C(C(C(C(O3)CO)O)O)O)O)NC(=O)C)O,"(2S)-2-acetamido-N'-[(3R,4R,5S,6R)-3-acetamido-5-[(2S,3R,4R,5S,6R)-3-acetamido-4-hydroxy-6-(hydroxymethyl)-5-[(2S,3S,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyoxan-2-yl]oxy-4-hydroxy-6-(hydroxymethyl)oxan-2-yl]butanediamide"
"Discovery of (<i>S</i>)-1-((2',6-Bis(difluoromethyl)-[2,4'-bipyridin]-5-yl)oxy)-2,4-dimethylpentan-2-amine (BMS-986176/LX-9211): A Highly Selective, CNS Penetrable, and Orally Active Adaptor Protein-2 Associated Kinase 1 Inhibitor in Clinical Trials for the Treatment of Neuropathic Pain.","Recent mouse knockout studies identified adapter protein-2 associated kinase 1 (AAK1) as a viable target for treating neuropathic pain. Potent small-molecule inhibitors of AAK1 have been identified and show efficacy in various rodent pain models. (<i>S</i>)-1-((2',6-Bis(difluoromethyl)-[2,4'-bipyridin]-5-yl)oxy)-2,4-dimethylpentan-2-amine (BMS-986176/LX-9211) (<b>34</b>) was identified as a highly selective, CNS penetrant, potent AAK1 inhibitor from a novel class of bi(hetero)aryl ethers. BMS-986176/LX9211 (<b>34</b>) showed excellent efficacy in two rodent neuropathic pain models and excellent central nervous system (CNS) penetration and target engagement at the spinal cord with an average brain to plasma ratio of 20 in rat. The compound exhibited favorable physicochemical and pharmacokinetic properties, had an acceptable preclinical toxicity profile, and was chosen for clinical trials. BMS-986176/LX9211 (<b>34</b>) completed phase I trials with good human pharmacokinetics and minimum adverse events and is currently in phase II clinical trials for diabetic peripheral neuropathic pain (ClinicalTrials.gov identifier: NCT04455633) and postherpetic neuralgia (ClinicalTrials.gov identifier: NCT04662281).",2022,10.1021/acs.jmedchem.1c02131,35257579,,"Luo G, Chen L, Kostich WA, Hamman B, Allen J, Easton A, Bourin C, Gulianello M, Lippy J, Nara S, Maishal TK, Thiyagarajan K, Jalagam P, Pattipati SN, Dandapani K, Dokania M, Vattikundala P, Sharma V, Elavazhagan S, Verma MK, Das ML, Wagh S, Balakrishnan A, Johnson BM, Santone KS, Thalody G, Denton R, Saminathan H, Holenarsipur VK, Kumar A, Rao A, Putlur SP, Sarvasiddhi SK, Shankar G, Louis JV, Ramarao M, Conway CM, Li YW, Pieschl R, Tian Y, Hong Y, Ditta J, Mathur A, Li J, Smith D, Pawluczyk J, Sun D, Yip S, Wu DR, Vetrichelvan M, Gupta A, Wilson A, Gopinathan S, Wason S, Bristow L, Albright CF, Bronson JJ, Macor JE, Dzierba CD.",MED,"""brain-to-plasma ratio""",True,Treatment,"[34, 37, 38]",Treatment,26041.0,C1=CC=[N+](C(=C1)[S-])[O-].C1=CC=[N+](C(=C1)[S-])[O-].[Zn+2],zinc bis(1-oxidopyridin-1-ium-2-thiolate)
Use of Intravenous Infusion Study Design to Simultaneously Determine Brain Penetration and Systemic Pharmacokinetic Parameters in Rats.,"In drug discovery, the extent of brain penetration as measured by free brain/plasma concentration ratio (K<sub>p,uu</sub>) is normally determined from one experiment after constant intravenous infusion, and pharmacokinetics (PK) parameters, including clearance (CL), volume of distribution at steady state (Vss), and effective half-life (<i>t</i> <sub>1/2</sub> <sub>,eff</sub>) are determined from another experiment after a single intravenous bolus injection. The objective of the present study was to develop and verify a method to simultaneously determine K<sub>p,uu</sub> and PK parameters from a single intravenous infusion experiment. In this study, nine compounds (atenolol, loperamide, minoxidil, <i>N</i>-[3-(4'-fluorophenyl)-3-(4'-phenylphenoxy)propyl]sarcosine, sulpiride, and four proprietary compounds) were intravenously infused for 4 hours at 1 mg/kg or 24 hours at 1 or 6 mg/kg or bolus injected at 1 mg/kg. Plasma samples were serially collected, and brain and cerebrospinal fluid samples were collected at the end of infusion. The PK parameters were obtained using noncompartmental analysis (NCA) and compartmental analysis. The K<sub>p,uu,brain</sub> values of those compounds increased up to 2.86-fold from 4 to 24 hours. The CL calculated from infusion rate over steady-state concentration from the 24-hour infusion studies was more consistent with the CL from the intravenous bolus studies than that from 4-hour infusion studies (CL avg. fold of difference 1.19-1.44 vs. 2.10). The compartmental analysis using one- and two-compartment models demonstrated better performance than NCA regardless of study design. In addition, volume of distribution at steady state and <i>t</i> <sub>1/2,eff</sub> could be accurately obtained by one-compartment analysis within 2-fold difference. In conclusion, both unbound brain-to-plasma ratio and PK parameters can be successfully estimated from a 24-hour intravenous infusion study design. SIGNIFICANCE STATEMENT: We demonstrated that the extent of brain penetration and pharmacokinetic parameters (such as clearance, V<sub>ss</sub>, and effective <i>t</i> <sub>1/2</sub>) can be determined from a single constant intravenous infusion study in rats.",2021,10.1124/dmd.120.000242,33262223,,"Noh K, Pietrasiewicz A, Liu X, Wei C.",MED,"""brain-to-plasma ratio""",True,Use,[39],Use,5281675.0,C1=CC(=C(C=C1C2=CC(=O)C3=C(O2)C(=C(C=C3O)O)C4C(C(C(C(O4)CO)O)O)O)O)O,"2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-8-[(2S,3R,4R,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]chromen-4-one"
"The role of drug efflux and uptake transporters ABCB1 (P-gp), ABCG2 (BCRP) and OATP1A/1B and of CYP3A4 in the pharmacokinetics of the CDK inhibitor milciclib.","The promising anticancer drug milciclib potently inhibits cyclin-dependent kinase (CDK) 2 and tropomyosin receptor kinase (TRK) A, and is currently in phase II clinical studies. To characterize factors affecting milciclib pharmacokinetics, we investigated whether milciclib is a substrate of the multidrug efflux and uptake transporters ABCB1 (P-gp), ABCG2 (BCRP), and OATP1A/1B, and the drug-metabolizing enzyme CYP3A, using genetically-modified mouse models and Madin-Darby Canine Kidney (MDCK-II) cells. In vitro, milciclib was transported by mAbcg2, and this was inhibited by the ABCG2 inhibitor Ko143. Upon oral administration of milciclib, its plasma exposure in Abcb1a/1b<sup>-/-</sup>, Abcg2<sup>-/-</sup>, and Abcb1a/1b;Abcg2<sup>-/-</sup> mice was similar to that found in wild-type mice. Milciclib showed good brain penetration even in wild-type mice (brain-to-plasma ratio of 1.2), but this was further increased by 5.2-fold when both Abcb1 and Abcg2 were ablated, and to a lesser extent in single Abcb1- or Abcg2-deficient mice. Oatp1a/1b deficiency had only a minor impact on the milciclib plasma AUC<sub>0-24h</sub> and C<sub>max</sub>. The milciclib AUC<sub>0-8h</sub> increased 1.9-fold in Cyp3a<sup>-/-</sup> mice but decreased only 1.3-fold upon overexpression of human CYP3A4. Thus, ABCB1 and ABCG2 cooperatively limit milciclib brain penetration. The low impact of OATP1 and CYP3A could be clinically favorable for milciclib, reducing the risks of unintended drug-drug interactions or interindividual variation in CYP3A4 activity.",2021,10.1016/j.ejps.2021.105740,33524505,,"Martínez-Chávez A, Broeders J, Lebre MC, Tibben MT, Rosing H, Beijnen JH, Schinkel AH.",MED,"""brain-to-plasma ratio""",True,The,"[0, 37]",The,5866.0,CC12CCC(CC1CCC3C2C(=O)CC4(C3CCC4(C(=O)CO)O)C)O,"(3R,5R,8S,9S,10S,13S,14S,17R)-3,17-dihydroxy-17-(2-hydroxyacetyl)-10,13-dimethyl-2,3,4,5,6,7,8,9,12,14,15,16-dodecahydro-1H-cyclopenta[a]phenanthren-11-one"
