,activity_id,assay_chembl_id,molecule_chembl_id,type,standard_units,relation,standard_value,target_chembl_id,target_organism,assay_description,assay_type,smiles
0,32354,CHEMBL638472,CHEMBL432162,LogD,,=,0.49,CHEMBL2362975,,Partition coefficient (logD) (octanol/0.01 N K2HPO4),P,Cc1nc(C)c2c(n1)N(Cc1ccc(-c3ccccc3-c3nnn[nH]3)cc1)C(=O)CC2
2,33086,CHEMBL636433,CHEMBL281460,LogD,,=,1.95,CHEMBL2362975,,Distribution coefficient between 1-Octanol and phosphate buffer at pH7.4,P,CCC1NC(=O)OC12CCN(CCc1c[nH]c3ccccc13)CC2
6,34423,CHEMBL877622,CHEMBL28059,LogD,,=,2.61,CHEMBL2362975,,Distribution coefficient between 1-Octanol and phosphate buffer at pH7.4,P,O=C1NC(c2ccccc2)C2(CCN(CCc3c[nH]c4ccccc34)CC2)O1
10,35575,CHEMBL636433,CHEMBL25591,LogD,,=,1.45,CHEMBL2362975,,Distribution coefficient between 1-Octanol and phosphate buffer at pH7.4,P,O=C1NCC2(CCN(CCc3c[nH]c4ccccc34)CC2)O1
11,35649,CHEMBL877622,CHEMBL27929,LogD,,=,2.42,CHEMBL2362975,,Distribution coefficient between 1-Octanol and phosphate buffer at pH7.4,P,CCCC1CN(CCc2c[nH]c3ccccc23)CCC12CNC(=O)O2
13,36832,CHEMBL877622,CHEMBL28146,LogD,,=,2.95,CHEMBL2362975,,Distribution coefficient between 1-Octanol and phosphate buffer at pH7.4,P,O=C1OC2(CCN(CCc3c[nH]c4ccccc34)CC2)CN1CCc1ccccc1
20,38007,CHEMBL636433,CHEMBL24522,LogD,,=,1.73,CHEMBL2362975,,Distribution coefficient between 1-Octanol and phosphate buffer at pH7.4,P,CN1CC2(CCN(CCc3c[nH]c4ccccc34)CC2)OC1=O
21,38012,CHEMBL636432,CHEMBL24522,LogD,,=,,CHEMBL2362975,,Distribution coefficient between 1-Octanol and phosphate buffer at pH7.4,P,CN1CC2(CCN(CCc3c[nH]c4ccccc34)CC2)OC1=O
22,38021,CHEMBL877622,CHEMBL24974,LogD,,=,2.79,CHEMBL2362975,,Distribution coefficient between 1-Octanol and phosphate buffer at pH7.4,P,O=C1OC2(CCN(CC(O)C3COc4ccccc4O3)CC2)CN1CCc1ccccc1
23,38058,CHEMBL877622,CHEMBL283477,LogD,,=,2.91,CHEMBL2362975,,Distribution coefficient between 1-Octanol and phosphate buffer at pH7.4,P,O=C1OC2(CCN(CCc3c[nH]c4ccccc34)CC2)CN1Cc1ccccc1
24,38449,CHEMBL636808,CHEMBL1695,LogD,,=,1.59,CHEMBL2362975,,Lipophilicity measured as partition between  octanol and pH 7.4 buffer,P,Cc1ccsc1C(=CCCN1CCC[C@@H](C(=O)O)C1)c1sccc1C.Cl
