,activity_id,assay_chembl_id,assay_description,assay_type,molecule_chembl_id,smiles,target_chembl_id,target_organism,standard_type,standard_units,relation,standard_value,error
0,109043,CHEMBL701453,Percent unbound determined for whole normal human plasma,F,CHEMBL268871,CCc1cc(NCc2nc3c(Cl)ccc(Cl)c3o2)c(O)nc1C,CHEMBL612558,Homo sapiens,Unbound,%,=,0.4,
1,115633,CHEMBL701453,Percent unbound determined for whole normal human plasma,F,CHEMBL177271,CCc1cc(CCc2nc3c(F)ccc(F)c3o2)c(O)nc1C,CHEMBL612558,Homo sapiens,Unbound,%,=,3.0,
2,119428,CHEMBL701453,Percent unbound determined for whole normal human plasma,F,CHEMBL176972,CCc1cc(CCc2nc3c(Cl)cccc3o2)c(O)nc1C,CHEMBL612558,Homo sapiens,Unbound,%,=,3.0,
3,119431,CHEMBL701453,Percent unbound determined for whole normal human plasma,F,CHEMBL367052,CCc1cc(CCc2nc3cccc(F)c3o2)c(O)nc1C,CHEMBL612558,Homo sapiens,Unbound,%,=,1.4,
4,121881,CHEMBL701453,Percent unbound determined for whole normal human plasma,F,CHEMBL171920,CCc1cc(CCc2nc3cccc(Cl)c3o2)c(O)nc1C,CHEMBL612558,Homo sapiens,Unbound,%,=,0.7,
5,127226,CHEMBL701453,Percent unbound determined for whole normal human plasma,F,CHEMBL99235,CCc1cc(CCc2nc3c(Cl)ccc(Cl)c3o2)c(O)nc1C,CHEMBL612558,Homo sapiens,Unbound,%,=,0.1,
6,128273,CHEMBL701453,Percent unbound determined for whole normal human plasma,F,CHEMBL83622,CCc1cc(CCc2nc3ccccc3o2)c(O)nc1C,CHEMBL612558,Homo sapiens,Unbound,%,=,4.0,
7,129537,CHEMBL701453,Percent unbound determined for whole normal human plasma,F,CHEMBL329720,CCc1cc(CCc2nc3c(C)ccc(C)c3o2)c(O)nc1C,CHEMBL612558,Homo sapiens,Unbound,%,=,0.2,
8,139468,CHEMBL701453,Percent unbound determined for whole normal human plasma,F,CHEMBL177016,CCc1cc(CCc2nc3c(C)cccc3o2)c(O)nc1C,CHEMBL612558,Homo sapiens,Unbound,%,=,0.4,
9,140646,CHEMBL701453,Percent unbound determined for whole normal human plasma,F,CHEMBL176362,CCc1cc(CCc2nc3c(F)cccc3o2)c(O)nc1C,CHEMBL612558,Homo sapiens,Unbound,%,=,4.0,
15,3368270,CHEMBL1176595,Fraction unbound in human liver microsomes at 1 uM,A,CHEMBL1171647,CCc1c[nH]c2ncnc(N3CC[C@](N)(CNC(=O)c4ccc(F)cc4F)C3)c12,CHEMBL612558,Homo sapiens,Fu,%,=,80.5,
17,5109126,CHEMBL1641295,Fraction unbound in human plasma by equilibrium dialysis method,A,CHEMBL221959,C[C@@H]1CCN(C(=O)CC#N)C[C@@H]1N(C)c1ncnc2[nH]ccc12,CHEMBL613424,Homo sapiens,Fu,%,=,24.0,
18,5240879,CHEMBL1685348,Fraction unbound in human plasma,A,CHEMBL1683571,N[C@H]1CN(c2ncnc(N3CCC(F)(F)C3)n2)C[C@@H]1N1CC(F)(F)CCC1=O,CHEMBL613424,Homo sapiens,Fu,%,=,83.0,
19,6286116,CHEMBL1803802,Fraction unbound in human plasma,A,CHEMBL1800879,N#CC1(c2ccccc2)CCN(Cc2cc(C(=O)O)c(=O)n3ccccc23)CC1,CHEMBL613424,Homo sapiens,Fu,%,=,10.0,
35,14725649,CHEMBL3296726,Fraction unbound in human plasma,A,CHEMBL3289803,Nc1nc2ccc(C(F)(F)F)cc2n1CC(O)c1ccc(C(F)(F)F)cc1Cl,CHEMBL613424,Homo sapiens,Fu,%,<,1.0,
36,14725650,CHEMBL3296726,Fraction unbound in human plasma,A,CHEMBL3289813,CC(Oc1ccc2nc(N)n(CC(O)c3ccc(C(F)(F)F)cc3Cl)c2n1)C(F)(F)F,CHEMBL613424,Homo sapiens,Fu,%,<,1.0,
37,14725775,CHEMBL3296726,Fraction unbound in human plasma,A,CHEMBL3289811,Nc1nc2ccc(OC3CCOC3)nc2n1CC(O)c1ccc(C(F)(F)F)cc1Cl,CHEMBL613424,Homo sapiens,Fu,%,=,2.6,
38,14725813,CHEMBL3296726,Fraction unbound in human plasma,A,CHEMBL3289805,Nc1nc2cccnc2n1CC(O)c1cccc(Cl)c1Cl,CHEMBL613424,Homo sapiens,Fu,%,=,11.799999999999999,
39,14725838,CHEMBL3296726,Fraction unbound in human plasma,A,CHEMBL3289806,CN1CCN(c2ccc3nc(N)n(CC(O)c4ccc(C(F)(F)F)cc4Cl)c3n2)CC1,CHEMBL613424,Homo sapiens,Fu,%,=,23.400000000000002,
88,16533063,CHEMBL3790413,Plasma protein binding in human assessed as fraction unbound,A,CHEMBL3787587,O=C(NCc1cc(Cl)ccc1-n1cnnn1)[C@@H]1CC=NN1C(=O)[C@H](O)c1ccc(F)cc1,CHEMBL612546,Homo sapiens,Fu,%,=,34.0,
125,18357471,CHEMBL4140831,Fraction unbound in human plasma at 5 uM after 4 hrs by equilibrium dialysis based LC-MS/MS analysis,A,CHEMBL2361777,COc1ccc(-c2c(C)nn3c(C(F)(F)F)cc(C)nc23)cc1,CHEMBL612558,Homo sapiens,Fu,%,=,0.6,
126,18357472,CHEMBL4140831,Fraction unbound in human plasma at 5 uM after 4 hrs by equilibrium dialysis based LC-MS/MS analysis,A,CHEMBL4165248,COc1ccc(-c2c(C)nn3c(C(F)(F)F)cc(C)nc23)cc1F,CHEMBL612558,Homo sapiens,Fu,%,=,1.3,
127,18357473,CHEMBL4140831,Fraction unbound in human plasma at 5 uM after 4 hrs by equilibrium dialysis based LC-MS/MS analysis,A,CHEMBL4168668,COc1cc(F)c(-c2c(C)nn3c(C(F)(F)F)cc(C)nc23)c(F)c1,CHEMBL612558,Homo sapiens,Fu,%,=,1.6,
128,18357474,CHEMBL4140831,Fraction unbound in human plasma at 5 uM after 4 hrs by equilibrium dialysis based LC-MS/MS analysis,A,CHEMBL4160748,COc1ccc(-c2c(C)nn3c(C(F)(F)F)cc(C)nc23)c(F)c1F,CHEMBL612558,Homo sapiens,Fu,%,=,0.8,
129,18357475,CHEMBL4140831,Fraction unbound in human plasma at 5 uM after 4 hrs by equilibrium dialysis based LC-MS/MS analysis,A,CHEMBL4172016,COc1cc(F)c(-c2c(C)nn3c(C(F)(F)F)cc(C)nc23)cc1F,CHEMBL612558,Homo sapiens,Fu,%,=,0.2,
139,18924409,CHEMBL4324216,Unbound fraction in human plasma at 1 uM incubated for 4 hrs by rapid equilibrium dialysis method,A,CHEMBL4451125,CC(C)n1cnnc1-c1cccc(NC(=O)c2ccccc2F)n1,CHEMBL612558,Homo sapiens,Fu,%,=,22.3,
140,18924410,CHEMBL4324216,Unbound fraction in human plasma at 1 uM incubated for 4 hrs by rapid equilibrium dialysis method,A,CHEMBL4551282,COc1ccccc1C(=O)Nc1cccc(-c2nncn2C(C)C)n1,CHEMBL612558,Homo sapiens,Fu,%,=,2.7,
141,18924411,CHEMBL4324216,Unbound fraction in human plasma at 1 uM incubated for 4 hrs by rapid equilibrium dialysis method,A,CHEMBL4561768,O=C1Nc2cccc(n2)-c2nncn2CCCCOc2ccccc21,CHEMBL612558,Homo sapiens,Fu,%,=,3.2,
