,molecule_chembl_id,target_chembl_id,target_pref_name,standard_type,standard_relation,standard_value,standard_units,assay_chembl_id,assay_type,assay_description,document_chembl_id,uniprot_id,target_pref_name.1,readout,doi,year,publication_date,smiles,pActivity
0,CHEMBL138101,CHEMBL4792,Orexin receptor type 2,IC50,=,2000.0,nM,CHEMBL757348,B,Inhibitory concentration against human orexin-2 receptor (hOX2R),CHEMBL1136503,O43614,Orexin receptor type 2,IC50,10.1016/j.bmcl.2003.08.038,2003,2003-12-01,COc1cc2c(cc1OC)CN(C(=O)C(Cc1ccc(Br)cc1)C(C)(C)C)CC2,5.69897000433602
1,CHEMBL343551,CHEMBL4792,Orexin receptor type 2,IC50,=,36.0,nM,CHEMBL757348,B,Inhibitory concentration against human orexin-2 receptor (hOX2R),CHEMBL1136503,O43614,Orexin receptor type 2,IC50,10.1016/j.bmcl.2003.08.038,2003,2003-12-01,COc1cc2c(cc1OC)CN(C(=O)C(Cc1ccccc1)NC(=O)c1cc(Cl)cc(Cl)c1)CC2,7.44369749923271
2,CHEMBL142009,CHEMBL4792,Orexin receptor type 2,IC50,=,40.0,nM,CHEMBL757348,B,Inhibitory concentration against human orexin-2 receptor (hOX2R),CHEMBL1136503,O43614,Orexin receptor type 2,IC50,10.1016/j.bmcl.2003.08.038,2003,2003-12-01,COc1cc2c(cc1OC)CN(C(=O)[C@@H](NCc1ccncc1)C(C)(C)C)CC2,7.39794000867204
3,CHEMBL343786,CHEMBL4792,Orexin receptor type 2,IC50,=,35.0,nM,CHEMBL757348,B,Inhibitory concentration against human orexin-2 receptor (hOX2R),CHEMBL1136503,O43614,Orexin receptor type 2,IC50,10.1016/j.bmcl.2003.08.038,2003,2003-12-01,COc1cc2c(cc1OC)CN(C(=O)[C@@H](NCc1ccsc1)C(C)(C)C)CC2,7.45593195564972
4,CHEMBL139634,CHEMBL4792,Orexin receptor type 2,IC50,=,240.0,nM,CHEMBL757348,B,Inhibitory concentration against human orexin-2 receptor (hOX2R),CHEMBL1136503,O43614,Orexin receptor type 2,IC50,10.1016/j.bmcl.2003.08.038,2003,2003-12-01,COc1cc2c(cc1OC)CN(C(=O)[C@@H](NCc1cccnc1)C(C)(C)C)CC2,6.61978875828839
5,CHEMBL138091,CHEMBL4792,Orexin receptor type 2,IC50,=,70.0,nM,CHEMBL757348,B,Inhibitory concentration against human orexin-2 receptor (hOX2R),CHEMBL1136503,O43614,Orexin receptor type 2,IC50,10.1016/j.bmcl.2003.08.038,2003,2003-12-01,COc1cc2c(cc1OC)CN(C(=O)C(Cc1ccccc1)NC(=O)c1ccc(F)c(Br)c1)CC2,7.15490195998574
6,CHEMBL140547,CHEMBL4792,Orexin receptor type 2,IC50,=,28.0,nM,CHEMBL757348,B,Inhibitory concentration against human orexin-2 receptor (hOX2R),CHEMBL1136503,O43614,Orexin receptor type 2,IC50,10.1016/j.bmcl.2003.08.038,2003,2003-12-01,COc1cc2c(cc1OC)CN(C(=O)[C@@H](NCc1cccn1C)C(C)(C)C)CC2,7.55284196865778
7,CHEMBL140700,CHEMBL4792,Orexin receptor type 2,IC50,=,30.0,nM,CHEMBL757348,B,Inhibitory concentration against human orexin-2 receptor (hOX2R),CHEMBL1136503,O43614,Orexin receptor type 2,IC50,10.1016/j.bmcl.2003.08.038,2003,2003-12-01,COc1cc2c(cc1OC)CN(C(=O)[C@H](Cc1ccccc1)NC(=O)c1cc(Cl)cc(Cl)c1)CC2,7.52287874528034
8,CHEMBL140260,CHEMBL4792,Orexin receptor type 2,IC50,=,395.0,nM,CHEMBL757348,B,Inhibitory concentration against human orexin-2 receptor (hOX2R),CHEMBL1136503,O43614,Orexin receptor type 2,IC50,10.1016/j.bmcl.2003.08.038,2003,2003-12-01,COc1cc2c(cc1OC)CN(C(=O)C(Cc1ccccc1)c1ccccc1)CC2,6.40340290437354
9,CHEMBL139158,CHEMBL4792,Orexin receptor type 2,IC50,=,3300.0,nM,CHEMBL757348,B,Inhibitory concentration against human orexin-2 receptor (hOX2R),CHEMBL1136503,O43614,Orexin receptor type 2,IC50,10.1016/j.bmcl.2003.08.038,2003,2003-12-01,COc1cc2c(cc1OC)CN(C(=O)C(NCc1ccccc1)C(C)C)CC2,5.48148606012211
10,CHEMBL344622,CHEMBL4792,Orexin receptor type 2,IC50,=,25.0,nM,CHEMBL757348,B,Inhibitory concentration against human orexin-2 receptor (hOX2R),CHEMBL1136503,O43614,Orexin receptor type 2,IC50,10.1016/j.bmcl.2003.08.038,2003,2003-12-01,COc1cc2c(cc1OC)CN(C(=O)[C@@H](NCc1cccs1)C(C)(C)C)CC2,7.60205999132796
11,CHEMBL140559,CHEMBL4792,Orexin receptor type 2,IC50,=,900.0,nM,CHEMBL757348,B,Inhibitory concentration against human orexin-2 receptor (hOX2R),CHEMBL1136503,O43614,Orexin receptor type 2,IC50,10.1016/j.bmcl.2003.08.038,2003,2003-12-01,COc1cc2c(cc1OC)CN(C(=O)C(Cc1ccccc1)NC(=O)c1ccccc1)CC2,6.04575749056068
12,CHEMBL337367,CHEMBL4792,Orexin receptor type 2,IC50,=,195.0,nM,CHEMBL757348,B,Inhibitory concentration against human orexin-2 receptor (hOX2R),CHEMBL1136503,O43614,Orexin receptor type 2,IC50,10.1016/j.bmcl.2003.08.038,2003,2003-12-01,COc1cc2c(cc1OC)CN(C(=O)[C@H](Cc1ccccc1)NC(=O)c1ccccc1)CC2,6.70996538863748
13,CHEMBL342583,CHEMBL4792,Orexin receptor type 2,IC50,=,2900.0,nM,CHEMBL757348,B,Inhibitory concentration against human orexin-2 receptor (hOX2R),CHEMBL1136503,O43614,Orexin receptor type 2,IC50,10.1016/j.bmcl.2003.08.038,2003,2003-12-01,COc1cc2c(cc1OC)CN(C(=O)[C@H](NCc1ccccc1)C(C)(C)C)CC2,5.53760200210104
