molecule_chembl_id,target_chembl_id,target_pref_name,standard_type,standard_relation,standard_value,standard_units,assay_chembl_id,assay_type,assay_description,document_chembl_id,uniprot_id,target_pref_name,readout,doi,year,publication_date,smiles,pActivity
CHEMBL138101,CHEMBL4792,Orexin receptor type 2,IC50,=,2000,nM,CHEMBL757348,B,Inhibitory concentration against human orexin-2 receptor (hOX2R),CHEMBL1136503,O43614,Orexin receptor type 2,IC50,10.1016/j.bmcl.2003.08.038,2003,2003-12-01,COc1cc2c(cc1OC)CN(C(=O)C(Cc1ccc(Br)cc1)C(C)(C)C)CC2,5.69897000433602
CHEMBL343551,CHEMBL4792,Orexin receptor type 2,IC50,=,36,nM,CHEMBL757348,B,Inhibitory concentration against human orexin-2 receptor (hOX2R),CHEMBL1136503,O43614,Orexin receptor type 2,IC50,10.1016/j.bmcl.2003.08.038,2003,2003-12-01,COc1cc2c(cc1OC)CN(C(=O)C(Cc1ccccc1)NC(=O)c1cc(Cl)cc(Cl)c1)CC2,7.44369749923271
CHEMBL142009,CHEMBL4792,Orexin receptor type 2,IC50,=,40,nM,CHEMBL757348,B,Inhibitory concentration against human orexin-2 receptor (hOX2R),CHEMBL1136503,O43614,Orexin receptor type 2,IC50,10.1016/j.bmcl.2003.08.038,2003,2003-12-01,COc1cc2c(cc1OC)CN(C(=O)[C@@H](NCc1ccncc1)C(C)(C)C)CC2,7.39794000867204
CHEMBL343786,CHEMBL4792,Orexin receptor type 2,IC50,=,35,nM,CHEMBL757348,B,Inhibitory concentration against human orexin-2 receptor (hOX2R),CHEMBL1136503,O43614,Orexin receptor type 2,IC50,10.1016/j.bmcl.2003.08.038,2003,2003-12-01,COc1cc2c(cc1OC)CN(C(=O)[C@@H](NCc1ccsc1)C(C)(C)C)CC2,7.45593195564972
CHEMBL139634,CHEMBL4792,Orexin receptor type 2,IC50,=,240,nM,CHEMBL757348,B,Inhibitory concentration against human orexin-2 receptor (hOX2R),CHEMBL1136503,O43614,Orexin receptor type 2,IC50,10.1016/j.bmcl.2003.08.038,2003,2003-12-01,COc1cc2c(cc1OC)CN(C(=O)[C@@H](NCc1cccnc1)C(C)(C)C)CC2,6.61978875828839
CHEMBL138091,CHEMBL4792,Orexin receptor type 2,IC50,=,70,nM,CHEMBL757348,B,Inhibitory concentration against human orexin-2 receptor (hOX2R),CHEMBL1136503,O43614,Orexin receptor type 2,IC50,10.1016/j.bmcl.2003.08.038,2003,2003-12-01,COc1cc2c(cc1OC)CN(C(=O)C(Cc1ccccc1)NC(=O)c1ccc(F)c(Br)c1)CC2,7.15490195998574
CHEMBL140547,CHEMBL4792,Orexin receptor type 2,IC50,=,28,nM,CHEMBL757348,B,Inhibitory concentration against human orexin-2 receptor (hOX2R),CHEMBL1136503,O43614,Orexin receptor type 2,IC50,10.1016/j.bmcl.2003.08.038,2003,2003-12-01,COc1cc2c(cc1OC)CN(C(=O)[C@@H](NCc1cccn1C)C(C)(C)C)CC2,7.55284196865778
CHEMBL140700,CHEMBL4792,Orexin receptor type 2,IC50,=,30,nM,CHEMBL757348,B,Inhibitory concentration against human orexin-2 receptor (hOX2R),CHEMBL1136503,O43614,Orexin receptor type 2,IC50,10.1016/j.bmcl.2003.08.038,2003,2003-12-01,COc1cc2c(cc1OC)CN(C(=O)[C@H](Cc1ccccc1)NC(=O)c1cc(Cl)cc(Cl)c1)CC2,7.52287874528034
CHEMBL140260,CHEMBL4792,Orexin receptor type 2,IC50,=,395,nM,CHEMBL757348,B,Inhibitory concentration against human orexin-2 receptor (hOX2R),CHEMBL1136503,O43614,Orexin receptor type 2,IC50,10.1016/j.bmcl.2003.08.038,2003,2003-12-01,COc1cc2c(cc1OC)CN(C(=O)C(Cc1ccccc1)c1ccccc1)CC2,6.40340290437354
CHEMBL139158,CHEMBL4792,Orexin receptor type 2,IC50,=,3300,nM,CHEMBL757348,B,Inhibitory concentration against human orexin-2 receptor (hOX2R),CHEMBL1136503,O43614,Orexin receptor type 2,IC50,10.1016/j.bmcl.2003.08.038,2003,2003-12-01,COc1cc2c(cc1OC)CN(C(=O)C(NCc1ccccc1)C(C)C)CC2,5.48148606012211
