pdb_id,uniprot_id,ligand_smile,monomerid,affinity,affinity_type,source
8HJ5,Q96LB2,COc1ccccc1S(=O)(=O)Nc1ccc(C)cc1Oc1ccc2c(N)nccc2c1,50509101, 50,EC50,uniprot
8DWH,Q96LB2,COc1ccccc1S(=O)(=O)Nc1ccc(C)cc1Oc1ccc2c(N)nccc2c1,50509101, 50,EC50,uniprot
8DWG,Q96LB2,CCOc1ccccc1NC(=O)c1ccccc1NS(=O)(=O)C1CC1,50605929, 124,EC50,uniprot
5LWE,P51686,CC(C)(C)c1ccc(S(=O)(=O)Nc2ccc(Cl)cc2C(=O)c2cc[n+]([O-])cc2)cc1,50398334, 2.6,IC50,uniprot
5LWE,P51686,CC(C)(C)c1ccc(S(=O)(=O)Nc2ccc(Cl)cc2C(=O)c2cc[n+]([O-])cc2)cc1,50398334, 1.1,Ki,uniprot
7XT9,P08909,NCCc1c[nH]c2ccc(O)cc12,10755, 2.8,EC50,uniprot
7XTA,P08909,NCCc1c[nH]c2ccc(O)cc12,10755, 2.8,EC50,uniprot
7XT8,P08909,NCCc1c[nH]c2ccc(O)cc12,10755, 2.8,EC50,uniprot
7E32,P08909,NCCc1c[nH]c2ccc(O)cc12,10755, 2.8,EC50,uniprot
7WC4,P08909,NCCc1c[nH]c2ccc(O)cc12,10755, 2.8,EC50,uniprot
7E2Y,P08909,NCCc1c[nH]c2ccc(O)cc12,10755, 2.8,EC50,uniprot
7YS6,P08909,NCCc1c[nH]c2ccc(O)cc12,10755, 2.8,EC50,uniprot
7XTB,P08909,NCCc1c[nH]c2ccc(O)cc12,10755, 2.8,EC50,uniprot
7XT9,P08909,NCCc1c[nH]c2ccc(O)cc12,10755, 42,IC50,uniprot
7XTA,P08909,NCCc1c[nH]c2ccc(O)cc12,10755, 42,IC50,uniprot
7XT8,P08909,NCCc1c[nH]c2ccc(O)cc12,10755, 42,IC50,uniprot
7E32,P08909,NCCc1c[nH]c2ccc(O)cc12,10755, 42,IC50,uniprot
7WC4,P08909,NCCc1c[nH]c2ccc(O)cc12,10755, 42,IC50,uniprot
7E2Y,P08909,NCCc1c[nH]c2ccc(O)cc12,10755, 42,IC50,uniprot
7YS6,P08909,NCCc1c[nH]c2ccc(O)cc12,10755, 42,IC50,uniprot
7XTB,P08909,NCCc1c[nH]c2ccc(O)cc12,10755, 42,IC50,uniprot
7XT9,P08909,NCCc1c[nH]c2ccc(O)cc12,10755, 32,Kd,uniprot
7XTA,P08909,NCCc1c[nH]c2ccc(O)cc12,10755, 32,Kd,uniprot
7XT8,P08909,NCCc1c[nH]c2ccc(O)cc12,10755, 32,Kd,uniprot
7E32,P08909,NCCc1c[nH]c2ccc(O)cc12,10755, 32,Kd,uniprot
7WC4,P08909,NCCc1c[nH]c2ccc(O)cc12,10755, 32,Kd,uniprot
7E2Y,P08909,NCCc1c[nH]c2ccc(O)cc12,10755, 32,Kd,uniprot
7YS6,P08909,NCCc1c[nH]c2ccc(O)cc12,10755, 32,Kd,uniprot
7XTB,P08909,NCCc1c[nH]c2ccc(O)cc12,10755, 32,Kd,uniprot
7XT9,P08909,NCCc1c[nH]c2ccc(O)cc12,10755, 0.7,Ki,uniprot
7XTA,P08909,NCCc1c[nH]c2ccc(O)cc12,10755, 0.7,Ki,uniprot
7XT8,P08909,NCCc1c[nH]c2ccc(O)cc12,10755, 0.7,Ki,uniprot
7E32,P08909,NCCc1c[nH]c2ccc(O)cc12,10755, 0.7,Ki,uniprot
7WC4,P08909,NCCc1c[nH]c2ccc(O)cc12,10755, 0.7,Ki,uniprot
7E2Y,P08909,NCCc1c[nH]c2ccc(O)cc12,10755, 0.7,Ki,uniprot
7YS6,P08909,NCCc1c[nH]c2ccc(O)cc12,10755, 0.7,Ki,uniprot
7XTB,P08909,NCCc1c[nH]c2ccc(O)cc12,10755, 0.7,Ki,uniprot
9BS9,P08909,CCN(CC)C(=O)[C@@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1,21342, 2.8,Ki,uniprot
6WGT,P08909,CCN(CC)C(=O)[C@@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1,21342, 2.8,Ki,uniprot
7SRR,P08909,CCN(CC)C(=O)[C@@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1,21342, 2.8,Ki,uniprot
7SRQ,P08909,CCN(CC)C(=O)[C@@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1,21342, 2.8,Ki,uniprot
5TVN,P08909,CCN(CC)C(=O)[C@@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1,21342, 2.8,Ki,uniprot
8FYT,P08909,CCN(CC)C(=O)[C@@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1,21342, 2.8,Ki,uniprot
7XTC,P08909,NCCc1c[nH]c2ccc(C(N)=O)cc12,21392, 631,Kd,uniprot
7X5H,P08909,NCCc1c[nH]c2ccc(C(N)=O)cc12,21392, 631,Kd,uniprot
7UM5,P08909,NCCc1c[nH]c2ccc(C(N)=O)cc12,21392, 631,Kd,uniprot
7XTC,P08909,NCCc1c[nH]c2ccc(C(N)=O)cc12,21392, 523,Ki,uniprot
7X5H,P08909,NCCc1c[nH]c2ccc(C(N)=O)cc12,21392, 523,Ki,uniprot
7UM5,P08909,NCCc1c[nH]c2ccc(C(N)=O)cc12,21392, 523,Ki,uniprot
7DFP,P08909,O=C(CCCN1CCC2(CC1)C(=O)NCN2c1ccccc1)c1ccc(F)cc1,21397, 794.32,Ki,uniprot
6LUQ,P08909,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,21398,>1000,IC50,uniprot
6LUQ,P08909,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,21398, 1500,Ki,uniprot
