uniprot_id,pdb_id,pdb_path,bindingdb_raw,0
O08675,2PUX,/home/corey/Documents/comp_chem/ml/affinity/single_task_affinity/data_affinity/O08675/2pux.pdb,,
Q99788,7YKD,/home/corey/Documents/comp_chem/ml/affinity/single_task_affinity/data_affinity/Q99788/7ykd.pdb,,
Q99788,9L3Z,/home/corey/Documents/comp_chem/ml/affinity/single_task_affinity/data_affinity/Q99788/9l3z.pdb,,
Q99788,9L3W,/home/corey/Documents/comp_chem/ml/affinity/single_task_affinity/data_affinity/Q99788/9l3w.pdb,,
Q99788,8ZJG,/home/corey/Documents/comp_chem/ml/affinity/single_task_affinity/data_affinity/Q99788/8zjg.pdb,,
Q99788,8SG1,/home/corey/Documents/comp_chem/ml/affinity/single_task_affinity/data_affinity/Q99788/8sg1.pdb,,
P34972,5ZTY,/home/corey/Documents/comp_chem/ml/affinity/single_task_affinity/data_affinity/P34972/5zty.pdb,,
P34972,8GUR,/home/corey/Documents/comp_chem/ml/affinity/single_task_affinity/data_affinity/P34972/8gur.pdb,,
P34972,2KI9,/home/corey/Documents/comp_chem/ml/affinity/single_task_affinity/data_affinity/P34972/2ki9.pdb,,
P34972,6KPF,/home/corey/Documents/comp_chem/ml/affinity/single_task_affinity/data_affinity/P34972/6kpf.pdb,,
P34972,6PT0,/home/corey/Documents/comp_chem/ml/affinity/single_task_affinity/data_affinity/P34972/6pt0.pdb,,
P34972,6KPC,/home/corey/Documents/comp_chem/ml/affinity/single_task_affinity/data_affinity/P34972/6kpc.pdb,,
P34972,8GUS,/home/corey/Documents/comp_chem/ml/affinity/single_task_affinity/data_affinity/P34972/8gus.pdb,,
P34972,8X3L,/home/corey/Documents/comp_chem/ml/affinity/single_task_affinity/data_affinity/P34972/8x3l.pdb,,
P34972,8GUT,/home/corey/Documents/comp_chem/ml/affinity/single_task_affinity/data_affinity/P34972/8gut.pdb,,
P34972,8GUQ,/home/corey/Documents/comp_chem/ml/affinity/single_task_affinity/data_affinity/P34972/8guq.pdb,,
P32246,7VL9,/home/corey/Documents/comp_chem/ml/affinity/single_task_affinity/data_affinity/P32246/7vl9.pdb,,
P32246,7VL8,/home/corey/Documents/comp_chem/ml/affinity/single_task_affinity/data_affinity/P32246/7vl8.pdb,,
P32246,7VLA,/home/corey/Documents/comp_chem/ml/affinity/single_task_affinity/data_affinity/P32246/7vla.pdb,,
Q96LB2,8DWG,/home/corey/Documents/comp_chem/ml/affinity/single_task_affinity/data_affinity/Q96LB2/8dwg.pdb,,
Q96LB2,8DWC,/home/corey/Documents/comp_chem/ml/affinity/single_task_affinity/data_affinity/Q96LB2/8dwc.pdb,,
Q96LB2,8JGF,/home/corey/Documents/comp_chem/ml/affinity/single_task_affinity/data_affinity/Q96LB2/8jgf.pdb,,
Q96LB2,8HJ5,/home/corey/Documents/comp_chem/ml/affinity/single_task_affinity/data_affinity/Q96LB2/8hj5.pdb,,
Q96LB2,8JGG,/home/corey/Documents/comp_chem/ml/affinity/single_task_affinity/data_affinity/Q96LB2/8jgg.pdb,,
Q96LB2,8DWH,/home/corey/Documents/comp_chem/ml/affinity/single_task_affinity/data_affinity/Q96LB2/8dwh.pdb,,
Q96LB2,8JGB,/home/corey/Documents/comp_chem/ml/affinity/single_task_affinity/data_affinity/Q96LB2/8jgb.pdb,,
P51686,5LWE,/home/corey/Documents/comp_chem/ml/affinity/single_task_affinity/data_affinity/P51686/5lwe.pdb,,
Q9BZJ8,8TB7,/home/corey/Documents/comp_chem/ml/affinity/single_task_affinity/data_affinity/Q9BZJ8/8tb7.pdb,,
Q9BZJ8,8TB0,/home/corey/Documents/comp_chem/ml/affinity/single_task_affinity/data_affinity/Q9BZJ8/8tb0.pdb,,
Q9BZJ8,8KGK,/home/corey/Documents/comp_chem/ml/affinity/single_task_affinity/data_affinity/Q9BZJ8/8kgk.pdb,,
P22888,7FII,/home/corey/Documents/comp_chem/ml/affinity/single_task_affinity/data_affinity/P22888/7fii.pdb,,
P22888,7FIG,/home/corey/Documents/comp_chem/ml/affinity/single_task_affinity/data_affinity/P22888/7fig.pdb,,
P22888,7FIH,/home/corey/Documents/comp_chem/ml/affinity/single_task_affinity/data_affinity/P22888/7fih.pdb,,
P22888,7FIJ,/home/corey/Documents/comp_chem/ml/affinity/single_task_affinity/data_affinity/P22888/7fij.pdb,,
P08909,2MHO,/home/corey/Documents/comp_chem/ml/affinity/single_task_affinity/data_affinity/P08909/2mho.pdb,,
Q9BXB1,8WVW,/home/corey/Documents/comp_chem/ml/affinity/single_task_affinity/data_affinity/Q9BXB1/8wvw.pdb,,
Q9BXB1,8WVU,/home/corey/Documents/comp_chem/ml/affinity/single_task_affinity/data_affinity/Q9BXB1/8wvu.pdb,,
Q9BXB1,8XFS,/home/corey/Documents/comp_chem/ml/affinity/single_task_affinity/data_affinity/Q9BXB1/8xfs.pdb,,
Q9BXB1,8WVX,/home/corey/Documents/comp_chem/ml/affinity/single_task_affinity/data_affinity/Q9BXB1/8wvx.pdb,,
Q9BXB1,8WVY,/home/corey/Documents/comp_chem/ml/affinity/single_task_affinity/data_affinity/Q9BXB1/8wvy.pdb,,
Q9BXB1,4QXF,/home/corey/Documents/comp_chem/ml/affinity/single_task_affinity/data_affinity/Q9BXB1/4qxf.pdb,,
Q9BXB1,8XFP,/home/corey/Documents/comp_chem/ml/affinity/single_task_affinity/data_affinity/Q9BXB1/8xfp.pdb,,
Q9BXB1,4QXE,/home/corey/Documents/comp_chem/ml/affinity/single_task_affinity/data_affinity/Q9BXB1/4qxe.pdb,,
Q9BXB1,4KT1,/home/corey/Documents/comp_chem/ml/affinity/single_task_affinity/data_affinity/Q9BXB1/4kt1.pdb,,
Q9BXB1,8WVV,/home/corey/Documents/comp_chem/ml/affinity/single_task_affinity/data_affinity/Q9BXB1/8wvv.pdb,,
P03999,8Y02,/home/corey/Documents/comp_chem/ml/affinity/single_task_affinity/data_affinity/P03999/8y02.pdb,,
P41143,4RWA,/home/corey/Documents/comp_chem/ml/affinity/single_task_affinity/data_affinity/P41143/4rwa.pdb,,
P41143,6PT2,/home/corey/Documents/comp_chem/ml/affinity/single_task_affinity/data_affinity/P41143/6pt2.pdb,,
P41143,4N6H,/home/corey/Documents/comp_chem/ml/affinity/single_task_affinity/data_affinity/P41143/4n6h.pdb,,
P41143,8F7S,/home/corey/Documents/comp_chem/ml/affinity/single_task_affinity/data_affinity/P41143/8f7s.pdb,,
P41143,4RWD,/home/corey/Documents/comp_chem/ml/affinity/single_task_affinity/data_affinity/P41143/4rwd.pdb,,
P41143,6PT3,/home/corey/Documents/comp_chem/ml/affinity/single_task_affinity/data_affinity/P41143/6pt3.pdb,,
P30518,7DF9,/home/corey/Documents/comp_chem/ml/affinity/single_task_affinity/data_affinity/P30518/7df9.pdb,,
P30518,7BB7,/home/corey/Documents/comp_chem/ml/affinity/single_task_affinity/data_affinity/P30518/7bb7.pdb,,
P30518,7DFC,/home/corey/Documents/comp_chem/ml/affinity/single_task_affinity/data_affinity/P30518/7dfc.pdb,,
P30518,4JQI,/home/corey/Documents/comp_chem/ml/affinity/single_task_affinity/data_affinity/P30518/4jqi.pdb,,
P30518,7DW9,/home/corey/Documents/comp_chem/ml/affinity/single_task_affinity/data_affinity/P30518/7dw9.pdb,,
P30518,7BB6,/home/corey/Documents/comp_chem/ml/affinity/single_task_affinity/data_affinity/P30518/7bb6.pdb,,
P30518,7DFB,/home/corey/Documents/comp_chem/ml/affinity/single_task_affinity/data_affinity/P30518/7dfb.pdb,,
P30518,6NI2,/home/corey/Documents/comp_chem/ml/affinity/single_task_affinity/data_affinity/P30518/6ni2.pdb,,
P30518,6U1N,/home/corey/Documents/comp_chem/ml/affinity/single_task_affinity/data_affinity/P30518/6u1n.pdb,,
P30518,7DFA,/home/corey/Documents/comp_chem/ml/affinity/single_task_affinity/data_affinity/P30518/7dfa.pdb,,
P37288,1YTV,/home/corey/Documents/comp_chem/ml/affinity/single_task_affinity/data_affinity/P37288/1ytv.pdb,,
Q9HBX9,2M7P,/home/corey/Documents/comp_chem/ml/affinity/single_task_affinity/data_affinity/Q9HBX9/2m7p.pdb,,
Q9HBX9,2JM4,/home/corey/Documents/comp_chem/ml/affinity/single_task_affinity/data_affinity/Q9HBX9/2jm4.pdb,,
Q9HBX9,7TMW,/home/corey/Documents/comp_chem/ml/affinity/single_task_affinity/data_affinity/Q9HBX9/7tmw.pdb,,
P14842,4OAJ,/home/corey/Documents/comp_chem/ml/affinity/single_task_affinity/data_affinity/P14842/4oaj.pdb,,
Q8BUD0,8ZFC,/home/corey/Documents/comp_chem/ml/affinity/single_task_affinity/data_affinity/Q8BUD0/8zfc.pdb,,
Q8BUD0,8ZF9,/home/corey/Documents/comp_chem/ml/affinity/single_task_affinity/data_affinity/Q8BUD0/8zf9.pdb,,
Q8BUD0,8ZFE,/home/corey/Documents/comp_chem/ml/affinity/single_task_affinity/data_affinity/Q8BUD0/8zfe.pdb,,
Q8BUD0,9JVG,/home/corey/Documents/comp_chem/ml/affinity/single_task_affinity/data_affinity/Q8BUD0/9jvg.pdb,,
Q8BUD0,9JVH,/home/corey/Documents/comp_chem/ml/affinity/single_task_affinity/data_affinity/Q8BUD0/9jvh.pdb,,
Q8BUD0,8ZFD,/home/corey/Documents/comp_chem/ml/affinity/single_task_affinity/data_affinity/Q8BUD0/8zfd.pdb,,
Q9HB89,7W53,/home/corey/Documents/comp_chem/ml/affinity/single_task_affinity/data_affinity/Q9HB89/7w53.pdb,,
Q9HB89,7W56,/home/corey/Documents/comp_chem/ml/affinity/single_task_affinity/data_affinity/Q9HB89/7w56.pdb,,
P43088,8IUM,/home/corey/Documents/comp_chem/ml/affinity/single_task_affinity/data_affinity/P43088/8ium.pdb,,
P43088,8IUK,/home/corey/Documents/comp_chem/ml/affinity/single_task_affinity/data_affinity/P43088/8iuk.pdb,,
P43088,8IQ4,/home/corey/Documents/comp_chem/ml/affinity/single_task_affinity/data_affinity/P43088/8iq4.pdb,,
P43088,8IQ6,/home/corey/Documents/comp_chem/ml/affinity/single_task_affinity/data_affinity/P43088/8iq6.pdb,,
P43088,8XJL,/home/corey/Documents/comp_chem/ml/affinity/single_task_affinity/data_affinity/P43088/8xjl.pdb,,
P43088,8IUL,/home/corey/Documents/comp_chem/ml/affinity/single_task_affinity/data_affinity/P43088/8iul.pdb,,
P43088,8XJM,/home/corey/Documents/comp_chem/ml/affinity/single_task_affinity/data_affinity/P43088/8xjm.pdb,,
Q8IYL9,9BHL,/home/corey/Documents/comp_chem/ml/affinity/single_task_affinity/data_affinity/Q8IYL9/9bhl.pdb,,
Q8IYL9,9JFT,/home/corey/Documents/comp_chem/ml/affinity/single_task_affinity/data_affinity/Q8IYL9/9jft.pdb,,
P13945,9IJD,/home/corey/Documents/comp_chem/ml/affinity/single_task_affinity/data_affinity/P13945/9ijd.pdb,,
P13945,9IJE,/home/corey/Documents/comp_chem/ml/affinity/single_task_affinity/data_affinity/P13945/9ije.pdb,,
O88634,2PV9,/home/corey/Documents/comp_chem/ml/affinity/single_task_affinity/data_affinity/O88634/2pv9.pdb,,
